Orginal File Name:,DP-JTESTDP-2018_6_27_20_47.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_27_20_47,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
1,10110100,1,4.9670000000000005,NaN,NA,NA,
1,10110100,2,4.968,NaN,NA,NA,
1,10110100,3,4.968,NaN,NA,NA,
1,10110100,4,5.97,NaN,NA,NA,
1,10110100,5,6.172,NaN,NA,25460.bmp,A55.bmp,
1,10110100,6,6.674,NaN,NA,NA,
1,10110100,7,7.291,0.615,1,1,
2,10110101,2,7.301,NaN,NA,NA,
2,10110101,3,7.301,NaN,NA,NA,
2,10110101,4,8.302,NaN,NA,NA,
2,10110101,5,8.504,NaN,NA,22630.bmp,A39.bmp,
2,10110101,6,9.005,NaN,NA,NA,
2,10110101,7,9.562,0.556,1,1,
3,10110110,2,9.572000000000001,NaN,NA,NA,
3,10110110,3,9.572000000000001,NaN,NA,NA,
3,10110110,4,10.574,NaN,NA,NA,
3,10110110,5,10.776,NaN,NA,22395.bmp,A379.bmp,
3,10110110,6,11.278,NaN,NA,NA,
3,10110110,7,11.747,0.467,1,1,
4,10110111,2,11.757,NaN,NA,NA,
4,10110111,3,11.757,NaN,NA,NA,
4,10110111,4,12.758000000000001,NaN,NA,NA,
4,10110111,5,12.96,NaN,NA,25611.bmp,A63.bmp,
4,10110111,6,13.462,NaN,NA,NA,
4,10110111,7,14.086,0.622,1,1,
5,10111000,2,14.097,NaN,NA,NA,
5,10111000,3,14.097,NaN,NA,NA,
5,10111000,4,15.098,NaN,NA,NA,
5,10111000,5,15.3,NaN,NA,25621.bmp,A65.bmp,
5,10111000,6,16.301000000000002,NaN,NA,NA,
5,10111000,7,16.818,0.516,1,1,
6,01100011,2,17.53,NaN,NA,NA,
6,01100011,3,17.53,NaN,NA,NA,
6,01100011,4,18.531,NaN,NA,NA,
6,01100011,5,18.732,NaN,NA,13103.bmp,A245.bmp,
6,01100011,6,19.233,NaN,NA,NA,
6,01100011,7,20.181,0.9470000000000001,-1,1,
7,00101111,2,20.195,NaN,NA,NA,
7,00101111,3,20.195,NaN,NA,NA,
7,00101111,4,21.196,NaN,NA,NA,
