Orginal File Name:,DP-JTESTPANAS-2018_51_27_11_34.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_51_27_11_34,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
2,01010011,2,20.159,NaN,NA,NA,
2,01010011,3,20.159,NaN,NA,NA,
2,01010011,4,21.161,NaN,NA,NA,
2,01010011,5,21.363,NaN,NA,19320.bmp,A317.bmp,
2,01010011,6,21.864,NaN,NA,NA,
2,01010011,7,25.613,3.747,1,2,
2,01010011,8,25.613,NaN,NA,NA,
3,01101100,2,28.633,NaN,NA,NA,
3,01101100,3,28.633,NaN,NA,NA,
3,01101100,4,29.634,NaN,NA,NA,
3,01101100,5,29.836000000000002,NaN,NA,16540.bmp,A291.bmp,
3,01101100,6,30.836000000000002,NaN,NA,NA,
3,01101100,7,30.947,0.109,-1,2,
3,01101100,8,30.947,NaN,NA,NA,
4,01010000,2,33.966,NaN,NA,NA,
4,01010000,3,33.966,NaN,NA,NA,
4,01010000,4,34.967,NaN,NA,NA,
4,01010000,5,35.168,NaN,NA,13230.bmp,A259.bmp,
4,01010000,6,35.67,NaN,NA,NA,
4,01010000,7,35.75,0.078,1,1,
5,01011110,2,35.764,NaN,NA,NA,
5,01011110,3,35.764,NaN,NA,NA,
5,01011110,4,36.765,NaN,NA,NA,
5,01011110,5,36.967,NaN,NA,16242.bmp,A273.bmp,
5,01011110,6,37.969,NaN,NA,NA,
5,01011110,7,38.041000000000004,0.07100000000000001,1,2,
5,01011110,8,38.041000000000004,NaN,NA,NA,
6,10010110,2,41.062,NaN,NA,NA,
6,10010110,3,41.062,NaN,NA,NA,
6,10010110,4,42.063,NaN,NA,NA,
6,10010110,5,42.265,NaN,NA,21440.bmp,A333.bmp,
6,10010110,6,42.767,NaN,NA,NA,
6,10010110,7,42.849000000000004,0.081,1,2,
6,10010110,8,42.849000000000004,NaN,NA,NA,
7,01011110,2,45.868,NaN,NA,NA,
7,01011110,3,45.868,NaN,NA,NA,
7,01011110,4,46.869,NaN,NA,NA,
7,01011110,5,47.07,NaN,NA,16242.bmp,A273.bmp,
7,01011110,6,48.071,NaN,NA,NA,
7,01011110,7,48.175000000000004,0.10200000000000001,1,2,
7,01011110,8,48.175000000000004,NaN,NA,NA,
8,10001100,2,51.194,NaN,NA,NA,
8,10001100,3,51.194,NaN,NA,NA,
8,10001100,4,52.194,NaN,NA,NA,
8,10001100,5,52.395,NaN,NA,22000.bmp,A355.bmp,
8,10001100,6,53.396,NaN,NA,NA,
8,10001100,7,53.492000000000004,0.095,-1,1,
9,10101010,2,53.506,NaN,NA,NA,
9,10101010,3,53.506,NaN,NA,NA,
9,10101010,4,54.507,NaN,NA,NA,
9,10101010,5,54.708,NaN,NA,27220.bmp,A75.bmp,
9,10101010,6,55.709,NaN,NA,NA,
9,10101010,7,55.775,0.065,-1,1,
10,01101110,2,55.789,NaN,NA,NA,
10,01101110,3,55.789,NaN,NA,NA,
10,01101110,4,56.79,NaN,NA,NA,
10,01101110,5,56.99,NaN,NA,13181.bmp,A249.bmp,
10,01101110,6,57.991,NaN,NA,NA,
10,01101110,7,58.056000000000004,0.063,-1,1,
11,01101011,2,58.069,NaN,NA,NA,
11,01101011,3,58.069,NaN,NA,NA,
11,01101011,4,59.071,NaN,NA,NA,
11,01101011,5,59.272,NaN,NA,13220.bmp,A255.bmp,
11,01101011,6,60.274,NaN,NA,NA,
11,01101011,7,60.331,0.055,-1,1,
12,00001011,2,60.345,NaN,NA,NA,
12,00001011,3,60.345,NaN,NA,NA,
12,00001011,4,61.346000000000004,NaN,NA,NA,
12,00001011,5,61.548,NaN,NA,02220.bmp,A11.bmp,
12,00001011,6,62.549,NaN,NA,NA,
12,00001011,7,62.617000000000004,0.066,-1,2,
12,00001011,8,62.617000000000004,NaN,NA,NA,
13,10111111,2,65.637,NaN,NA,NA,
13,10111111,3,65.637,NaN,NA,NA,
13,10111111,4,66.637,NaN,NA,NA,
13,10111111,5,66.839,NaN,NA,25450.bmp,A53.bmp,
13,10111111,6,67.84,NaN,NA,NA,
13,10111111,7,67.946,0.105,1,1,
14,10110100,2,67.96000000000001,NaN,NA,NA,
14,10110100,3,67.96000000000001,NaN,NA,NA,
14,10110100,4,68.961,NaN,NA,NA,
14,10110100,5,69.163,NaN,NA,25460.bmp,A55.bmp,
14,10110100,6,69.665,NaN,NA,NA,
14,10110100,7,69.687,0.021,1,2,
14,10110100,8,69.687,NaN,NA,NA,
15,00101000,2,72.708,NaN,NA,NA,
15,00101000,3,72.708,NaN,NA,NA,
15,00101000,4,73.709,NaN,NA,NA,
15,00101000,5,73.911,NaN,NA,07025.bmp,A177.bmp,
15,00101000,6,74.913,NaN,NA,NA,
15,00101000,7,75.001,0.08700000000000001,-1,2,
15,00101000,8,75.001,NaN,NA,NA,
16,10101010,2,78.021,NaN,NA,NA,
16,10101010,3,78.021,NaN,NA,NA,
16,10101010,4,79.023,NaN,NA,NA,
16,10101010,5,79.22500000000001,NaN,NA,27220.bmp,A75.bmp,
16,10101010,6,80.226,NaN,NA,NA,
16,10101010,7,80.33200000000001,0.105,-1,1,
17,10000111,2,80.345,NaN,NA,NA,
17,10000111,3,80.345,NaN,NA,NA,
17,10000111,4,81.34700000000001,NaN,NA,NA,
17,10000111,5,81.549,NaN,NA,22040.bmp,A357.bmp,
17,10000111,6,82.051,NaN,NA,NA,
17,10000111,7,82.07300000000001,0.021,-1,2,
17,10000111,8,82.07300000000001,NaN,NA,NA,
18,01111100,2,85.09400000000001,NaN,NA,NA,
18,01111100,3,85.09400000000001,NaN,NA,NA,
18,01111100,4,86.095,NaN,NA,NA,
18,01111100,5,86.297,NaN,NA,12205.bmp,A221.bmp,
18,01111100,6,87.298,NaN,NA,NA,
18,01111100,7,87.406,0.107,1,2,
18,01111100,8,87.406,NaN,NA,NA,
19,01100000,2,90.426,NaN,NA,NA,
19,01100000,3,90.426,NaN,NA,NA,
19,01100000,4,91.427,NaN,NA,NA,
19,01100000,5,91.629,NaN,NA,19911.bmp,A329.bmp,
19,01100000,6,92.131,NaN,NA,NA,
19,01100000,7,92.196,0.064,-1,2,
19,01100000,8,92.196,NaN,NA,NA,
20,00000001,2,95.217,NaN,NA,NA,
20,00000001,3,95.217,NaN,NA,NA,
20,00000001,4,96.218,NaN,NA,NA,
20,00000001,5,96.419,NaN,NA,08232.bmp,A211.bmp,
20,00000001,6,96.921,NaN,NA,NA,
20,00000001,7,96.994,0.07200000000000001,-1,1,
21,01001010,2,97.007,NaN,NA,NA,
21,01001010,3,97.008,NaN,NA,NA,
21,01001010,4,98.008,NaN,NA,NA,
21,01001010,5,98.21000000000001,NaN,NA,16313.bmp,A283.bmp,
21,01001010,6,99.212,NaN,NA,NA,
21,01001010,7,99.28,0.066,-1,2,
21,01001010,8,99.28,NaN,NA,NA,
22,00110101,2,102.3,NaN,NA,NA,
22,00110101,3,102.3,NaN,NA,NA,
22,00110101,4,103.301,NaN,NA,NA,
22,00110101,5,103.503,NaN,NA,07003.bmp,A161.bmp,
22,00110101,6,104.004,NaN,NA,NA,
22,00110101,7,104.081,0.076,1,2,
22,00110101,8,104.081,NaN,NA,NA,
23,00111101,2,107.102,NaN,NA,NA,
23,00111101,3,107.102,NaN,NA,NA,
23,00111101,4,108.10300000000001,NaN,NA,NA,
23,00111101,5,108.303,NaN,NA,05920.bmp,A153.bmp,
23,00111101,6,109.304,NaN,NA,NA,
23,00111101,7,109.392,0.08700000000000001,1,2,
23,00111101,8,109.392,NaN,NA,NA,
24,10010111,2,112.412,NaN,NA,NA,
24,10010111,3,112.412,NaN,NA,NA,
24,10010111,4,113.414,NaN,NA,NA,
