Version:,2,Orginal File Name:,CT-JCtest-T2.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36,IP: ::1,Time:,2018_7_2_20_4,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,14.9,1.431,2,1,
practice,2,1,78,42,15.221,0.035,2,2,
practice,3,1,-56,-87,15.435,0.011,2,2,
practice,4,1,-368,-364,15.654,0.011,2,2,
practice,5,1,-434,190,15.871,0.013000000000000001,2,2,
practice,6,1,-318,-102,16.087,0.008,2,1,
practice,7,1,208,224,16.414,0.041,2,1,
practice,8,1,239,-67,16.739,0.039,2,1,
practice,9,1,632,331,17.058,0.033,2,1,
practice,10,1,362,151,17.379,0.031,2,1,
practice,12,1,480,-140,17.81,0.084,2,1,
practice,13,1,208,-188,18.14,0.045,2,1,
practice,14,1,90,136,18.464,0.041,2,2,
practice,15,1,-433,-21,18.684,0.019,2,2,
practice,16,1,-680,-38,18.900000000000002,0.013000000000000001,2,1,
practice,17,1,199,-266,19.224,0.041,2,1,
practice,18,1,278,139,19.549,0.043000000000000003,2,2,
practice,19,1,-201,1,19.767,0.007,2,2,
practice,20,1,-261,-132,19.984,0.011,2,2,
practice,21,1,-563,-121,20.2,0.011,2,2,
practice,22,1,-218,-59,20.417,0.014,2,1,
practice,23,1,302,51,20.745,0.046,2,1,
practice,24,1,366,359,21.064,0.039,2,1,
practice,25,1,640,147,21.392,0.045,2,2,
practice,26,1,-460,-194,21.608,0.011,2,2,
practice,27,1,-424,262,21.825,0.009000000000000001,2,2,
practice,28,1,-144,4,22.045,0.014,2,2,
practice,29,1,-41,134,22.26,0.012,2,2,
practice,30,1,-144,224,22.477,0.016,2,2,
practice,31,1,-185,-116,22.694,0.012,2,2,
practice,32,1,-503,47,22.91,0.01,2,2,
practice,33,1,-183,213,23.128,0.01,2,2,
practice,34,1,-339,7,23.347,0.017,2,2,
practice,35,1,-274,-180,23.564,0.011,2,2,
practice,36,1,-429,70,23.781,0.013000000000000001,2,2,
practice,37,1,-469,174,23.995,0.013000000000000001,2,2,
practice,38,1,-148,-318,24.216,0.017,2,2,
practice,39,1,-323,-61,24.429000000000002,0.01,2,2,
practice,40,1,-545,-126,24.650000000000002,0.019,2,2,
practice,41,1,-407,188,24.87,0.019,2,2,
practice,42,1,-183,249,25.088,0.018000000000000002,2,2,
practice,43,1,-467,-47,25.301000000000002,0.007,2,2,
practice,44,1,-486,-110,25.519000000000002,0.016,2,2,
practice,45,1,-279,313,25.735,0.008,2,2,
practice,46,1,-494,173,25.952,0.015,2,2,
practice,47,1,-127,27,26.171,0.016,2,2,
practice,48,1,-149,-50,26.386,0.011,2,1,
practice,49,1,99,-163,26.706,0.035,2,1,
practice,50,1,247,57,27.03,0.042,2,1,
practice,51,1,7,96,27.356,0.039,2,1,
practice,52,1,680,107,27.681,0.047,2,1,
practice,53,1,309,-4,28.007,0.046,2,1,
practice,54,1,25,27,28.335,0.049,2,1,
practice,55,1,63,64,28.667,0.061,2,1,
practice,56,1,490,-64,28.994,0.038,2,1,
practice,57,1,379,-110,29.317,0.039,2,2,
practice,58,1,-262,152,29.534,0.012,2,2,
practice,59,1,-354,-206,29.75,0.01,2,2,
practice,60,1,-608,294,29.965,0.011,2,2,
practice,61,1,-387,-41,30.185000000000002,0.022,2,2,
practice,62,1,-192,18,30.398,0.014,2,1,
practice,63,1,263,241,30.727,0.031,2,1,
practice,64,1,379,122,31.05,0.042,2,2,
practice,65,1,-389,71,31.266000000000002,0.019,2,2,
practice,66,1,-469,-150,31.48,0.014,2,2,
practice,67,1,-256,-113,31.691,0.017,2,2,
practice,68,1,-255,114,31.906000000000002,0.026000000000000002,2,2,
practice,69,1,-33,-82,32.12,0.021,2,2,
practice,70,1,-357,228,32.337,0.019,2,2,
practice,71,1,-284,-124,32.551,0.016,2,2,
practice,72,1,-254,190,32.765,0.011,2,2,
practice,73,1,-336,83,32.981,0.014,2,2,
practice,74,1,-72,68,33.198,0.022,2,2,
practice,75,1,-283,-36,33.411,0.02,2,2,
practice,76,1,-261,38,33.628,0.022,2,2,
practice,77,1,-586,-212,33.844,0.017,2,2,
practice,78,1,-279,-153,34.06,0.017,2,2,
practice,79,1,-384,83,34.277,0.023,2,2,
practice,80,1,-325,207,34.496,0.017,2,1,
practice,81,1,275,3,34.819,0.041,2,1,
practice,82,1,410,20,35.15,0.047,2,1,
practice,83,1,169,100,35.475,0.05,2,1,
practice,84,1,140,229,35.801,0.044,2,1,
practice,85,1,263,12,36.122,0.038,2,1,
practice,86,1,293,-157,36.446,0.037,2,1,
practice,87,1,315,-111,36.775,0.045,2,1,
practice,88,1,525,60,37.1,0.037,2,1,
practice,89,1,212,46,37.424,0.039,2,2,
practice,90,1,-283,-59,37.639,0.009000000000000001,2,2,
practice,91,1,-85,14,37.858000000000004,0.012,2,1,
practice,92,1,250,209,38.184,0.044,2,1,
practice,93,1,-80,-82,38.511,0.043000000000000003,2,2,
practice,94,1,-451,-82,38.732,0.017,2,2,
practice,95,1,-245,-53,38.946,0.009000000000000001,2,1,
practice,96,1,300,27,39.274,0.041,2,1,
practice,97,1,285,30,39.6,0.043000000000000003,2,1,
practice,98,1,-181,30,39.927,0.041,2,1,
practice,99,1,287,-40,40.252,0.037,2,1,
practice,100,1,271,-51,40.577,0.042,2,1,
practice,101,1,214,105,40.903,0.04,2,1,
practice,102,1,407,330,41.228,0.041,2,1,
practice,103,1,273,-1,41.56,0.05,2,1,
practice,104,1,167,-13,41.884,0.036000000000000004,2,1,
practice,105,1,346,-14,42.206,0.042,2,1,
practice,106,1,391,87,42.534,0.043000000000000003,2,1,
practice,107,1,92,-41,42.857,0.038,2,1,
practice,108,1,546,-100,43.186,0.046,2,1,
practice,109,1,359,134,43.511,0.043000000000000003,2,1,
practice,110,1,305,-114,43.835,0.036000000000000004,2,1,
practice,111,1,221,-188,44.160000000000004,0.041,2,1,
practice,112,1,250,-37,44.484,0.042,2,2,
practice,113,1,-517,143,44.7,0.014,2,2,
practice,114,1,-510,-130,44.919000000000004,0.017,2,1,
practice,115,1,323,-186,45.245,0.042,2,1,
practice,116,1,417,-240,45.569,0.038,2,1,
practice,117,1,314,-37,45.887,0.039,2,1,
practice,118,1,239,48,46.211,0.046,2,1,
practice,119,1,275,155,46.541000000000004,0.051000000000000004,2,1,
practice,120,1,274,89,46.866,0.037,2,1,
practice,121,1,346,44,47.196,0.052000000000000005,2,1,
practice,122,1,158,37,47.528,0.049,2,1,
practice,123,1,256,65,47.854,0.04,2,1,
practice,124,1,-19,95,48.178000000000004,0.052000000000000005,2,1,
practice,125,1,359,-220,48.504,0.041,2,1,
practice,126,1,429,279,48.826,0.046,2,1,
practice,127,1,50,-102,49.159,0.05,2,1,
practice,128,1,292,111,49.488,0.051000000000000004,2,2,
practice,129,1,-287,89,49.707,0.018000000000000002,2,2,
practice,130,1,140,4,49.922000000000004,0.012,2,2,
