demo-t-T1-Fri, 21 Jun 2018 16:41:55 UTC,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,1,1785
demps_lv10_hispanic_ethnicity,2,1724
demps_lv10_race,demps_lv10_race___20,1951
demps_lv10_engprimary,2,1946
demps_lv10_intactfamorigin,1,2540
demps_lv10_current_marital_status,3,1169
demps_lv10_prevmarried,0,1472
demps_lv10_nchild,1,1640
demps_lv10_nsachild,1,1973
demps_lv10_residence,2,1427
demps_lv10_current_educational_attainment,3,1730
demps_lv10_employment,13,1519
demps_lv10_leftjobreason,3,1294
mkturk_other,0,1484
