Orginal File Name:,DP-JTFirefoxTest-2018_7_5_18_31.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:61.0) Gecko/20100101 Firefox/61.0,IP: ::1,Time:,2018_7_5_18_31,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
1,10100110,1,11.267,NaN,NA,NA,
1,10100110,2,11.267,NaN,NA,NA,
1,10100110,3,11.267,NaN,NA,NA,
1,10100110,4,12.269,NaN,NA,NA,
1,10100110,5,12.474,NaN,NA,22530.bmp,A358.bmp,
1,10100110,6,12.981,NaN,NA,NA,
1,10100110,7,12.998000000000001,0.015,-1,1,
2,10100111,2,13.009,NaN,NA,NA,
2,10100111,3,13.009,NaN,NA,NA,
2,10100111,4,14.011000000000001,NaN,NA,NA,
2,10100111,5,14.216000000000001,NaN,NA,27284.bmp,A48.bmp,
2,10100111,6,14.722,NaN,NA,NA,
2,10100111,7,14.738,0.015,-1,1,
3,10101000,2,14.748000000000001,NaN,NA,NA,
3,10101000,3,14.748000000000001,NaN,NA,NA,
3,10101000,4,15.749,NaN,NA,NA,
3,10101000,5,15.951,NaN,NA,27286.bmp,A50.bmp,
3,10101000,6,16.959,NaN,NA,NA,
3,10101000,7,17.025,0.065,-1,2,
3,10101000,8,17.025,NaN,NA,NA,
4,10101001,2,20.044,NaN,NA,NA,
4,10101001,3,20.044,NaN,NA,NA,
4,10101001,4,21.047,NaN,NA,NA,
4,10101001,5,21.248,NaN,NA,27260.bmp,A42.bmp,
4,10101001,6,22.256,NaN,NA,NA,
4,10101001,7,22.365000000000002,0.107,-1,2,
4,10101001,8,22.365000000000002,NaN,NA,NA,
5,10101010,2,25.385,NaN,NA,NA,
5,10101010,3,25.385,NaN,NA,NA,
5,10101010,4,26.388,NaN,NA,NA,
5,10101010,5,26.593,NaN,NA,25800.bmp,A372.bmp,
5,10101010,6,27.598,NaN,NA,NA,
5,10101010,7,27.692,0.094,-1,1,
6,00010000,2,94.08500000000001,NaN,NA,NA,
6,00010000,3,94.08500000000001,NaN,NA,NA,
6,00010000,4,95.089,NaN,NA,NA,
6,00010000,5,95.291,NaN,NA,07249.bmp,A188.bmp,
6,00010000,6,95.796,NaN,NA,NA,
6,00010000,7,95.891,0.094,1,1,
7,00100011,2,95.907,NaN,NA,NA,
7,00100011,3,95.907,NaN,NA,NA,
7,00100011,4,96.91,NaN,NA,NA,
7,00100011,5,97.114,NaN,NA,02396.bmp,A120.bmp,
7,00100011,6,97.618,NaN,NA,NA,
