demo-tst3-T1-Wed, 19 Jun 2018 15:21:50 UTC,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,1,2047
demps_lv10_hispanic_ethnicity,2,3225
demps_lv10_race,demps_lv10_race___11,1725
demps_lv10_engprimary,1,1743
demps_lv10_intactfamorigin,1,1394
demps_lv10_current_marital_status,1,1192
demps_lv10_prevmarried,0,1959
demps_lv10_nchild,0,1512
demps_lv10_nsachild,0,1948
demps_lv10_residence,3,1181
demps_lv10_current_educational_attainment,1,1975
demps_lv10_employment,8,1871
demps_lv10_leftjobreason,2,1341
mkturk_other,0,2083
