demo-JCTEST1-T1-2018_6_29_20_31,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,2,1410
demps_lv10_hispanic_ethnicity,7,1244
demps_lv10_race,demps_lv10_race___12,1677
demps_lv10_engprimary,2,2177
demps_lv10_intactfamorigin,1,3214
demps_lv10_intactfamorigindesc,s,3214
demps_lv10_current_marital_status,3,1009
demps_lv10_prevmarried,0,1706
demps_lv10_nchild,0,1332
demps_lv10_nsachild,0,1512
demps_lv10_residence,3,1162
demps_lv10_current_educational_attainment,3,1404
demps_lv10_employment,12,1363
demps_lv10_leftjobreason,5,1303
mkturk_other,1,2912
