demo-JT1-T1-2018_6_29_14_3,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,1,8170
demps_lv10_hispanic_ethnicity,2,4577
demps_lv10_hispanic_ethnicity_type,demps_lv10_hispanic_ethnicity_type___18,4577
demps_lv10_race,demps_lv10_race___10,3981
demps_lv10_engprimary,2,1255
demps_lv10_intactfamorigin,1,2499
demps_lv10_current_marital_status,5,1983
demps_lv10_prevmarried,0,1455
demps_lv10_nchild,1,1553
demps_lv10_nsachild,1,1421
demps_lv10_residence,3,1439
demps_lv10_current_educational_attainment,4,1524
demps_lv10_employment,18,1475
demps_lv10_leftjobreason,3,1601
mkturk_other,0,2157
