panas-JCTEST1-T1-2018_6_29_20_35,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1
QUESTION,RESULT,RT(ms)
panas_interested,0,1698
panas_distressed,1,979
panas_ excited,4,1770
panas_upset,3,971
panas_strong,2,1053
panas_ guilty,2,1078
panas_scared,2,885
panas_hostile,3,687
panas_enthusiastic,4,983
panas_proud,4,964
panas_ irritable,4,909
panas_alert,3,1545
panas_ashamed,3,1021
panas_inspired,3,933
panas_nervous,3,913
