panas-JT1-T2-2018_6_29_14_12,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
panas_interested,0,3105
panas_distressed,3,1016
panas_ excited,4,1181
panas_upset,3,954
panas_strong,4,870
panas_ guilty,4,1367
panas_scared,3,1067
panas_hostile,3,922
panas_enthusiastic,3,987
panas_proud,3,1318
panas_ irritable,2,1166
panas_alert,2,1482
panas_inspired,3,1187
panas_nervous,0,1231
panas_determined,3,1402
panas_attentive,3,1265
panas_jittery,2,1083
panas_active,3,1076
panas_afraid,3,1066
