Orginal File Name:,CT-JT1-2018_6_29_16_55.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_16_55,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,16.899,1.379,1,2,
practice,2,1,78,42,17.861,0.785,2,2,
practice,3,1,-56,-87,18.135,0.096,1,1,
practice,4,1,-368,-364,18.427,0.033,1,1,
practice,5,1,-434,190,29.447,10.77,1,1,
practice,6,1,-318,-102,29.775000000000002,0.065,1,2,
practice,7,1,208,224,29.995,0.035,1,2,
practice,8,1,239,-67,30.214000000000002,0.037,1,2,
practice,9,1,632,331,30.43,0.03,1,2,
practice,10,1,362,151,30.643,0.028,1,2,
practice,12,1,480,-140,30.970000000000002,0.09,1,2,
practice,13,1,208,-188,31.188000000000002,0.033,1,2,
practice,14,1,90,136,31.406000000000002,0.033,1,1,
practice,15,1,-433,-21,31.735,0.068,1,1,
practice,16,1,-680,-38,32.06,0.065,1,2,
practice,17,1,199,-266,32.278,0.033,1,2,
practice,18,1,278,139,32.493,0.027,1,1,
practice,19,1,-201,1,32.814,0.054,1,1,
practice,20,1,-261,-132,33.135,0.055,1,1,
practice,21,1,-563,-121,33.46,0.06,1,1,
practice,22,1,-218,-59,33.785000000000004,0.061,1,2,
practice,23,1,302,51,33.999,0.029,1,2,
practice,24,1,366,359,34.214,0.029,1,2,
practice,25,1,640,147,34.428,0.026000000000000002,1,1,
practice,26,1,-460,-194,34.751,0.066,1,1,
practice,27,1,-424,262,35.075,0.061,1,1,
practice,28,1,-144,4,35.398,0.061,1,1,
practice,29,1,-41,134,35.718,0.062,1,1,
practice,30,1,-144,224,36.044000000000004,0.063,1,1,
practice,31,1,-185,-116,36.367,0.065,1,1,
practice,32,1,-503,47,36.692,0.059000000000000004,1,1,
practice,33,1,-183,213,37.016,0.06,1,1,
practice,34,1,-339,7,37.339,0.064,1,1,
practice,35,1,-274,-180,37.661,0.061,1,1,
practice,36,1,-429,70,37.987,0.062,1,1,
practice,37,1,-469,174,38.311,0.061,1,1,
practice,38,1,-148,-318,38.635,0.062,1,1,
practice,39,1,-323,-61,38.963,0.069,1,1,
practice,40,1,-545,-126,39.284,0.059000000000000004,1,1,
practice,41,1,-407,188,39.615,0.067,1,1,
practice,42,1,-183,249,39.942,0.067,1,1,
practice,43,1,-467,-47,40.27,0.064,1,1,
practice,44,1,-486,-110,40.594,0.059000000000000004,1,1,
practice,45,1,-279,313,40.92,0.064,1,1,
practice,46,1,-494,173,41.241,0.054,1,1,
practice,47,1,-127,27,41.569,0.065,1,1,
practice,48,1,-149,-50,41.892,0.059000000000000004,1,2,
practice,49,1,99,-163,42.107,0.027,1,2,
practice,50,1,247,57,42.323,0.03,1,2,
practice,51,1,7,96,42.542,0.03,1,2,
practice,52,1,680,107,42.76,0.031,1,2,
practice,53,1,309,-4,42.974000000000004,0.028,1,2,
practice,54,1,25,27,43.191,0.031,1,2,
practice,55,1,63,64,43.407000000000004,0.028,1,2,
practice,56,1,490,-64,43.627,0.034,1,2,
practice,57,1,379,-110,43.849000000000004,0.034,1,1,
practice,58,1,-262,152,44.176,0.068,1,1,
practice,59,1,-354,-206,44.502,0.062,1,1,
practice,60,1,-608,294,44.828,0.061,1,1,
practice,61,1,-387,-41,45.15,0.06,1,1,
practice,62,1,-192,18,45.477000000000004,0.062,1,2,
practice,63,1,263,241,45.692,0.027,1,2,
practice,64,1,379,122,45.905,0.028,1,1,
practice,65,1,-389,71,46.230000000000004,0.063,1,1,
practice,66,1,-469,-150,46.553000000000004,0.062,1,1,
