Version:,3,Orginal File Name:,CT-JCTEST1-T1.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_20_41,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,25.454,5.875,2,1,
practice,2,1,78,42,25.78,0.056,2,2,
practice,3,1,-56,-87,25.998,0.031,2,2,
practice,4,1,-368,-364,26.215,0.036000000000000004,2,2,
practice,5,1,-434,190,26.427,0.027,2,2,
practice,6,1,-318,-102,26.642,0.03,2,1,
practice,7,1,208,224,26.963,0.06,2,1,
practice,8,1,239,-67,27.287,0.053,2,1,
practice,9,1,632,331,27.61,0.059000000000000004,2,1,
practice,10,1,362,151,27.934,0.064,2,1,
practice,12,1,480,-140,28.367,0.107,2,1,
practice,13,1,208,-188,28.695,0.058,2,1,
practice,14,1,90,136,29.019000000000002,0.055,2,2,
practice,15,1,-433,-21,29.237000000000002,0.027,2,2,
practice,16,1,-680,-38,29.455000000000002,0.029,2,1,
practice,17,1,199,-266,29.782,0.06,2,1,
practice,18,1,278,139,30.111,0.063,2,2,
practice,19,1,-201,1,30.327,0.025,2,2,
practice,20,1,-261,-132,30.548000000000002,0.031,2,2,
practice,21,1,-563,-121,30.762,0.024,2,2,
practice,22,1,-218,-59,30.98,0.028,2,1,
practice,23,1,302,51,31.311,0.063,2,1,
practice,24,1,366,359,31.635,0.055,2,1,
practice,25,1,640,147,31.966,0.064,2,2,
practice,26,1,-460,-194,32.183,0.024,2,2,
practice,27,1,-424,262,32.398,0.023,2,2,
practice,28,1,-144,4,32.611000000000004,0.021,2,2,
practice,29,1,-41,134,32.828,0.03,2,2,
practice,30,1,-144,224,33.038000000000004,0.024,2,2,
practice,31,1,-185,-116,33.254,0.033,2,2,
practice,32,1,-503,47,33.469,0.032,2,2,
practice,33,1,-183,213,33.687,0.035,2,2,
practice,34,1,-339,7,33.905,0.028,2,2,
practice,35,1,-274,-180,34.122,0.026000000000000002,2,2,
practice,36,1,-429,70,34.343,0.035,2,2,
practice,37,1,-469,174,34.56,0.029,2,2,
practice,38,1,-148,-318,34.776,0.03,2,2,
practice,39,1,-323,-61,34.991,0.032,2,2,
practice,40,1,-545,-126,35.208,0.034,2,2,
practice,41,1,-407,188,35.423,0.029,2,2,
practice,42,1,-183,249,35.64,0.037,2,2,
practice,43,1,-467,-47,35.857,0.034,2,2,
practice,44,1,-486,-110,36.073,0.031,2,2,
practice,45,1,-279,313,36.29,0.034,2,2,
practice,46,1,-494,173,36.502,0.025,2,2,
practice,47,1,-127,27,36.718,0.028,2,2,
practice,48,1,-149,-50,36.937,0.034,2,1,
practice,49,1,99,-163,37.263,0.058,2,1,
practice,50,1,247,57,37.59,0.059000000000000004,2,1,
practice,51,1,7,96,37.916000000000004,0.057,2,1,
practice,52,1,680,107,38.236000000000004,0.053,2,1,
practice,53,1,309,-4,38.561,0.06,2,1,
practice,54,1,25,27,38.885,0.058,2,1,
practice,55,1,63,64,39.212,0.059000000000000004,2,1,
practice,56,1,490,-64,39.537,0.057,2,1,
practice,57,1,379,-110,39.862,0.059000000000000004,2,2,
practice,58,1,-262,152,40.08,0.028,2,2,
practice,59,1,-354,-206,40.298,0.028,2,2,
practice,60,1,-608,294,40.515,0.028,2,2,
practice,61,1,-387,-41,40.735,0.03,2,2,
practice,62,1,-192,18,40.95,0.024,2,1,
practice,63,1,263,241,41.278,0.063,2,1,
practice,64,1,379,122,41.602000000000004,0.054,2,2,
practice,65,1,-389,71,41.824,0.034,2,2,
practice,66,1,-469,-150,42.041000000000004,0.027,2,2,
practice,67,1,-256,-113,42.257,0.026000000000000002,2,2,
practice,68,1,-255,114,42.473,0.025,2,2,
practice,69,1,-33,-82,42.692,0.03,2,2,
practice,70,1,-357,228,42.909,0.025,2,2,
practice,71,1,-284,-124,43.128,0.03,2,2,
practice,72,1,-254,190,43.35,0.032,2,2,
practice,73,1,-336,83,43.566,0.027,2,2,
practice,74,1,-72,68,43.782000000000004,0.034,2,2,
practice,75,1,-283,-36,44.001,0.033,2,2,
practice,76,1,-261,38,44.216,0.024,2,2,
practice,77,1,-586,-212,44.432,0.027,2,2,
practice,78,1,-279,-153,44.645,0.023,2,2,
practice,79,1,-384,83,44.861000000000004,0.026000000000000002,2,2,
practice,80,1,-325,207,45.08,0.028,2,1,
practice,81,1,275,3,45.405,0.058,2,1,
practice,82,1,410,20,45.736000000000004,0.062,2,1,
practice,83,1,169,100,46.06,0.059000000000000004,2,1,
practice,84,1,140,229,46.384,0.054,2,1,
practice,85,1,263,12,46.715,0.061,2,1,
practice,86,1,293,-157,47.039,0.054,2,1,
practice,87,1,315,-111,47.363,0.056,2,1,
practice,88,1,525,60,47.687,0.058,2,1,
practice,89,1,212,46,48.014,0.061,2,2,
practice,90,1,-283,-59,48.235,0.03,2,2,
practice,91,1,-85,14,48.448,0.022,2,1,
practice,92,1,250,209,48.772,0.056,2,1,
practice,93,1,-80,-82,49.101,0.062,2,2,
practice,94,1,-451,-82,49.317,0.028,2,2,
practice,95,1,-245,-53,49.532000000000004,0.024,2,1,
practice,96,1,300,27,49.856,0.056,2,1,
practice,97,1,285,30,50.178000000000004,0.053,2,1,
practice,98,1,-181,30,50.502,0.057,2,1,
practice,99,1,287,-40,50.83,0.061,2,1,
practice,100,1,271,-51,51.152,0.053,2,1,
practice,101,1,214,105,51.480000000000004,0.061,2,1,
practice,102,1,407,330,51.805,0.065,2,1,
practice,103,1,273,-1,52.128,0.063,2,1,
practice,104,1,167,-13,52.452,0.055,2,1,
practice,105,1,346,-14,52.781,0.064,2,1,
practice,106,1,391,87,53.11,0.059000000000000004,2,1,
practice,107,1,92,-41,53.434000000000005,0.06,2,1,
practice,108,1,546,-100,53.757,0.054,2,1,
practice,109,1,359,134,54.079,0.054,2,1,
practice,110,1,305,-114,54.407000000000004,0.059000000000000004,2,1,
practice,111,1,221,-188,54.734,0.058,2,1,
practice,112,1,250,-37,55.062,0.059000000000000004,2,2,
practice,113,1,-517,143,55.279,0.027,2,2,
practice,114,1,-510,-130,55.495000000000005,0.028,2,1,
practice,115,1,323,-186,55.823,0.062,2,1,
practice,116,1,417,-240,56.152,0.063,2,1,
practice,117,1,314,-37,56.473,0.058,2,1,
practice,118,1,239,48,56.805,0.063,2,1,
practice,119,1,275,155,57.128,0.055,2,1,
practice,120,1,274,89,57.457,0.061,2,1,
practice,121,1,346,44,57.785000000000004,0.06,2,1,
practice,122,1,158,37,58.112,0.056,2,1,
practice,123,1,256,65,58.433,0.052000000000000005,2,1,
practice,124,1,-19,95,58.76,0.062,2,1,
practice,125,1,359,-220,59.088,0.06,2,1,
practice,126,1,429,279,59.412,0.056,2,1,
practice,127,1,50,-102,59.743,0.067,2,1,
practice,128,1,292,111,60.065,0.062,2,2,
practice,129,1,-287,89,60.278,0.026000000000000002,2,2,
practice,130,1,140,4,60.495000000000005,0.031,2,2,
practice,131,1,-328,-1,60.713,0.027,2,2,
practice,132,1,-392,-18,60.928000000000004,0.024,2,2,
practice,133,1,-357,149,61.145,0.026000000000000002,2,2,
practice,134,1,-261,95,61.362,0.026000000000000002,2,2,
practice,135,1,-241,183,61.578,0.027,2,2,
practice,136,1,-503,-182,61.795,0.028,2,2,
practice,137,1,-395,211,62.01,0.026000000000000002,2,2,
practice,138,1,-404,-198,62.227000000000004,0.028,2,1,
practice,139,1,91,190,62.553000000000004,0.055,2,1,
practice,140,1,204,-130,62.88,0.06,2,1,
main,1,1,-192,-163,65.904,0.053,2,2,
main,2,1,-568,42,66.122,0.027,2,2,
main,3,1,-94,-87,66.339,0.02,2,2,
main,4,1,-406,-364,66.558,0.03,2,2,
main,5,1,-472,190,66.775,0.02,2,2,
main,6,1,-356,-102,66.993,0.022,2,2,
main,7,1,-438,224,67.211,0.023,2,2,
main,8,1,-407,-67,67.429,0.027,2,2,
main,9,1,-14,331,67.645,0.025,2,2,
main,10,1,-284,151,67.863,0.031,2,2,
main,12,1,-166,-140,68.19,0.078,2,2,
main,13,1,-438,-188,68.408,0.025,2,2,
main,14,1,-556,136,68.622,0.017,2,2,
main,15,1,-471,-21,68.839,0.023,2,2,
main,16,1,-680,-38,69.053,0.02,2,2,
main,17,1,-447,-266,69.27,0.024,2,2,
main,18,1,-368,139,69.485,0.021,2,2,
main,19,1,-239,1,69.703,0.023,2,2,
main,20,1,-299,-132,69.923,0.026000000000000002,2,2,
main,21,1,-601,-121,70.145,0.029,2,2,
main,22,1,-256,-59,70.361,0.019,2,2,
main,23,1,-344,51,70.578,0.027,2,2,
main,24,1,-280,359,70.794,0.021,2,2,
main,25,1,-6,147,71.014,0.028,2,2,
main,26,1,-498,-194,71.229,0.019,2,2,
main,27,1,-462,262,71.45,0.027,2,2,
main,28,1,-182,4,71.667,0.021,2,2,
main,29,1,-79,134,71.884,0.021,2,1,
main,30,1,502,224,72.21000000000001,0.051000000000000004,2,1,
main,31,1,461,-116,72.536,0.052000000000000005,2,1,
main,32,1,143,47,72.861,0.053,2,1,
main,33,1,463,213,73.18900000000001,0.053,2,1,
main,34,1,307,7,73.518,0.058,2,1,
