Version:,3,Orginal File Name:,CT-JT1.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_19_44,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,22.598,6.993,2,1,
practice,2,1,78,42,22.929000000000002,0.065,2,2,
practice,3,1,-56,-87,23.148,0.027,2,2,
practice,4,1,-368,-364,23.362000000000002,0.026000000000000002,2,2,
practice,5,1,-434,190,23.579,0.025,2,2,
practice,6,1,-318,-102,23.796,0.026000000000000002,2,1,
practice,7,1,208,224,24.121000000000002,0.055,2,1,
practice,8,1,239,-67,24.446,0.062,2,1,
practice,9,1,632,331,24.779,0.066,2,1,
practice,10,1,362,151,25.107,0.064,2,1,
practice,12,1,480,-140,25.582,0.151,2,1,
practice,13,1,208,-188,25.882,0.04,2,1,
practice,14,1,90,136,26.206,0.063,2,2,
practice,15,1,-433,-21,26.421,0.028,2,2,
practice,16,1,-680,-38,26.641000000000002,0.034,2,1,
practice,17,1,199,-266,26.967000000000002,0.059000000000000004,2,1,
practice,18,1,278,139,27.293,0.061,2,2,
practice,19,1,-201,1,27.511,0.031,2,2,
practice,20,1,-261,-132,27.728,0.031,2,2,
practice,21,1,-563,-121,27.944,0.026000000000000002,2,2,
practice,22,1,-218,-59,28.16,0.025,2,1,
practice,23,1,302,51,28.485,0.055,2,1,
practice,24,1,366,359,28.810000000000002,0.056,2,1,
practice,25,1,640,147,29.135,0.059000000000000004,2,2,
practice,26,1,-460,-194,29.352,0.027,2,2,
practice,27,1,-424,262,29.568,0.025,2,2,
practice,28,1,-144,4,29.783,0.025,2,2,
practice,29,1,-41,134,30.001,0.029,2,2,
practice,30,1,-144,224,30.215,0.025,2,2,
practice,31,1,-185,-116,30.431,0.028,2,2,
practice,32,1,-503,47,30.649,0.029,2,2,
practice,33,1,-183,213,30.867,0.027,2,2,
practice,34,1,-339,7,31.082,0.028,2,2,
practice,35,1,-274,-180,31.297,0.028,2,2,
practice,36,1,-429,70,31.512,0.029,2,2,
practice,37,1,-469,174,31.73,0.033,2,2,
practice,38,1,-148,-318,31.947,0.029,2,2,
practice,39,1,-323,-61,32.161,0.023,2,2,
practice,40,1,-545,-126,32.379,0.027,2,2,
practice,41,1,-407,188,32.599000000000004,0.031,2,2,
practice,42,1,-183,249,32.817,0.029,2,2,
practice,43,1,-467,-47,33.035000000000004,0.028,2,2,
practice,44,1,-486,-110,33.257,0.034,2,2,
practice,45,1,-279,313,33.476,0.027,2,2,
practice,46,1,-494,173,33.691,0.028,2,2,
practice,47,1,-127,27,33.907000000000004,0.027,2,2,
practice,48,1,-149,-50,34.122,0.026000000000000002,2,1,
practice,49,1,99,-163,34.448,0.057,2,1,
practice,50,1,247,57,34.775,0.07100000000000001,2,1,
practice,51,1,7,96,35.1,0.065,2,1,
practice,52,1,680,107,35.427,0.063,2,1,
practice,53,1,309,-4,35.759,0.068,2,1,
practice,54,1,25,27,36.082,0.058,2,1,
practice,55,1,63,64,36.407000000000004,0.064,2,1,
practice,56,1,490,-64,36.735,0.062,2,1,
practice,57,1,379,-110,37.061,0.065,2,2,
practice,58,1,-262,152,37.277,0.028,2,2,
practice,59,1,-354,-206,37.494,0.028,2,2,
practice,60,1,-608,294,37.714,0.029,2,2,
practice,61,1,-387,-41,37.935,0.03,2,2,
practice,62,1,-192,18,38.154,0.029,2,1,
practice,63,1,263,241,38.483000000000004,0.064,2,1,
practice,64,1,379,122,38.808,0.057,2,2,
practice,65,1,-389,71,39.025,0.026000000000000002,2,2,
practice,66,1,-469,-150,39.242,0.027,2,2,
practice,67,1,-256,-113,39.459,0.026000000000000002,2,2,
practice,68,1,-255,114,39.68,0.033,2,2,
practice,69,1,-33,-82,39.902,0.033,2,2,
practice,70,1,-357,228,40.12,0.025,2,2,
practice,71,1,-284,-124,40.341,0.029,2,2,
practice,72,1,-254,190,40.562,0.031,2,2,
practice,73,1,-336,83,40.779,0.027,2,2,
practice,74,1,-72,68,40.996,0.027,2,2,
practice,75,1,-283,-36,41.213,0.027,2,2,
practice,76,1,-261,38,41.43,0.027,2,2,
practice,77,1,-586,-212,41.645,0.025,2,2,
practice,78,1,-279,-153,41.862,0.028,2,2,
practice,79,1,-384,83,42.077,0.03,2,2,
practice,80,1,-325,207,42.294000000000004,0.026000000000000002,2,1,
practice,81,1,275,3,42.618,0.055,2,1,
practice,82,1,410,20,42.944,0.058,2,1,
practice,83,1,169,100,43.272,0.063,2,1,
practice,84,1,140,229,43.6,0.06,2,1,
practice,85,1,263,12,43.928000000000004,0.058,2,1,
practice,86,1,293,-157,44.257,0.064,2,1,
practice,87,1,315,-111,44.583,0.056,2,1,
practice,88,1,525,60,44.913000000000004,0.061,2,1,
practice,89,1,212,46,45.241,0.06,2,2,
practice,90,1,-283,-59,45.458,0.029,2,2,
practice,91,1,-85,14,45.672000000000004,0.024,2,1,
practice,92,1,250,209,46,0.064,2,1,
practice,93,1,-80,-82,46.329,0.059000000000000004,2,2,
practice,94,1,-451,-82,46.544000000000004,0.024,2,2,
practice,95,1,-245,-53,46.762,0.031,2,1,
practice,96,1,300,27,47.088,0.058,2,1,
