Orginal File Name:,CT-JTCTTEST-2018_6_29_17_50.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_17_50,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,14.289,1.669,1,2,
practice,2,1,78,42,14.506,0.03,1,1,
practice,3,1,-56,-87,14.833,0.057,1,1,
practice,4,1,-368,-364,15.158,0.054,1,1,
practice,5,1,-434,190,15.479000000000001,0.052000000000000005,1,1,
practice,6,1,-318,-102,15.809000000000001,0.063,1,2,
practice,7,1,208,224,16.029,0.029,1,2,
practice,8,1,239,-67,16.249,0.033,1,2,
practice,9,1,632,331,16.466,0.028,1,2,
practice,10,1,362,151,16.684,0.029,1,2,
practice,12,1,480,-140,17.009,0.082,1,2,
practice,13,1,208,-188,17.228,0.034,1,2,
practice,14,1,90,136,17.446,0.033,1,1,
practice,15,1,-433,-21,17.771,0.068,1,1,
practice,16,1,-680,-38,18.099,0.061,1,2,
practice,17,1,199,-266,18.313,0.025,1,2,
practice,18,1,278,139,18.53,0.036000000000000004,1,1,
practice,19,1,-201,1,18.86,0.068,1,1,
practice,20,1,-261,-132,19.186,0.059000000000000004,1,1,
practice,21,1,-563,-121,19.513,0.058,1,1,
practice,22,1,-218,-59,19.839000000000002,0.057,1,2,
practice,23,1,302,51,20.059,0.036000000000000004,1,2,
practice,24,1,366,359,20.28,0.037,1,2,
practice,25,1,640,147,20.499,0.036000000000000004,1,1,
practice,26,1,-460,-194,20.829,0.068,1,1,
practice,27,1,-424,262,21.151,0.057,1,1,
practice,28,1,-144,4,21.479,0.064,1,1,
practice,29,1,-41,134,21.805,0.058,1,1,
practice,30,1,-144,224,22.129,0.058,1,1,
practice,31,1,-185,-116,22.455000000000002,0.058,1,1,
practice,32,1,-503,47,22.783,0.059000000000000004,1,1,
