Version:,2,Orginal File Name:,CT-JTCTTEST-T2.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_19_56,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,15.528,0.452,3,2,
practice,2,1,78,42,17.981,2.261,2,2,
practice,3,1,-56,-87,18.198,0.029,2,2,
practice,4,1,-368,-364,18.411,0.02,2,2,
practice,5,1,-434,190,18.628,0.031,2,2,
practice,6,1,-318,-102,18.844,0.033,2,1,
practice,7,1,208,224,19.167,0.058,2,1,
practice,8,1,239,-67,19.493000000000002,0.062,2,1,
practice,9,1,632,331,19.815,0.058,2,1,
practice,10,1,362,151,20.141000000000002,0.062,2,1,
practice,12,1,480,-140,20.467,0.007,2,1,
practice,13,1,208,-188,20.789,0.044,2,1,
practice,14,1,90,136,21.12,0.07200000000000001,2,2,
practice,15,1,-433,-21,21.335,0.026000000000000002,2,2,
practice,16,1,-680,-38,21.554000000000002,0.028,2,1,
practice,17,1,199,-266,21.88,0.064,2,1,
practice,18,1,278,139,22.204,0.061,2,2,
practice,19,1,-201,1,22.416,0.026000000000000002,2,2,
practice,20,1,-261,-132,22.632,0.028,2,2,
practice,21,1,-563,-121,22.851,0.031,2,2,
practice,22,1,-218,-59,23.068,0.027,2,1,
practice,23,1,302,51,23.393,0.059000000000000004,2,1,
practice,24,1,366,359,23.718,0.061,2,1,
practice,25,1,640,147,24.041,0.065,2,2,
practice,26,1,-460,-194,24.258,0.034,2,2,
practice,27,1,-424,262,24.475,0.034,2,2,
practice,28,1,-144,4,24.691,0.038,2,2,
practice,29,1,-41,134,24.907,0.033,2,2,
practice,30,1,-144,224,25.123,0.034,2,2,
practice,31,1,-185,-116,25.341,0.033,2,2,
practice,32,1,-503,47,25.557000000000002,0.03,2,2,
practice,33,1,-183,213,25.769000000000002,0.025,2,2,
practice,34,1,-339,7,25.985,0.031,2,2,
practice,35,1,-274,-180,26.201,0.032,2,2,
practice,36,1,-429,70,26.415,0.027,2,2,
practice,37,1,-469,174,26.633,0.034,2,2,
practice,38,1,-148,-318,26.846,0.026000000000000002,2,2,
practice,39,1,-323,-61,27.067,0.037,2,2,
practice,40,1,-545,-126,27.287,0.034,2,2,
practice,41,1,-407,188,27.509,0.044,2,2,
practice,42,1,-183,249,27.725,0.033,2,2,
practice,43,1,-467,-47,27.941,0.026000000000000002,2,2,
practice,44,1,-486,-110,28.158,0.034,2,2,
practice,45,1,-279,313,28.371000000000002,0.027,2,2,
practice,46,1,-494,173,28.59,0.033,2,2,
practice,47,1,-127,27,28.808,0.032,2,2,
practice,48,1,-149,-50,29.026,0.03,2,1,
practice,49,1,99,-163,29.348,0.063,2,1,
practice,50,1,247,57,29.674,0.066,2,1,
practice,51,1,7,96,29.997,0.062,2,1,
practice,52,1,680,107,30.319,0.063,2,1,
practice,53,1,309,-4,30.641000000000002,0.061,2,1,
