Version:,1,Orginal File Name:,GT-JT-T343.csv,"UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",IP: ::1,Time:,2018_8_22_17_13,Parameter File:,None:FromjsPsych
trial_index,trial_type,trial_number,event,condition,absolute_time_sec,response_time_sec,outcome,points
0,fullscreen,,undefined,undefined,12588,undefined,undefined,undefined
1,html-keyboard-response,,undefined,undefined,14981,2358,undefined,undefined
2,instructions,,undefined,undefined,17725,2738,undefined,undefined
3,image-keyboard-response,1,fractal_cue,d,17860,128,,undefined
4,html-keyboard-response,1,fixation,,18709,,undefined,undefined
5,html-keyboard-response,1,target_detection,,20220,,lose,-1
6,html-keyboard-response,1,fixed_fixation,,21228,,undefined,undefined
7,image-keyboard-response,1,probability_outcome_lose,,22241,,undefined,undefined
8,html-keyboard-response,1,posttrial_wait,,23401,,undefined,undefined
9,image-keyboard-response,2,fractal_cue,b,24910,,,undefined
10,html-keyboard-response,2,fixation,,25782,,undefined,undefined
11,html-keyboard-response,2,target_detection,,27293,,lose,-2
12,html-keyboard-response,2,fixed_fixation,,28302,,undefined,undefined
13,image-keyboard-response,2,probability_outcome_lose,,29314,,undefined,undefined
14,html-keyboard-response,2,posttrial_wait,,30793,,undefined,undefined
15,image-keyboard-response,3,fractal_cue,d,32304,,,undefined
16,html-keyboard-response,3,fixation,,33714,,undefined,undefined
17,html-keyboard-response,3,target_detection,,35229,,lose,-3
18,html-keyboard-response,3,fixed_fixation,,36238,,undefined,undefined
19,image-keyboard-response,3,probability_outcome_lose,,37253,,undefined,undefined
20,html-keyboard-response,3,posttrial_wait,,38250,,undefined,undefined
21,image-keyboard-response,4,fractal_cue,d,39764,,,undefined
22,html-keyboard-response,4,fixation,,40513,,undefined,undefined
23,html-keyboard-response,4,target_detection,,42028,,lose,-4
24,html-keyboard-response,4,fixed_fixation,,43043,,undefined,undefined
25,image-keyboard-response,4,probability_outcome_lose,,44060,,undefined,undefined
26,html-keyboard-response,4,posttrial_wait,,45467,,undefined,undefined
27,image-keyboard-response,5,fractal_cue,d,46984,,,undefined
28,html-keyboard-response,5,fixation,,47655,,undefined,undefined
29,html-keyboard-response,5,target_detection,,49169,,lose,-5
30,html-keyboard-response,5,fixed_fixation,,50186,,undefined,undefined
31,image-keyboard-response,5,probability_outcome_lose,,51203,,undefined,undefined
32,html-keyboard-response,5,posttrial_wait,,52688,,undefined,undefined
