id,mkturk_id,task_chicken_T1,task_chicken_T2,survey_demo_T1,survey_demo_T2,survey_phq_T1,survey_phq_T2,survey_oasis_T1,survey_oasis_T2,survey_panas_T1,survey_panas_T2,survey_panasx_T1,survey_panasx_T2
2,A2UIGDOLX5RV95,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
15,AURYD2FH3FUOQ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,A39N0WW02VT0MB,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
90,A3GM78FCDY293T,YES,NULL,YES,YES,YES,YES,YES,YES,YES,YES,NULL,NULL
96,A1FHS282JP487T,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL,NULL,NULL
117,A256FHXGSY0E5D,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
123,A5LLSZG8YCAZF,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL
138,A1DVKS3R9SLQ1H-1,NULL,NULL,YES,YES,YES,YES,YES,YES,YES,YES,NULL,NULL
157,A299J4PKHAEU9H,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL,NULL,NULL
185,A36W7RZROOARHJ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
188,A20NITCOBY4775,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
193,A1V2H0UF94ATWY,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
203,A28PS7TGEQCFT4,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
206,A2LV5432PV1S39,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
209,A13V6ZYVF3A7EW,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
216,A8TIL9U6YHG5,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
219,A272A0JGRTBFCR,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
222,A2GK8NS27GDFCZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
225,A2HG1N3BVQO6I,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
228,A3DZGDF9HCTAOB,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
235,AIR4UQNPIMFCJ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
238,A5V3ZMQI0PU3F,NULL,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
249,A2WHC086WNUQNB,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
253,A129DU6FOHUVNO,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
256,A3VOMP0WOJTB4I,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
265,A70L26UXLTGLC,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
268,A3QZMGTVA4VO44,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
279,AQJWO4YPR3LUQ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
280,A3OLRWACCCCUTU,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
282,A1IZ4NX41GKU4X,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
283,AETIZKQNUSBLB,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
287,A1NGXQMOBCXDC3,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
291,A9MYC5IGQ2DO4,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
297,A2H8GNSEVUJXYL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
298,A1YYDRHVY4LL8K,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
302,A37M4OVE9R80G,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
304,A1SP3GBRZKMWZJ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
307,A3IL3HGJW7K6Q1,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
310,A2IOT3PCS9G5RK,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
311,A2M59R65OZRNNX,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
323,A1K8QNLYYYX21W,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
325,A1U0GNE5ELW5V7,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
330,A2WTDVHVVORNDU,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
331,A667L63P4M8NO,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
336,AY45B0YHI4TUP,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
337,AXQWKUJF7SQXP,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
338,AMC42JMQA8A5U,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
345,AKX5RHHO8BIUX,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
352,A1S88VQY8G8CNC,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
353,AUOYNTK0GOFOM,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
360,A5AGL4DPWPK5B,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
361,A2UO3QJZNC2VOE,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
363,AV3GP5YAMSMSL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
366,A2BF4L2P8D4Q0U,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
378,A2IPSQ0YYH2A41,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
382,A1MIR0TP081SKT,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
383,COPIEDA3O6D3HPXD0H8I,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
388,A2RR3R75ECQSKE,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
390,A2TT6FAIWFD25N,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
