id,mkturk_id,task_dotprobe_T1,task_dotprobe_T2,survey_demo_T1,survey_demo_T2,survey_phq_T1,survey_phq_T2,survey_oasis_T1,survey_oasis_T2,survey_panas_T1,survey_panas_T2
17693,A2TZ5GVXZCMZMS,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17694,A37M4OVE9R80G,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17695,A124E03UMDZAA9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17696,A3J2CI4J5V3MLP,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17697,AVEEXNWYXBSGM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17698,A4J4GGMKJ68L0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17699,AMUC6OI4A2GY4,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17700,A2B6WQG0A9CKXQ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17701,A1B8GYI6D690QX,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17702,A2ZRF4I5RTKN7G,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17708,A2TC1ZFCTOCDA5,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17715,A1EUBMQ86K32XE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17725,AJY6J33X1KJNP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17732,APR6H3HAOE9OU,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17733,A320QA9HJFUOZO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17748,AHEJHFN0VV6E3,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17750,A2JRONMDBUJT3K,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17753,A3IL3HGJW7K6Q1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17754,A3DZGDF9HCTAOB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17762,A2RR3R75ECQSKE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17770,1623510,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17771,A3UUH3632AI3ZX,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17774,ATR6RB1RULOC0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17779,A3EJ44J2ZNRMDA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17786,A16HSMUJ7C7QA7,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17790,A1TK0ZMZ571GG0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17796,A2HR7ZIX42FEPG,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17798,A2SYRFPPV9WDEG,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
