block,trial_number,initial_offer,trial_length,ts_high,ts_withdrawal,trial_isi
1,1,37,8,0,2,3882
1,2,68,4,0,2,3200
1,3,68,8,0,0,3489
1,4,19,4,0,0,4120
1,5,41,8,0,2,3933
1,6,26,8,0,2,2511
1,7,48,4,0,0,3475
1,8,68,8,2,0,2924
1,9,56,4,0,0,2948
1,10,45,8,2,0,3205
1,11,65,4,0,0,3072
1,12,37,4,0,0,3727
1,13,52,4,3,0,3380
1,14,26,8,0,0,3060
1,15,16,8,3,0,3221
1,16,52,4,2,0,3166
1,17,32,4,0,0,3747
1,18,23,8,4,0,2897
1,19,16,4,0,0,3156
1,20,28,4,0,0,2572
1,21,65,4,0,2,1723
1,22,16,4,2,0,3326
1,23,19,8,0,8,3432
1,24,52,8,2,0,2628
1,25,45,4,0,3,4134
1,26,45,8,6,0,2272
1,27,28,8,2,0,3022
1,28,41,4,0,0,2906
1,29,59,4,0,0,3766
1,30,61,8,0,2,3734
1,31,19,8,0,0,3077
1,32,56,4,0,0,3189
1,33,12,4,4,0,2556
1,34,23,8,0,3,2009
1,35,56,8,0,2,2826
1,36,48,8,3,0,3078
2,1,65,4,0,4,3615
2,2,52,8,0,2,3601
2,3,61,4,0,3,2806
2,4,16,8,0,0,2848
2,5,19,4,0,0,2475
2,6,34,8,0,2,2289
2,7,48,8,0,8,2146
2,8,12,4,0,0,3975
2,9,61,4,0,4,2745
2,10,48,8,0,5,2780
2,11,59,4,0,0,2373
2,12,12,8,0,0,3388
2,13,23,8,0,0,2193
2,14,68,4,0,2,2893
2,15,12,8,0,0,2552
2,16,56,8,0,5,3193
2,17,32,8,0,2,2744
2,18,23,4,0,0,2409
2,19,59,4,0,0,2985
2,20,61,4,2,0,3214
2,21,48,4,0,0,3033
2,22,65,8,2,0,3151
2,23,16,4,3,0,2682
2,24,37,8,0,4,2818
2,25,48,4,0,0,2663
2,26,45,4,2,0,2820
2,27,23,4,0,0,2593
2,28,32,8,0,0,2136
2,29,61,8,0,2,3088
2,30,28,8,0,3,2799
2,31,37,4,0,0,2184
2,32,45,8,3,0,3231
2,33,19,4,0,0,2546
2,34,59,8,0,2,3025
2,35,41,4,2,0,3364
2,36,32,8,0,3,3064
3,1,34,4,0,0,3569
3,2,28,4,2,0,2382
3,3,34,4,0,0,3201
3,4,59,8,0,3,2657
3,5,65,8,0,0,2564
3,6,16,8,0,5,2710
3,7,37,8,2,0,2844
3,8,23,4,0,2,3028
3,9,61,8,0,0,2417
3,10,32,4,3,0,3450
3,11,26,4,0,3,3232
3,12,41,4,0,0,2231
3,13,37,4,0,0,3744
3,14,19,8,2,0,3947
3,15,56,8,0,0,3589
3,16,34,8,2,0,2910
3,17,65,8,2,0,2464
3,18,26,8,0,4,3527
3,19,26,4,0,0,2798
3,20,34,8,0,4,3611
3,21,68,8,3,0,3104
3,22,45,4,0,0,3488
3,23,12,4,0,0,3178
3,24,41,8,2,0,3353
3,25,12,8,0,3,3005
3,26,34,4,0,0,3892
3,27,41,8,2,0,3063
3,28,28,8,2,0,3200
3,29,59,8,0,4,3941
3,30,26,4,0,4,2326
3,31,52,4,0,0,2364
3,32,28,4,0,0,3484
3,33,52,8,0,0,2413
3,34,68,4,0,0,3971
3,35,32,4,0,4,2793
3,36,56,4,0,0,2626
