trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3,ITI,game_room_number
16,unpleasant,0.2712,0.9723,0.7656,46,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-739-012-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-740-273-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_46/CFD-IM-743-006-N.jpg,1.5,1
16,unpleasant,0.253,0.2638,0.8082,8,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1046.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1086.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_8/NF-1088.jpg,1.0,2
16,unpleasant,0.6771,0.8909,0.1205,22,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1037.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1041.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_22/NF-1048.jpg,0.5,3
16,unpleasant,0.4557,0.4873,0.6372,36,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-638-250-1-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-646-023-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_36/CFD-IM-647-548-N.jpg,0.5,4
16,unpleasant,0.5797,0.5017,0.1139,27,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1011.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1038.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_27/NM-1070.jpg,1.5,5
16,unpleasant,0.2993,0.6921,0.1387,7,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1063.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1097.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1105.jpg,1.0,6
16,unpleasant,0.6661,0.1447,0.7227,35,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-217-070-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-235-147-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-245-123-N.jpg,0.5,7
16,unpleasant,0.5003,0.4056,0.3771,14,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1076.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1080.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1099.jpg,0.5,8
16,unpleasant,0.7886,0.6485,0.7971,16,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1053.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1059.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1107.jpg,1.5,9
16,unpleasant,0.5586,0.5424,0.6091,4,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1005.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1015.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1017.jpg,4.0,10
