trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3
16,pleasant,0.6661,0.1447,0.7227,25,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1004.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1069.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1087.jpg
16,pleasant,0.4557,0.4873,0.6372,33,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_33/CFD-BM-009-002-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_33/CFD-BM-019-002-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_33/CFD-BM-030-003-N.jpg
16,pleasant,0.2712,0.9723,0.7656,47,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-221-091-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-225-127-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_47/CFD-WM-241-072-N.jpg
16,pleasant,0.3623,0.3891,0.1726,20,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_20/NF-1025.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_20/NF-1050.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_20/NF-1056.jpg
16,pleasant,0.0432,0.3888,0.7258,31,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_31/CFD-IM-694-297-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_31/CFD-IM-702-101-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_31/CFD-IM-703-182-N.jpg
16,pleasant,0.1321,0.671,0.7165,39,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-207-108-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-231-136-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_39/CFD-AM-242-176-N.jpg
16,pleasant,0.7151,0.5357,0.5668,3,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_3/NF-1043.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_3/NF-1106.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_3/NF-1108.jpg
16,pleasant,0.6771,0.8909,0.1205,6,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1047.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1068.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1110.jpg
16,pleasant,0.5586,0.5424,0.6091,2,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1023.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1061.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_2/NF-1067.jpg
16,pleasant,0.2993,0.6921,0.1387,10,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1003.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1008.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1062.jpg
16,pleasant,0.253,0.2638,0.8082,15,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_15/NF-1094.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_15/NF-1100.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_15/NF-1101.jpg
16,pleasant,0.4937,0.8078,0.6343,11,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_11/NF-1006.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_11/NF-1051.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_11/NF-1071.jpg
16,pleasant,0.5003,0.4056,0.3771,5,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_5/NF-1009.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_5/NF-1083.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_5/NF-1096.jpg
16,pleasant,0.7886,0.6485,0.7971,19,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1053.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1059.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1107.jpg
16,pleasant,0.7749,0.4079,0.428,26,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_26/NF-1057.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_26/NF-1072.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_26/NF-1109.jpg
16,pleasant,0.697,0.251,0.3832,1,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_1/NF-1013.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_1/NF-1020.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_1/NF-1042.jpg
16,pleasant,0.6982,0.5139,0.47,17,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_17/NF-1012.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_17/NF-1022.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_17/NF-1031.jpg
16,pleasant,0.5797,0.5017,0.1139,12,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1030.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1045.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1073.jpg
16,pleasant,0.4362,0.5075,0.2759,18,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_18/NF-1014.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_18/NF-1016.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_18/NF-1018.jpg
