outcome_type,image_path,face_noface,ITI
neutral,/js/tasks/cooperation_task/media/outcome_media/images/6150.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7002.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7185.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2870.jpg,face,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7950.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7503.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/5390.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7207.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2570.jpg,face,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2880.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7235.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7006.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/004_o_m_n_b.jpg,face,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7080.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/5740.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7550.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/8010.jpg,face,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7140.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7491.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2190.jpg,face,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7590.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7490.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7217.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2620.jpg,face,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7030.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7009.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/066_y_m_n_b.jpg,face,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7710.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/5900.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7620.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7035.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2200.jpg,face,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7025.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/079_o_f_n_b.jpg,face,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7020.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7100.jpg,noface,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7180.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/2221.jpg,face,1
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7187.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7233.jpg,noface,0.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/9070.jpg,face,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7205.jpg,noface,1.5
neutral,/js/tasks/cooperation_task/media/outcome_media/images/7500.jpg,noface,0.5
