trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration
1,sad,high,low,0.5,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.901
2,angry,low,high,1.5,0.759259259,54,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.901
3,sad,high,low,1.5,0.759259259,54,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.901
4,sad,high,high,0.5,0.759259259,54,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.901
5,angry,low,high,1.5,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.901
6,sad,high,low,1,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.901
7,angry,high,low,1.5,0.759259259,54,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.901
8,sad,high,low,0.5,0.759259259,54,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.901
9,angry,low,high,1,0.759259259,54,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.901
10,angry,high,low,1,0.759259259,54,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.901
11,sad,high,low,1.5,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.901
12,angry,low,high,1,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.901
13,sad,high,high,0.5,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.901
14,angry,low,low,1.5,0.759259259,54,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.901
15,sad,low,low,1,0.759259259,54,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.901
16,sad,high,high,0.5,0.759259259,54,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.901
17,angry,low,low,1,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.901
18,sad,high,high,0.5,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.901
19,angry,low,low,1,0.759259259,54,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.901
20,sad,high,high,1.5,0.759259259,54,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.901
21,angry,low,low,0.5,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.901
22,sad,low,high,1.5,0.759259259,54,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.901
23,angry,high,low,1,0.759259259,54,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.901
24,angry,low,high,0.5,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.901
25,sad,high,high,1,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.901
26,angry,low,low,1.5,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.901
27,sad,low,high,0.5,0.759259259,54,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.901
28,sad,high,low,1.5,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.901
29,angry,low,low,0.5,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.901
30,angry,high,high,1.5,0.759259259,54,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.901
31,angry,low,low,1,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.901
32,sad,high,high,1.5,0.759259259,54,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.901
33,sad,low,low,1.5,0.759259259,54,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.901
34,angry,low,high,1,0.759259259,54,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.901
35,sad,high,low,0.5,0.759259259,54,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.901
36,angry,low,high,1.5,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.901
37,sad,high,low,0.5,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.901
38,angry,low,high,1,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.901
39,sad,low,high,0.5,0.759259259,54,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.901
40,sad,high,high,1.5,0.759259259,54,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.901
41,angry,low,low,0.5,0.759259259,54,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.901
42,angry,high,low,1,0.759259259,54,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.901
43,angry,low,high,0.5,0.759259259,54,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.901
44,sad,high,low,1,0.759259259,54,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.901
45,angry,high,low,0.5,0.759259259,54,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.901
46,angry,low,low,1.5,0.759259259,54,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.901
47,sad,high,high,1,0.759259259,54,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.901
48,sad,low,low,1.5,0.759259259,54,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.901
