trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration,,,
1,sad,low,low,0.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
2,angry,high,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
3,sad,low,low,1.5,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
4,sad,low,high,0.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
5,angry,high,high,1.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,high
6,sad,low,low,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
7,angry,low,low,1.5,0.805555556,72,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,low
8,sad,low,low,0.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
9,angry,high,high,1,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
10,angry,low,low,1,0.805555556,72,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
11,sad,low,low,1.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
12,angry,high,high,1,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
13,sad,low,high,0.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,low
14,angry,high,low,1.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
15,sad,high,low,1,0.805555556,72,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,high
16,sad,low,high,0.5,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,low
17,angry,high,low,1,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
18,sad,low,high,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
19,angry,high,low,1,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
20,sad,low,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
21,angry,high,low,0.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
22,sad,high,high,1.5,0.805555556,72,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,high
23,angry,low,low,1,0.805555556,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,low
24,angry,high,high,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
25,sad,low,high,1,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,low
26,angry,high,low,1.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
27,sad,high,high,0.5,0.805555556,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
28,sad,low,low,1.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
29,angry,high,low,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,high
30,angry,low,high,1.5,0.805555556,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
31,angry,high,low,1,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
32,sad,low,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
33,sad,low,low,1.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
34,angry,high,high,1,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
35,sad,low,low,0.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
36,angry,high,high,1.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
37,sad,low,low,0.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
38,angry,high,high,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
39,sad,high,high,0.5,0.805555556,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
40,sad,low,high,1.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
41,angry,high,low,0.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,high
42,sad,low,low,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
43,angry,high,high,0.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,high
44,sad,low,low,1,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
45,angry,low,low,0.5,0.805555556,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,low
46,angry,high,low,1.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
47,sad,low,high,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
48,angry,high,low,1.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
49,sad,low,high,1,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
50,sad,high,low,1.5,0.805555556,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
51,angry,high,high,0.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
52,sad,low,low,1,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
53,angry,low,high,0.5,0.805555556,72,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
54,sad,low,high,1.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
55,angry,high,low,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,high
56,sad,low,high,1.5,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,low
57,angry,low,low,0.5,0.805555556,72,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,low
58,angry,high,high,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
59,sad,low,high,1,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,low
60,angry,high,high,0.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
61,angry,high,low,1,0.805555556,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
62,angry,high,high,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
63,sad,low,low,1.5,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
64,angry,high,high,1.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,high
65,sad,low,low,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
66,sad,low,high,0.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
67,angry,low,low,1.5,0.805555556,72,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,low
68,sad,low,high,1,0.805555556,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,low
69,sad,high,low,1,0.805555556,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
70,angry,high,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
71,sad,low,low,0.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
72,angry,high,high,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
73,sad,high,low,1,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,high
74,angry,low,high,0.5,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
75,sad,high,high,1.5,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
76,sad,high,low,1.5,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
77,angry,low,low,0.5,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
78,sad,high,high,0.5,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,high
79,sad,high,low,1,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,high
80,angry,low,high,1.5,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
81,angry,low,low,0.5,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,low
82,sad,high,high,1,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
83,angry,low,high,0.5,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,low
84,angry,high,low,1.5,0.203125,64,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,high
85,sad,high,high,1,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,high
86,angry,low,high,0.5,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,low
87,sad,high,high,1,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
88,sad,high,low,1.5,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
