block,stim_paths,stim_type
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_M6_WF_continua/MC10_Anger/MC10_Ang_075_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_M6_WF_continua/MC10_Anger/MC10_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_M6_WF_continua/MC10_Anger/MC10_Ang_050_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_M6_WF_continua/MC10_Sadness/MC10_Sad_050_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_M6_WF_continua/MC10_Sadness/MC10_Sad_075_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_M6_WF_continua/MC10_Sadness/MC10_Sad_100_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_F4_MF_continua/MC02_Sadness/MC02_Sad_050_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_F4_MF_continua/MC02_Sadness/MC02_Sad_075_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_F4_MF_continua/MC02_Sadness/MC02_Sad_100_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_F4_MF_continua/MC02_Anger/MC02_Ang_075_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_F4_MF_continua/MC02_Anger/MC02_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_F4_MF_continua/MC02_Anger/MC02_Ang_125_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_F6_NR_continua/MC04_Sadness/MC04_Sad_125_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_F6_NR_continua/MC04_Sadness/MC04_Sad_075_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_F6_NR_continua/MC04_Sadness/MC04_Sad_100_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_F6_NR_continua/MC04_Anger/MC04_Ang_075_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_F6_NR_continua/MC04_Anger/MC04_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_F6_NR_continua/MC04_Anger/MC04_Ang_050_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_M4_JJ_continua/MC08_Anger/MC08_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_M4_JJ_continua/MC08_Anger/MC08_Ang_075_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_M4_JJ_continua/MC08_Anger/MC08_Ang_050_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_M4_JJ_continua/MC08_Sadness/MC08_Sad_050_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_M4_JJ_continua/MC08_Sadness/MC08_Sad_100_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_M4_JJ_continua/MC08_Sadness/MC08_Sad_075_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_F5_MO_continua/MC03_Sadness/MC03_Sad_050_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_F5_MO_continua/MC03_Sadness/MC03_Sad_075_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_F5_MO_continua/MC03_Sadness/MC03_Sad_100_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_F5_MO_continua/MC03_Anger/MC03_Ang_075_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_F5_MO_continua/MC03_Anger/MC03_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_F5_MO_continua/MC03_Anger/MC03_Ang_050_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_M1_EM_continua/MC07_Sadness/MC07_Sad_100_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_M1_EM_continua/MC07_Sadness/MC07_Sad_075_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_M1_EM_continua/MC07_Sadness/MC07_Sad_050_.jpg,sad
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_M1_EM_continua/MC07_Anger/MC07_Ang_050_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_M1_EM_continua/MC07_Anger/MC07_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_M1_EM_continua/MC07_Anger/MC07_Ang_075_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_M5_PE_continua/MC09_Anger/MC09_Ang_100_.jpg,angry
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_M5_PE_continua/MC09_Anger/MC09_Ang_075_.jpg,angry
