trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration
1,sad,low,high,1.5,0.9,30,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
2,sad,low,low,1,0.9,30,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
3,angry,high,high,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
4,sad,low,low,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
5,angry,high,low,1,0.9,30,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
6,angry,high,high,1.5,0.9,30,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
7,angry,high,low,0.5,0.9,30,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
8,sad,low,high,1.5,0.9,30,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
9,angry,low,high,1.5,0.9,30,0,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
10,angry,high,low,1,0.9,30,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
11,sad,low,high,0.5,0.9,30,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
12,angry,high,low,1,0.9,30,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
13,sad,low,low,1.5,0.9,30,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
14,angry,high,high,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
15,sad,high,low,1,0.9,30,0,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
16,angry,high,high,0.5,0.9,30,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
17,angry,high,low,1,0.9,30,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
18,sad,low,high,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
19,angry,high,high,0.5,0.9,30,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
20,sad,low,high,1,0.9,30,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
21,sad,low,low,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
22,angry,high,low,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
23,sad,high,high,0.5,0.9,30,0,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
24,sad,low,low,1,0.9,30,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
25,angry,high,high,1.5,0.9,30,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
26,sad,low,low,1,0.9,30,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
27,angry,high,high,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
28,angry,high,low,1,0.9,30,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
29,sad,low,low,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
30,angry,high,high,0.5,0.9,30,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
31,sad,high,low,1,0.1,30,0,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
32,angry,low,high,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
33,sad,high,high,0.5,0.1,30,0,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
34,angry,high,low,1.5,0.1,30,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
35,sad,high,low,1,0.1,30,0,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
36,sad,high,high,1.5,0.1,30,0,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
37,angry,low,low,1,0.1,30,0,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
38,sad,high,high,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
39,sad,high,low,1,0.1,30,0,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
40,angry,low,low,1.5,0.1,30,0,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
41,sad,high,low,0.5,0.1,30,0,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
42,angry,low,low,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
43,sad,high,high,1,0.1,30,0,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
44,angry,low,low,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
45,sad,high,high,0.5,0.1,30,0,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
46,sad,low,low,1.5,0.1,30,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
47,angry,low,low,1,0.1,30,0,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
48,sad,high,high,1.5,0.1,30,0,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
49,angry,low,high,0.5,0.1,30,0,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
