trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration
1,sad,high,low,0.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,1.0
2,angry,low,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,1.0
3,sad,high,low,1.5,0.805555556,72,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,1.0
4,sad,high,high,0.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,1.0
5,angry,low,high,1.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,1.0
6,sad,high,low,1,0.805555556,72,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,1.0
7,angry,high,low,1.5,0.805555556,72,0,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,1.0
8,sad,high,low,0.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,1.0
9,angry,low,high,1,0.805555556,72,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,1.0
10,angry,high,low,1,0.805555556,72,0,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,1.0
11,sad,high,low,1.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,1.0
12,angry,low,high,1,0.805555556,72,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,1.0
13,sad,high,high,0.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,1.0
14,angry,low,low,1.5,0.805555556,72,1,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,1.0
15,sad,low,low,1,0.805555556,72,0,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,1.0
16,sad,high,high,0.5,0.805555556,72,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,1.0
17,angry,low,low,1,0.805555556,72,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,1.0
18,sad,high,high,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,1.0
19,angry,low,low,1,0.805555556,72,1,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,1.0
20,sad,high,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,1.0
21,angry,low,low,0.5,0.805555556,72,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,1.0
22,sad,low,high,1.5,0.805555556,72,0,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,1.0
23,angry,high,low,1,0.805555556,72,0,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,1.0
24,angry,low,high,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,1.0
25,sad,high,high,1,0.805555556,72,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,1.0
26,angry,low,low,1.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,1.0
27,sad,low,high,0.5,0.805555556,72,0,M,M7,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,1.0
28,sad,high,low,1.5,0.805555556,72,1,F,M2,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,1.0
29,angry,low,low,0.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,1.0
30,angry,high,high,1.5,0.805555556,72,0,M,M8,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,1.0
31,angry,low,low,1,0.805555556,72,1,F,M5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,1.0
32,sad,high,high,1.5,0.805555556,72,1,F,M4,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,1.0
33,sad,high,low,1.5,0.805555556,72,1,M,M9,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,1.0
