game_number,game_type,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,force_type
0,h1,0,LH,40,64,L,40,52,UL
0,h1,1,LH,44,48,L,40,52,UL
0,h1,2,LH,58,52,R,40,52,UL
0,h1,3,LH,40,62,L,40,52,UL
0,h1,4,LH,52,40,X,40,52,UL
1,h6,0,LH,58,58,R,60,64,UR
1,h6,1,LH,59,60,L,60,64,UR
1,h6,2,LH,61,64,R,60,64,UR
1,h6,3,LH,55,63,R,60,64,UR
1,h6,4,LH,69,69,X,60,64,UR
1,h6,5,LH,58,77,X,60,64,UR
1,h6,6,LH,51,47,X,60,64,UR
1,h6,7,LH,52,56,X,60,64,UR
1,h6,8,LH,62,56,X,60,64,UR
1,h6,9,LH,61,72,X,60,64,UR
2,h1,0,LH,48,67,R,40,70,E
2,h1,1,LH,47,62,L,40,70,E
2,h1,2,LH,39,62,R,40,70,E
2,h1,3,LH,35,65,L,40,70,E
2,h1,4,LH,50,67,X,40,70,E
3,h1,0,LH,31,44,R,28,40,E
3,h1,1,LH,27,54,L,28,40,E
3,h1,2,LH,25,39,R,28,40,E
3,h1,3,LH,29,30,L,28,40,E
3,h1,4,LH,29,47,X,28,40,E
4,h1,0,HL,67,22,R,60,30,UR
4,h1,1,HL,55,38,R,60,30,UR
4,h1,2,HL,83,34,R,60,30,UR
4,h1,3,HL,67,27,L,60,30,UR
4,h1,4,HL,64,30,X,60,30,UR
5,h1,0,HL,75,55,L,72,60,E
5,h1,1,HL,62,75,R,72,60,E
5,h1,2,HL,69,58,L,72,60,E
5,h1,3,HL,69,50,R,72,60,E
5,h1,4,HL,81,50,X,72,60,E
6,h1,0,HL,62,66,R,68,60,E
6,h1,1,HL,76,44,L,68,60,E
6,h1,2,HL,60,51,L,68,60,E
6,h1,3,HL,57,54,R,68,60,E
6,h1,4,HL,63,47,X,68,60,E
7,h1,0,HL,39,32,L,44,40,UL
7,h1,1,HL,49,52,L,44,40,UL
7,h1,2,HL,39,32,L,44,40,UL
7,h1,3,HL,36,47,R,44,40,UL
7,h1,4,HL,39,37,X,44,40,UL
8,h6,0,HL,96,65,L,90,60,E
8,h6,1,HL,88,57,L,90,60,E
8,h6,2,HL,84,59,R,90,60,E
8,h6,3,HL,76,67,R,90,60,E
8,h6,4,HL,99,71,X,90,60,E
8,h6,5,HL,92,41,X,90,60,E
8,h6,6,HL,81,65,X,90,60,E
8,h6,7,HL,95,52,X,90,60,E
8,h6,8,HL,90,70,X,90,60,E
8,h6,9,HL,99,56,X,90,60,E
9,h6,0,HL,39,36,R,40,36,E
9,h6,1,HL,31,21,R,40,36,E
9,h6,2,HL,46,27,L,40,36,E
9,h6,3,HL,26,50,L,40,36,E
9,h6,4,HL,41,28,X,40,36,E
9,h6,5,HL,35,37,X,40,36,E
9,h6,6,HL,36,38,X,40,36,E
9,h6,7,HL,46,22,X,40,36,E
9,h6,8,HL,35,32,X,40,36,E
9,h6,9,HL,37,30,X,40,36,E
10,h1,0,HL,70,46,R,60,40,UR
10,h1,1,HL,54,36,R,60,40,UR
10,h1,2,HL,46,26,R,60,40,UR
10,h1,3,HL,68,32,L,60,40,UR
10,h1,4,HL,61,46,X,60,40,UR
11,h1,0,HL,30,11,R,40,10,E
11,h1,1,HL,39,7,L,40,10,E
11,h1,2,HL,45,1,R,40,10,E
11,h1,3,HL,34,9,L,40,10,E
11,h1,4,HL,33,19,X,40,10,E
12,h6,0,LH,27,80,R,30,60,E
12,h6,1,LH,40,61,R,30,60,E
12,h6,2,LH,20,58,L,30,60,E
12,h6,3,LH,25,65,L,30,60,E
12,h6,4,LH,34,60,X,30,60,E
12,h6,5,LH,33,53,X,30,60,E
12,h6,6,LH,33,73,X,30,60,E
12,h6,7,LH,18,45,X,30,60,E
12,h6,8,LH,37,68,X,30,60,E
12,h6,9,LH,33,60,X,30,60,E
13,h6,0,LH,58,58,R,60,64,UR
13,h6,1,LH,59,60,L,60,64,UR
13,h6,2,LH,61,64,R,60,64,UR
13,h6,3,LH,55,61,R,60,64,UR
13,h6,4,LH,73,70,X,60,64,UR
13,h6,5,LH,69,59,X,60,64,UR
13,h6,6,LH,58,75,X,60,64,UR
13,h6,7,LH,61,68,X,60,64,UR
13,h6,8,LH,58,56,X,60,64,UR
13,h6,9,LH,62,79,X,60,64,UR
14,h6,0,LH,44,39,R,40,48,UR
14,h6,1,LH,50,55,R,40,48,UR
14,h6,2,LH,53,56,L,40,48,UR
14,h6,3,LH,49,58,R,40,48,UR
14,h6,4,LH,40,44,X,40,48,UR
14,h6,5,LH,43,57,X,40,48,UR
14,h6,6,LH,39,43,X,40,48,UR
14,h6,7,LH,43,56,X,40,48,UR
14,h6,8,LH,23,56,X,40,48,UR
14,h6,9,LH,42,49,X,40,48,UR
15,h1,0,HL,65,59,L,68,60,UL
15,h1,1,HL,57,61,R,68,60,UL
15,h1,2,HL,54,48,L,68,60,UL
15,h1,3,HL,70,58,L,68,60,UL
15,h1,4,HL,69,51,X,68,60,UL
16,h6,0,LH,72,71,L,60,64,E
16,h6,1,LH,65,87,L,60,64,E
16,h6,2,LH,61,70,R,60,64,E
16,h6,3,LH,61,76,R,60,64,E
16,h6,4,LH,71,66,X,60,64,E
16,h6,5,LH,49,59,X,60,64,E
16,h6,6,LH,65,50,X,60,64,E
16,h6,7,LH,56,76,X,60,64,E
16,h6,8,LH,58,59,X,60,64,E
16,h6,9,LH,71,64,X,60,64,E
17,h6,0,LH,43,58,L,40,52,E
17,h6,1,LH,32,39,R,40,52,E
17,h6,2,LH,45,53,L,40,52,E
17,h6,3,LH,62,60,R,40,52,E
17,h6,4,LH,32,54,X,40,52,E
17,h6,5,LH,52,51,X,40,52,E
17,h6,6,LH,46,54,X,40,52,E
17,h6,7,LH,55,58,X,40,52,E
17,h6,8,LH,47,61,X,40,52,E
17,h6,9,LH,48,45,X,40,52,E
18,h6,0,HL,28,15,L,40,20,UL
18,h6,1,HL,53,16,L,40,20,UL
18,h6,2,HL,55,28,L,40,20,UL
18,h6,3,HL,53,20,R,40,20,UL
18,h6,4,HL,53,3,X,40,20,UL
18,h6,5,HL,40,15,X,40,20,UL
18,h6,6,HL,45,4,X,40,20,UL
18,h6,7,HL,41,28,X,40,20,UL
18,h6,8,HL,43,25,X,40,20,UL
18,h6,9,HL,47,26,X,40,20,UL
19,h1,0,LH,66,43,L,56,60,E
19,h1,1,LH,33,67,R,56,60,E
19,h1,2,LH,42,59,L,56,60,E
19,h1,3,LH,55,64,R,56,60,E
19,h1,4,LH,47,58,X,56,60,E
20,h1,0,LH,25,23,L,32,40,UL
20,h1,1,LH,29,57,L,32,40,UL
20,h1,2,LH,44,38,R,32,40,UL
20,h1,3,LH,36,31,L,32,40,UL
20,h1,4,LH,39,48,X,32,40,UL
21,h6,0,HL,43,35,R,40,28,UR
21,h6,1,HL,31,21,R,40,28,UR
21,h6,2,HL,40,28,R,40,28,UR
21,h6,3,HL,36,23,L,40,28,UR
21,h6,4,HL,40,27,X,40,28,UR
21,h6,5,HL,46,20,X,40,28,UR
21,h6,6,HL,50,21,X,40,28,UR
21,h6,7,HL,41,37,X,40,28,UR
21,h6,8,HL,44,19,X,40,28,UR
21,h6,9,HL,37,25,X,40,28,UR
22,h1,0,LH,32,76,L,40,60,E
22,h1,1,LH,37,65,R,40,60,E
22,h1,2,LH,46,68,L,40,60,E
22,h1,3,LH,37,69,R,40,60,E
22,h1,4,LH,40,53,X,40,60,E
23,h6,0,HL,49,36,L,60,40,E
23,h6,1,HL,68,43,R,60,40,E
23,h6,2,HL,55,40,L,60,40,E
23,h6,3,HL,67,41,R,60,40,E
23,h6,4,HL,49,34,X,60,40,E
23,h6,5,HL,57,35,X,60,40,E
23,h6,6,HL,55,50,X,60,40,E
23,h6,7,HL,54,28,X,60,40,E
23,h6,8,HL,66,35,X,60,40,E
23,h6,9,HL,54,40,X,60,40,E
24,h6,0,LH,40,38,L,40,48,E
24,h6,1,LH,37,44,L,40,48,E
24,h6,2,LH,60,44,R,40,48,E
24,h6,3,LH,42,52,R,40,48,E
24,h6,4,LH,52,55,X,40,48,E
24,h6,5,LH,46,51,X,40,48,E
24,h6,6,LH,50,51,X,40,48,E
24,h6,7,LH,47,34,X,40,48,E
24,h6,8,LH,30,49,X,40,48,E
24,h6,9,LH,29,53,X,40,48,E
25,h6,0,LH,25,48,L,20,40,E
25,h6,1,LH,20,48,R,20,40,E
25,h6,2,LH,8,28,R,20,40,E
25,h6,3,LH,22,33,L,20,40,E
25,h6,4,LH,29,28,X,20,40,E
25,h6,5,LH,16,39,X,20,40,E
25,h6,6,LH,41,51,X,20,40,E
25,h6,7,LH,22,35,X,20,40,E
25,h6,8,LH,30,50,X,20,40,E
25,h6,9,LH,14,34,X,20,40,E
26,h6,0,LH,69,60,R,56,60,UL
26,h6,1,LH,55,53,L,56,60,UL
26,h6,2,LH,57,59,L,56,60,UL
26,h6,3,LH,62,46,L,56,60,UL
26,h6,4,LH,50,63,X,56,60,UL
26,h6,5,LH,65,68,X,56,60,UL
