game_number,game_type,trial_num,mean_type,left_reward,right_reward,force_type,force_pos,ITI
0,h6,0,HR,52,62,UR,R,0
0,h6,1,HR,56,66,UR,R,0
0,h6,2,HR,45,55,UR,L,0
0,h6,3,HR,39,49,UR,R,0
0,h6,4,HR,51,61,UR,X,0
0,h6,5,HR,50,60,UR,X,0
0,h6,6,HR,43,53,UR,X,0
0,h6,7,HR,60,70,UR,X,0
0,h6,8,HR,55,65,UR,X,0
0,h6,9,HR,45,55,UR,X,1
1,h1,0,LH,22,61,E,L,0
1,h1,1,LH,46,63,E,R,0
1,h1,2,LH,12,45,E,R,0
1,h1,3,LH,55,44,E,L,0
1,h1,4,LH,25,55,E,X,0.5
2,h6,0,HL,42,27,E,L,0
2,h6,1,HL,60,47,E,R,0
2,h6,2,HL,69,18,E,L,0
2,h6,3,HL,45,6,E,R,0
2,h6,4,HL,57,29,E,X,0
2,h6,5,HL,66,29,E,X,0
2,h6,6,HL,38,30,E,X,0
2,h6,7,HL,61,42,E,X,0
2,h6,8,HL,63,56,E,X,0
2,h6,9,HL,37,6,E,X,1
3,h1,0,LH,20,51,E,R,0
3,h1,1,LH,24,41,E,R,0
3,h1,2,LH,51,43,E,L,0
3,h1,3,LH,20,74,E,L,0
3,h1,4,LH,49,54,E,X,0.5
