module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
cb,0,1,office,1,NA,0.5,loss1,1
1,0,1,office,3,NA,0.5,L,1
1,1,1,office,3,NA,1.5,X,1
1,2,1,office,3,NA,1,X,1
1,3,1,office,3,NA,1.5,X,1
1,4,1,office,3,NA,0.5,X,1
1,5,1,office,3,NA,1.5,X,1
1,6,1,office,3,NA,1,X,1
1,7,1,office,3,NA,0.5,X,1
1,8,1,office,3,NA,1,X,1
1,9,1,office,3,NA,1.5,X,1
1,10,1,office,3,NA,0.5,X,1
1,11,1,office,3,NA,1,X,1
1,12,1,office,3,NA,1.5,X,1
1,13,1,office,3,NA,0.5,X,1
1,14,1,office,3,NA,1.5,X,1
1,15,1,office,3,NA,1,X,1
1,16,1,office,3,NA,0.5,X,1
1,17,1,office,3,NA,1,X,1
1,18,1,office,3,NA,1.5,X,1
1,19,1,office,3,NA,0.5,X,1
1,20,1,office,3,NA,1.5,X,1
1,21,1,office,3,NA,1,X,1
1,22,1,office,3,NA,0.5,X,1
1,23,1,office,3,NA,1,X,1
1,24,1,office,3,NA,1.5,X,1
1,25,1,office,3,NA,0.5,X,1
1,26,1,office,3,NA,1.5,X,1
1,27,1,office,3,NA,1,X,1
1,28,1,office,3,NA,1,X,1
1,29,1,office,3,NA,0.5,X,1
1,30,1,office,3,NA,1.5,X,1
1,31,1,office,3,NA,1,X,1
cb,0,1,library,1,NA,0.5,win2,1
1,32,1,library,3,NA,0.5,R,1
1,33,1,library,3,NA,0.5,X,1
1,34,1,library,3,NA,1,X,1
1,35,1,library,3,NA,1.5,X,1
1,36,1,library,3,NA,0.5,X,1
1,37,1,library,3,NA,1,X,1
1,38,1,library,3,NA,1.5,X,1
1,39,1,library,3,NA,0.5,X,1
1,40,1,library,3,NA,1.5,X,1
1,41,1,library,3,NA,1,X,1
1,42,1,library,3,NA,0.5,X,1
1,43,1,library,3,NA,1,X,1
1,44,1,library,3,NA,1.5,X,1
1,45,1,library,3,NA,0.5,X,1
1,46,1,library,3,NA,1.5,X,1
1,47,1,library,3,NA,1,X,1
1,48,1,library,3,NA,0.5,X,1
1,49,1,library,3,NA,1,X,1
1,50,1,library,3,NA,1.5,X,1
1,51,1,library,3,NA,0.5,X,1
1,52,1,library,3,NA,1,X,1
1,53,1,library,3,NA,1.5,X,1
1,54,1,library,3,NA,1,X,1
1,55,1,library,3,NA,0.5,X,1
1,56,1,library,3,NA,1.5,X,1
1,57,1,library,3,NA,0.5,X,1
1,58,1,library,3,NA,1,X,1
1,59,1,library,3,NA,1.5,X,1
1,60,1,library,3,NA,0.5,X,1
1,61,1,library,3,NA,1,X,1
1,62,1,library,3,NA,1.5,X,1
1,63,1,library,3,NA,1,X,1
