module,building_type,start,forced_choice,path_version,choice_a,choice_b,choice_c,choice_d
2b,office,1,R,3,5-5,10-0,20-10,10-5
2b,office,1,L,3,0-0,10-5,5-0,5-5
2b,library,1,L,3,10-20,0-20,0-5,5-10
2b,library,1,R,3,5-5,5-0,10-10,10-5
2b,office,2,R,3,5-5,0-10,5-20,10-5
2b,office,2,L,3,5-0,10-20,0-20,0-10
2b,library,2,R,3,0-5,5-0,5-10,20-0
2b,library,2,L,3,20-0,5-0,20-10,5-5
2b,office,3,R,3,0-0,5-0,0-10,5-10
2b,office,3,L,3,5-2,5-10,0-2,10-10
2b,library,3,R,3,10-0,10-5,5-5,5-0
2b,library,3,L,3,10-10,5-10,5-0,0-2
2b,office,4,R,3,0-5,5-5,10-10,0-10
2b,office,4,L,3,0-5,10-0,10-5,0-20
2b,library,4,R,3,10-0,10-2,5-0,5-5
2b,library,4,L,3,10-10,10-5,5-5,0-10
2b,office,5,R,3,0-2,20-0,20-10,10-0
2b,office,5,L,3,10-2,10-10,5-2,5-5
2b,library,5,R,3,0-2,0-5,10-2,10-5
2b,library,5,L,3,5-5,0-10,0-5,10-10
2b,office,6,R,3,5-0,5-5,10-0,20-10
2b,office,6,L,3,0-10,5-10,10-5,0-20
2b,library,6,R,3,10-0,5-2,0-10,5-0
2b,library,6,L,3,10-0,10-2,20-0,0-5
2b,office,7,R,3,0-10,20-10,0-5,5-5
2b,office,7,L,3,10-5,0-2,10-10,5-10
2b,library,7,R,3,5-10,20-0,20-10,10-0
2b,library,7,L,3,0-0,10-0,5-2,0-5
