module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
2,0,7,library,1,NA,1.5,R,1
2,1,7,library,1,NA,1.5,L,1
2,2,6,library,1,NA,1.5,R,1
2,3,6,library,1,NA,1.5,L,1
2,4,5,library,1,NA,1.5,R,1
2,5,5,library,1,NA,1.5,L,1
2,6,4,library,1,NA,1.5,R,1
2,7,4,library,1,NA,1.5,L,1
2,8,3,library,1,NA,1.5,R,1
2,9,3,library,1,NA,1.5,L,1
2,10,2,library,1,NA,1.5,R,1
2,11,2,library,1,NA,1.5,L,1
2,12,1,library,1,NA,1.5,R,1
2,13,1,library,1,NA,1.5,L,1
2,14,7,office,1,NA,1.5,R,1
2,15,7,office,1,NA,1.5,L,1
2,16,6,office,1,NA,1.5,R,1
2,17,6,office,1,NA,1.5,L,1
2,17,5,office,1,NA,1.5,R,1
2,18,5,office,1,NA,1.5,L,1
2,19,4,office,1,NA,1.5,R,1
2,20,4,office,1,NA,1.5,L,1
2,21,3,office,1,NA,1.5,R,1
2,22,3,office,1,NA,1.5,L,1
2,23,2,office,1,NA,1.5,R,1
2,24,2,office,1,NA,1.5,L,1
2,25,1,office,1,NA,1.5,R,1
