module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
2a,0,7,library,1,NA,1.5,R,1
2a,1,7,library,1,NA,1.5,L,1
2a,2,6,library,1,NA,1.5,R,1
2a,3,6,library,1,NA,1.5,L,1
2a,4,5,library,1,NA,1.5,R,1
2a,5,5,library,1,NA,1.5,L,1
2a,6,4,library,1,NA,1.5,R,1
2a,7,4,library,1,NA,1.5,L,1
2a,8,3,library,1,NA,1.5,R,1
2a,9,3,library,1,NA,1.5,L,1
2a,10,2,library,1,NA,1.5,R,1
2a,11,2,library,1,NA,1.5,L,1
2a,12,1,library,1,NA,1.5,R,1
2a,13,1,library,1,NA,1.5,L,1
2a,14,7,office,1,NA,1.5,R,1
2a,15,7,office,1,NA,1.5,L,1
2a,16,6,office,1,NA,1.5,R,1
2a,17,6,office,1,NA,1.5,L,1
2a,17,5,office,1,NA,1.5,R,1
2a,18,5,office,1,NA,1.5,L,1
2a,19,4,office,1,NA,1.5,R,1
2a,20,4,office,1,NA,1.5,L,1
2a,21,3,office,1,NA,1.5,R,1
2a,22,3,office,1,NA,1.5,L,1
2a,23,2,office,1,NA,1.5,R,1
2a,24,2,office,1,NA,1.5,L,1
2a,25,1,office,1,NA,1.5,R,1
2a,26,1,office,1,NA,1.5,L,1
