module,trial_number,start,building_type-Roffice,depth,OLL_ONLL,ITI
1,0,1,NA,3,NA,0.5
1,1,1,NA,3,NA,1.5
1,2,1,NA,3,NA,1.5
1,3,1,NA,3,NA,0.5
1,4,1,NA,3,NA,1.5
1,5,1,NA,3,NA,1
1,6,1,NA,3,NA,1.5
1,7,1,NA,3,NA,0.5
1,8,1,NA,3,NA,1
1,9,1,NA,3,NA,1
1,10,1,NA,3,NA,1.5
1,11,1,NA,3,NA,1
1,12,1,NA,3,NA,0.5
1,13,1,NA,3,NA,1.5
1,14,1,NA,3,NA,1
1,15,1,NA,3,NA,0.5
1,16,1,NA,3,NA,1
1,17,1,NA,3,NA,0.5
1,18,1,NA,3,NA,1
1,19,1,NA,3,NA,1.5
1,20,1,NA,3,NA,0.5
1,21,1,NA,3,NA,1.5
1,22,1,NA,3,NA,1
1,23,1,NA,3,NA,0.5
1,24,1,NA,3,NA,1
1,25,1,NA,3,NA,1.5
1,26,1,NA,3,NA,0.5
1,27,1,NA,3,NA,1.5
1,28,1,NA,3,NA,0.5
1,29,1,NA,3,NA,1.5
1,30,1,NA,3,NA,1
1,31,1,NA,3,NA,1.5
1,32,1,NA,3,NA,1.5
1,33,1,NA,3,NA,1
1,34,1,NA,3,NA,0.5
1,35,1,NA,3,NA,1.5
1,36,1,NA,3,NA,0.5
1,37,1,NA,3,NA,1
1,38,1,NA,3,NA,0.5
1,39,1,NA,3,NA,1.5
1,40,1,NA,3,NA,0.5
1,41,1,NA,3,NA,1
1,42,1,NA,3,NA,0.5
1,43,1,NA,3,NA,1
1,44,1,NA,3,NA,0.5
1,45,1,NA,3,NA,1.5
1,46,1,NA,3,NA,1
1,47,1,NA,3,NA,1.5
1,48,1,NA,3,NA,1
1,49,1,NA,3,NA,1.5
1,50,1,NA,3,NA,0.5
1,51,1,NA,3,NA,1
1,52,1,NA,3,NA,0.5
1,53,1,NA,3,NA,1.5
1,54,1,NA,3,NA,1
1,55,1,NA,3,NA,1.5
1,56,1,NA,3,NA,0.5
1,57,1,NA,3,NA,0.5
1,58,1,NA,3,NA,1
1,59,1,NA,3,NA,0.5
2,0,5,R,1,NA,1
2,1,3,L,1,NA,1
2,2,6,R,1,NA,1.5
2,3,5,L,1,NA,1.5
2,4,1,L,1,NA,1
2,5,7,R,1,NA,0.5
2,6,4,L,1,NA,1.5
2,7,3,R,1,NA,1
2,8,7,L,1,NA,1
2,9,2,R,1,NA,1.5
2,10,4,R,1,NA,0.5
2,11,6,L,1,NA,0.5
2,12,1,R,1,NA,0.5
2,13,2,L,1,NA,1.5
3,0,1,L,2,OLL,1.5
3,1,1,R,3,ONLL,0.5
3,2,1,L,3,ONLL,1.5
3,3,1,R,2,OLL,1
3,4,1,L,3,ONLL,1.5
3,5,1,R,2,OLL,0.5
3,6,1,L,3,ONLL,1
3,7,1,R,2,OLL,1
3,8,1,L,3,ONLL,1.5
3,9,1,L,2,OLL,1
3,10,1,R,3,ONLL,0.5
3,11,1,L,2,OLL,1.5
3,12,1,R,3,ONLL,1
3,13,1,L,2,OLL,0.5
3,14,1,R,3,ONLL,1
3,15,1,R,2,OLL,0.5
3,16,1,L,3,ONLL,1
3,17,1,R,3,ONLL,1.5
3,18,1,R,2,OLL,0.5
3,19,1,L,2,OLL,1
