TrialTypes,Durations,stim_paths
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/7_RM_Identity_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/3_PDS_Tradition_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/26_RM_Learning_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/5_PDS_Creator_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/29b_Multiple_Documentary_Traditions_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/17_LL_Voice_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/30b_Multiple_Documentary_Still_Here_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/10_JT_Identity_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/28b_Multiple_Documentary_Dancing_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/6_PDS_Practice_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/23_Muqsahkwat_Language_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/27_Multiple_Documentary_Powwow_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/4_PDS_Religion_norm.mp4
4_5,0,None
0_1,None,/js/tasks/ncair/media/cultural_videos/cultural/9_RM_Resilience_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/7_Scalia_Hearing_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/27_MissUSA17_NewJersey_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/30b_NightSurfing_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/3_First_Debate_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/26_Sports_Inverview_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/28b_MissUSA17_Reigning_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/23_TEDxLanguage_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/6_First_Debate_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/9_Scalia_Hearing_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/10_Budhendra_Interview_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/5_First_Debate_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/17_TEDxVeterinarian_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/29b_Homesteaders_Neutral_norm.mp4
4_5,0,None
1_1,1.348139,/js/tasks/ncair/media/cultural_videos/comparator/4_First_Debate_Neutral_norm.mp4
4_5,0,None
