TrialTypes,Durations,stim_paths
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/1_powwow_yellowhammer_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/6_oimc_kiowa_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/12_stomp_sdt1_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/5_oimc_ponca_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/4_oimc_creek_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/2_powwow_kiowa_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/7_nac_toppah_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/10_stomp_gray_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/9_nac_mcclellan_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/11_stomp_squirrel_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/8_nac_tyner_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
0_0,0,/js/tasks/ncair/media/cultural_audio/cultural/3_powwow_ponca_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/6_neutral_jewishhymn_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/5_neutral_syriaceaster_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/12b_neutral_karamoja_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/10_neutral_boranaritual_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/1_neutral_burundi_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/7_neutral_akpaluhawo_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/8_neutral_africanfolk_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/4_neutral_syriachymn_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/9_neutral_ewe_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/3_neutral_acholi_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/11_neutral_pokotnaleyo_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
1_0,0,/js/tasks/ncair/media/cultural_audio/comparator/2_neutral_pokot_stereo.mp3
2_6,0,None
2_3,0,None
2_7,0,None
2_4,0,None
2_5,0,None
