TrialTypes,Durations,stim_paths
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394772/ncair/cultural_videos/cultural/7_RM_Identity_norm_udmpuy.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394773/ncair/cultural_videos/cultural/3_PDS_Tradition_norm_txaatu.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394775/ncair/cultural_videos/cultural/26_RM_Learning_norm_ztppkp.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394769/ncair/cultural_videos/cultural/5_PDS_Creator_norm_bkad8u.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394778/ncair/cultural_videos/cultural/29b_Multiple_Documentary_Traditions_norm_qnlio7.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394775/ncair/cultural_videos/cultural/17_LL_Voice_norm_r9elzd.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394776/ncair/cultural_videos/cultural/30b_Multiple_Documentary_Still_Here_norm_fumzwq.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394773/ncair/cultural_videos/cultural/10_JT_Identity_norm_drtcd3.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394785/ncair/cultural_videos/cultural/28b_Multiple_Documentary_Dancing_norm_vdzsha.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394776/ncair/cultural_videos/cultural/6_PDS_Practice_norm_tdsbly.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394773/ncair/cultural_videos/cultural/23_Muqsahkwat_Language_norm_ml4no9.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394784/ncair/cultural_videos/cultural/27_Multiple_Documentary_Powwow_norm_vkvbhh.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394777/ncair/cultural_videos/cultural/4_PDS_Religion_norm_cgml48.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
0_1,None,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394778/ncair/cultural_videos/cultural/9_RM_Resilience_norm_lveppu.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394772/ncair/cultural_videos/comparator/7_Scalia_Hearing_Neutral_norm_vtiwti.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394785/ncair/cultural_videos/comparator/27_MissUSA17_NewJersey_Neutral_norm_qo37c0.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394771/ncair/cultural_videos/comparator/30b_NightSurfing_Neutral_norm_whfuff.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394771/ncair/cultural_videos/comparator/3_First_Debate_Neutral_norm_uqdcxg.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394778/ncair/cultural_videos/comparator/26_Sports_Inverview_Neutral_norm_gj4gkw.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394782/ncair/cultural_videos/comparator/28b_MissUSA17_Reigning_Neutral_norm_qaemw5.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394768/ncair/cultural_videos/comparator/23_TEDxLanguage_Neutral_norm_dd3dxt.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394771/ncair/cultural_videos/comparator/6_First_Debate_Neutral_norm_rkchlp.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394770/ncair/cultural_videos/comparator/9_Scalia_Hearing_Neutral_norm_wfmaop.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394769/ncair/cultural_videos/comparator/10_Budhendra_Interview_Neutral_norm_zegv6i.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394768/ncair/cultural_videos/comparator/5_First_Debate_Neutral_norm_ypfkhj.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394768/ncair/cultural_videos/comparator/17_TEDxVeterinarian_Neutral_norm_qq0xmg.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394784/ncair/cultural_videos/comparator/29b_Homesteaders_Neutral_norm_qfs0kq.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
1_1,1.348139,https://res.cloudinary.com/dnc8rtrrd/video/upload/v1633394776/ncair/cultural_videos/comparator/4_First_Debate_Neutral_norm_ibnvts.mp4
4_6,0,None
4_3,0,None
4_7,0,None
4_4,0,None
4_5,0,None
