TrialTypes,Durations,stim_paths
0_2,1.530912,"media\resized_cultural_pictures\shutterstock_1788057035.jpg"
0_2,2.939332,"media\resized_cultural_pictures\shutterstock_238332661.jpg"
0_2,2.767440,"media\resized_cultural_pictures\shutterstock_1496904509.jpg"
0_2,2.532036,"media\resized_cultural_pictures\shutterstock_658613056.jpg"
3_6,0,None
3_3,0,None
3_7,0,None
3_4,0,None
3_5,0,None
1_2,1.832881,"media\resized_neutral_pictures\shutterstock_155632979.jpg"
1_2,1.294803,"media\resized_neutral_pictures\shutterstock_1524892475.jpg"
1_2,2.693063,"media\resized_neutral_pictures\shutterstock_1447460888.jpg"
1_2,2.723812,"media\resized_neutral_pictures\shutterstock_1667979655.jpg"
3_6,0,None
3_3,0,None
3_7,0,None
3_4,0,None
3_5,0,None
0_2,2.650159,"media\resized_cultural_pictures\shutterstock_1195223947.jpg"
0_2,1.012184,"media\resized_cultural_pictures\Princesses-_pow_wow.jpg"
0_2,1.557076,"media\resized_cultural_pictures\Individuals_with_NAC_items.jpg"
0_2,1.568053,"media\resized_cultural_pictures\shutterstock_239399266.jpg"
3_6,0,None
3_3,0,None
3_7,0,None
3_4,0,None
3_5,0,None
1_2,2.332637,"media\resized_neutral_pictures\shutterstock_271566449.jpg"
1_2,2.163811,"media\resized_neutral_pictures\shutterstock_374331088.jpg"
1_2,1.895395,"media\resized_neutral_pictures\shutterstock_278629310.jpg"
1_2,2.676771,"media\resized_neutral_pictures\shutterstock_404949184.jpg"
3_6,0,None
3_3,0,None
3_7,0,None
3_4,0,None
3_5,0,None
0_2,2.477211,"media\resized_cultural_pictures\shutterstock_1827461036.jpg"
0_2,1.098879,"media\resized_cultural_pictures\shutterstock_2759386.jpg"
0_2,2.332890,"media\resized_cultural_pictures\shutterstock_1788057071.jpg"
0_2,2.328274,"media\resized_cultural_pictures\shutterstock_1119444671.jpg"
3_6,0,None
3_3,0,None
3_7,0,None
3_4,0,None
3_5,0,None
1_2,1.315680,"media\resized_neutral_pictures\shutterstock_1253325706.jpg"
1_2,2.419154,"media\resized_neutral_pictures\shutterstock_167408087.jpg"
1_2,1.665607,"media\resized_neutral_pictures\shutterstock_1446367475.jpg"
