trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,6,L1_M1_H1
2,14,50,86,4,4,4,false,6,L1_M1_H1
3,14,50,86,4,4,4,false,6,L1_M1_H1
4,14,50,86,4,4,4,false,6,L1_M1_H1
5,14,50,86,4,4,4,false,6,L1_M1_H1
6,14,50,86,4,4,4,false,6,L1_M1_H1
7,14,50,86,4,4,4,false,6,L1_H1
8,14,50,86,4,4,4,false,6,L1_H1
9,14,50,86,4,4,4,false,6,L1_H1
10,14,50,86,4,4,4,false,6,L1_H1
11,14,50,86,4,4,4,false,6,L1_H1
12,14,50,86,4,4,4,false,6,L1_H1
