trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,4,L5
2,14,50,86,4,4,4,false,4,L6
3,14,50,86,4,4,4,false,4,M5
4,14,50,86,4,4,4,false,4,M6
5,14,50,86,4,4,4,false,4,H5
6,14,50,86,4,4,4,false,4,H6
7,14,50,86,4,4,4,false,4,L5
8,14,50,86,4,4,4,false,4,L6
9,14,50,86,4,4,4,false,4,M5
10,14,50,86,4,4,4,false,4,M6
11,14,50,86,4,4,4,false,4,H5
12,14,50,86,4,4,4,false,4,H6
13,14,50,86,4,4,4,false,4,L5
14,14,50,86,4,4,4,false,4,L6
15,14,50,86,4,4,4,false,4,M5
16,14,50,86,4,4,4,false,4,M6
17,14,50,86,4,4,4,false,4,H5
18,14,50,86,4,4,4,false,4,H6
19,14,50,86,4,4,4,false,4,L5
20,14,50,86,4,4,4,false,4,L6
21,14,50,86,4,4,4,false,4,M5
22,14,50,86,4,4,4,false,4,M6
23,14,50,86,4,4,4,false,4,H5
24,14,50,86,4,4,4,false,4,H6
