trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,4,L3
2,14,50,86,4,4,4,false,4,L4
3,14,50,86,4,4,4,false,4,M3
4,14,50,86,4,4,4,false,4,M4
5,14,50,86,4,4,4,false,4,H3
6,14,50,86,4,4,4,false,4,H4
7,14,50,86,4,4,4,false,4,L3
8,14,50,86,4,4,4,false,4,L4
9,14,50,86,4,4,4,false,4,M3
10,14,50,86,4,4,4,false,4,M4
11,14,50,86,4,4,4,false,4,H3
12,14,50,86,4,4,4,false,4,H4
13,14,50,86,4,4,4,false,4,L3
14,14,50,86,4,4,4,false,4,L4
15,14,50,86,4,4,4,false,4,M3
16,14,50,86,4,4,4,false,4,M4
17,14,50,86,4,4,4,false,4,H3
18,14,50,86,4,4,4,false,4,H4
19,14,50,86,4,4,4,false,4,L3
20,14,50,86,4,4,4,false,4,L4
21,14,50,86,4,4,4,false,4,M3
22,14,50,86,4,4,4,false,4,M4
23,14,50,86,4,4,4,false,4,H3
24,14,50,86,4,4,4,false,4,H4
