trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,20,L1_M1_H1
2,14,50,86,4,4,4,false,20,L1_M1
3,14,50,86,4,4,4,false,20,L1_H1
4,14,50,86,4,4,4,false,20,L1_M1_H1
5,14,50,86,4,4,4,false,20,L1_M1
6,14,50,86,4,4,4,false,20,L1_H1
7,14,50,86,4,4,4,false,20,L1_M1_H1
8,14,50,86,4,4,4,false,20,L1_M1
9,14,50,86,4,4,4,false,20,L1_H1
10,14,50,86,4,4,4,false,20,L1_M1_H1
11,14,50,86,4,4,4,false,20,L1_M1
12,14,50,86,4,4,4,false,20,L1_H1
13,14,50,86,4,4,4,false,20,L1_M1_H1
14,14,50,86,4,4,4,false,20,L1_M1
15,14,50,86,4,4,4,false,20,L1_H1
16,14,50,86,4,4,4,false,20,L1_M1_H1
17,14,50,86,4,4,4,false,20,L1_M1
18,14,50,86,4,4,4,false,20,L1_H1
19,14,50,86,4,4,4,false,20,L1_M1_H1
20,14,50,86,4,4,4,false,20,L1_M1
21,14,50,86,4,4,4,false,20,L1_H1
22,14,50,86,4,4,4,false,20,L1_M1_H1
23,14,50,86,4,4,4,false,20,L1_M1
24,14,50,86,4,4,4,false,20,L1_H1
25,14,50,86,4,4,4,false,20,L1_M1_H1
26,14,50,86,4,4,4,false,20,L1_M1
27,14,50,86,4,4,4,false,20,L1_H1
28,14,50,86,4,4,4,false,20,L1_M1_H1
29,14,50,86,4,4,4,false,20,L1_M1
30,14,50,86,4,4,4,false,20,L1_H1
31,14,50,86,4,4,4,false,20,L1_M1_H1
32,14,50,86,4,4,4,false,20,L1_M1
33,14,50,86,4,4,4,false,20,L1_H1
34,14,50,86,4,4,4,false,20,L1_M1_H1
35,14,50,86,4,4,4,false,20,L1_M1
36,14,50,86,4,4,4,false,20,L1_H1
37,14,50,86,4,4,4,false,20,L1_M1_H1
38,14,50,86,4,4,4,false,20,L1_M1
39,14,50,86,4,4,4,false,20,L1_H1
40,14,50,86,4,4,4,false,20,L1_M1_H1
41,14,50,86,4,4,4,false,20,L1_M1
42,14,50,86,4,4,4,false,20,L1_H1
43,14,50,86,4,4,4,false,20,L1_M1_H1
44,14,50,86,4,4,4,false,20,L1_M1
45,14,50,86,4,4,4,false,20,L1_H1
46,14,50,86,4,4,4,false,20,L1_M1_H1
47,14,50,86,4,4,4,false,20,L1_M1
48,14,50,86,4,4,4,false,20,L1_H1
49,14,50,86,4,4,4,false,20,L1_M1_H1
50,14,50,86,4,4,4,false,20,L1_M1
51,14,50,86,4,4,4,false,20,L1_H1
52,14,50,86,4,4,4,false,20,L1_M1_H1
53,14,50,86,4,4,4,false,20,L1_M1
54,14,50,86,4,4,4,false,20,L1_H1
55,14,50,86,4,4,4,false,20,L1_M1_H1
56,14,50,86,4,4,4,false,20,L1_M1
57,14,50,86,4,4,4,false,20,L1_H1
58,14,50,86,4,4,4,false,20,L1_M1_H1
59,14,50,86,4,4,4,false,20,L1_M1
60,14,50,86,4,4,4,false,20,L1_H1
61,14,50,86,4,4,4,false,20,L2_M2_H2
62,14,50,86,4,4,4,false,20,M2_H2
63,14,50,86,4,4,4,false,20,L2_H2
64,14,50,86,4,4,4,false,20,L2_M2_H2
65,14,50,86,4,4,4,false,20,M2_H2
66,14,50,86,4,4,4,false,20,L2_H2
67,14,50,86,4,4,4,false,20,L2_M2_H2
68,14,50,86,4,4,4,false,20,M2_H2
69,14,50,86,4,4,4,false,20,L2_H2
70,14,50,86,4,4,4,false,20,L2_M2_H2
71,14,50,86,4,4,4,false,20,M2_H2
72,14,50,86,4,4,4,false,20,L2_H2
73,14,50,86,4,4,4,false,20,L2_M2_H2
74,14,50,86,4,4,4,false,20,M2_H2
75,14,50,86,4,4,4,false,20,L2_H2
76,14,50,86,4,4,4,false,20,L2_M2_H2
77,14,50,86,4,4,4,false,20,M2_H2
78,14,50,86,4,4,4,false,20,L2_H2
79,14,50,86,4,4,4,false,20,L2_M2_H2
80,14,50,86,4,4,4,false,20,M2_H2
81,14,50,86,4,4,4,false,20,L2_H2
82,14,50,86,4,4,4,false,20,L2_M2_H2
83,14,50,86,4,4,4,false,20,M2_H2
84,14,50,86,4,4,4,false,20,L2_H2
85,14,50,86,4,4,4,false,20,L2_M2_H2
86,14,50,86,4,4,4,false,20,M2_H2
87,14,50,86,4,4,4,false,20,L2_H2
88,14,50,86,4,4,4,false,20,L2_M2_H2
89,14,50,86,4,4,4,false,20,M2_H2
90,14,50,86,4,4,4,false,20,L2_H2
91,14,50,86,4,4,4,false,20,L2_M2_H2
92,14,50,86,4,4,4,false,20,M2_H2
93,14,50,86,4,4,4,false,20,L2_H2
94,14,50,86,4,4,4,false,20,L2_M2_H2
95,14,50,86,4,4,4,false,20,M2_H2
96,14,50,86,4,4,4,false,20,L2_H2
97,14,50,86,4,4,4,false,20,L2_M2_H2
98,14,50,86,4,4,4,false,20,M2_H2
99,14,50,86,4,4,4,false,20,L2_H2
100,14,50,86,4,4,4,false,20,L2_M2_H2
101,14,50,86,4,4,4,false,20,M2_H2
102,14,50,86,4,4,4,false,20,L2_H2
103,14,50,86,4,4,4,false,20,L2_M2_H2
104,14,50,86,4,4,4,false,20,M2_H2
105,14,50,86,4,4,4,false,20,L2_H2
106,14,50,86,4,4,4,false,20,L2_M2_H2
107,14,50,86,4,4,4,false,20,M2_H2
108,14,50,86,4,4,4,false,20,L2_H2
109,14,50,86,4,4,4,false,20,L2_M2_H2
110,14,50,86,4,4,4,false,20,M2_H2
111,14,50,86,4,4,4,false,20,L2_H2
112,14,50,86,4,4,4,false,20,L2_M2_H2
113,14,50,86,4,4,4,false,20,M2_H2
114,14,50,86,4,4,4,false,20,L2_H2
115,14,50,86,4,4,4,false,20,L2_M2_H2
116,14,50,86,4,4,4,false,20,M2_H2
117,14,50,86,4,4,4,false,20,L2_H2
118,14,50,86,4,4,4,false,20,L2_M2_H2
119,14,50,86,4,4,4,false,20,M2_H2
120,14,50,86,4,4,4,false,20,L2_H2
