trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,20,L5_M5
2,14,50,86,4,4,4,false,20,M6_H6
3,14,50,86,4,4,4,false,20,L5_M5_H5
4,14,50,86,4,4,4,false,20,L6_M6_H6
5,14,50,86,4,4,4,false,20,L6_M6_H6
6,14,50,86,4,4,4,false,20,L5_H5
7,14,50,86,4,4,4,false,20,L5_H5
8,14,50,86,4,4,4,false,20,L6_H6
9,14,50,86,4,4,4,false,20,L5_H5
10,14,50,86,4,4,4,false,20,L6_H6
11,14,50,86,4,4,4,false,20,L6_H6
12,14,50,86,4,4,4,false,20,M6_H6
13,14,50,86,4,4,4,false,20,L5_H5
14,14,50,86,4,4,4,false,20,L5_H5
15,14,50,86,4,4,4,false,20,L5_M5
16,14,50,86,4,4,4,false,20,L6_H6
17,14,50,86,4,4,4,false,20,L5_M5
18,14,50,86,4,4,4,false,20,L5_H5
19,14,50,86,4,4,4,false,20,L6_M6_H6
20,14,50,86,4,4,4,false,20,L5_M5
21,14,50,86,4,4,4,false,20,L6_H6
22,14,50,86,4,4,4,false,20,L5_M5
23,14,50,86,4,4,4,false,20,L6_H6
24,14,50,86,4,4,4,false,20,L6_M6_H6
25,14,50,86,4,4,4,false,20,L5_H5
26,14,50,86,4,4,4,false,20,L6_M6_H6
27,14,50,86,4,4,4,false,20,L5_M5
28,14,50,86,4,4,4,false,20,L6_M6_H6
29,14,50,86,4,4,4,false,20,L6_M6_H6
30,14,50,86,4,4,4,false,20,L5_M5
31,14,50,86,4,4,4,false,20,L6_M6_H6
32,14,50,86,4,4,4,false,20,M6_H6
33,14,50,86,4,4,4,false,20,L6_M6_H6
34,14,50,86,4,4,4,false,20,M6_H6
35,14,50,86,4,4,4,false,20,L6_M6_H6
36,14,50,86,4,4,4,false,20,L5_H5
37,14,50,86,4,4,4,false,20,L5_M5
38,14,50,86,4,4,4,false,20,L6_H6
39,14,50,86,4,4,4,false,20,L6_H6
40,14,50,86,4,4,4,false,20,L6_H6
41,14,50,86,4,4,4,false,20,L5_M5_H5
42,14,50,86,4,4,4,false,20,L5_H5
43,14,50,86,4,4,4,false,20,M6_H6
44,14,50,86,4,4,4,false,20,L6_M6_H6
45,14,50,86,4,4,4,false,20,L5_M5
46,14,50,86,4,4,4,false,20,M6_H6
47,14,50,86,4,4,4,false,20,L5_M5
48,14,50,86,4,4,4,false,20,L6_H6
49,14,50,86,4,4,4,false,20,L6_M6_H6
50,14,50,86,4,4,4,false,20,L6_H6
51,14,50,86,4,4,4,false,20,L6_M6_H6
52,14,50,86,4,4,4,false,20,L5_M5
53,14,50,86,4,4,4,false,20,L5_M5_H5
54,14,50,86,4,4,4,false,20,M6_H6
55,14,50,86,4,4,4,false,20,M6_H6
56,14,50,86,4,4,4,false,20,L6_H6
57,14,50,86,4,4,4,false,20,L5_M5
58,14,50,86,4,4,4,false,20,L5_M5_H5
59,14,50,86,4,4,4,false,20,L5_H5
60,14,50,86,4,4,4,false,20,M6_H6
61,14,50,86,4,4,4,false,20,L5_M5_H5
62,14,50,86,4,4,4,false,20,L5_M5_H5
63,14,50,86,4,4,4,false,20,L5_H5
64,14,50,86,4,4,4,false,20,L5_M5_H5
65,14,50,86,4,4,4,false,20,M6_H6
66,14,50,86,4,4,4,false,20,L5_M5_H5
67,14,50,86,4,4,4,false,20,L5_H5
68,14,50,86,4,4,4,false,20,L6_H6
69,14,50,86,4,4,4,false,20,L6_H6
70,14,50,86,4,4,4,false,20,L6_M6_H6
71,14,50,86,4,4,4,false,20,L6_M6_H6
72,14,50,86,4,4,4,false,20,L6_M6_H6
73,14,50,86,4,4,4,false,20,L5_M5
74,14,50,86,4,4,4,false,20,L6_M6_H6
75,14,50,86,4,4,4,false,20,L5_M5
76,14,50,86,4,4,4,false,20,M6_H6
77,14,50,86,4,4,4,false,20,L5_H5
78,14,50,86,4,4,4,false,20,L5_M5_H5
79,14,50,86,4,4,4,false,20,L5_H5
80,14,50,86,4,4,4,false,20,L5_M5_H5
81,14,50,86,4,4,4,false,20,L5_M5_H5
82,14,50,86,4,4,4,false,20,L5_M5_H5
83,14,50,86,4,4,4,false,20,L6_M6_H6
84,14,50,86,4,4,4,false,20,M6_H6
85,14,50,86,4,4,4,false,20,M6_H6
86,14,50,86,4,4,4,false,20,L5_M5_H5
87,14,50,86,4,4,4,false,20,L5_M5_H5
88,14,50,86,4,4,4,false,20,L6_H6
89,14,50,86,4,4,4,false,20,M6_H6
90,14,50,86,4,4,4,false,20,L5_M5_H5
91,14,50,86,4,4,4,false,20,L6_H6
92,14,50,86,4,4,4,false,20,L5_H5
93,14,50,86,4,4,4,false,20,L5_M5
94,14,50,86,4,4,4,false,20,L6_M6_H6
95,14,50,86,4,4,4,false,20,L5_H5
96,14,50,86,4,4,4,false,20,L5_M5_H5
97,14,50,86,4,4,4,false,20,L5_M5_H5
98,14,50,86,4,4,4,false,20,L5_M5
99,14,50,86,4,4,4,false,20,L5_H5
100,14,50,86,4,4,4,false,20,L5_H5
101,14,50,86,4,4,4,false,20,L6_H6
102,14,50,86,4,4,4,false,20,L5_M5
103,14,50,86,4,4,4,false,20,M6_H6
104,14,50,86,4,4,4,false,20,L5_M5_H5
105,14,50,86,4,4,4,false,20,L6_H6
106,14,50,86,4,4,4,false,20,L5_M5
107,14,50,86,4,4,4,false,20,L6_H6
108,14,50,86,4,4,4,false,20,L6_M6_H6
109,14,50,86,4,4,4,false,20,M6_H6
110,14,50,86,4,4,4,false,20,L5_M5_H5
111,14,50,86,4,4,4,false,20,L5_H5
112,14,50,86,4,4,4,false,20,M6_H6
113,14,50,86,4,4,4,false,20,L5_M5
114,14,50,86,4,4,4,false,20,M6_H6
115,14,50,86,4,4,4,false,20,M6_H6
116,14,50,86,4,4,4,false,20,L5_H5
117,14,50,86,4,4,4,false,20,L5_M5
118,14,50,86,4,4,4,false,20,L6_H6
119,14,50,86,4,4,4,false,20,L5_M5_H5
120,14,50,86,4,4,4,false,20,M6_H6
