trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,20,L3_M3
2,14,50,86,4,4,4,false,20,M4_H4
3,14,50,86,4,4,4,false,20,L3_M3_H3
4,14,50,86,4,4,4,false,20,L4_M4_H4
5,14,50,86,4,4,4,false,20,L4_M4_H4
6,14,50,86,4,4,4,false,20,L3_H3
7,14,50,86,4,4,4,false,20,L3_H3
8,14,50,86,4,4,4,false,20,L4_H4
9,14,50,86,4,4,4,false,20,L3_H3
10,14,50,86,4,4,4,false,20,L4_H4
11,14,50,86,4,4,4,false,20,L4_H4
12,14,50,86,4,4,4,false,20,M4_H4
13,14,50,86,4,4,4,false,20,L3_H3
14,14,50,86,4,4,4,false,20,L3_H3
15,14,50,86,4,4,4,false,20,L3_M3
16,14,50,86,4,4,4,false,20,L4_H4
17,14,50,86,4,4,4,false,20,L3_M3
18,14,50,86,4,4,4,false,20,L3_H3
19,14,50,86,4,4,4,false,20,L4_M4_H4
20,14,50,86,4,4,4,false,20,L3_M3
21,14,50,86,4,4,4,false,20,L4_H4
22,14,50,86,4,4,4,false,20,L3_M3
23,14,50,86,4,4,4,false,20,L4_H4
24,14,50,86,4,4,4,false,20,L4_M4_H4
25,14,50,86,4,4,4,false,20,L3_H3
26,14,50,86,4,4,4,false,20,L4_M4_H4
27,14,50,86,4,4,4,false,20,L3_M3
28,14,50,86,4,4,4,false,20,L4_M4_H4
29,14,50,86,4,4,4,false,20,L4_M4_H4
30,14,50,86,4,4,4,false,20,L3_M3
31,14,50,86,4,4,4,false,20,L4_M4_H4
32,14,50,86,4,4,4,false,20,M4_H4
33,14,50,86,4,4,4,false,20,L4_M4_H4
34,14,50,86,4,4,4,false,20,M4_H4
35,14,50,86,4,4,4,false,20,L4_M4_H4
36,14,50,86,4,4,4,false,20,L3_H3
37,14,50,86,4,4,4,false,20,L3_M3
38,14,50,86,4,4,4,false,20,L4_H4
39,14,50,86,4,4,4,false,20,L4_H4
40,14,50,86,4,4,4,false,20,L4_H4
41,14,50,86,4,4,4,false,20,L3_M3_H3
42,14,50,86,4,4,4,false,20,L3_H3
43,14,50,86,4,4,4,false,20,M4_H4
44,14,50,86,4,4,4,false,20,L4_M4_H4
45,14,50,86,4,4,4,false,20,L3_M3
46,14,50,86,4,4,4,false,20,M4_H4
47,14,50,86,4,4,4,false,20,L3_M3
48,14,50,86,4,4,4,false,20,L4_H4
49,14,50,86,4,4,4,false,20,L4_M4_H4
50,14,50,86,4,4,4,false,20,L4_H4
51,14,50,86,4,4,4,false,20,L4_M4_H4
52,14,50,86,4,4,4,false,20,L3_M3
53,14,50,86,4,4,4,false,20,L3_M3_H3
54,14,50,86,4,4,4,false,20,M4_H4
55,14,50,86,4,4,4,false,20,M4_H4
56,14,50,86,4,4,4,false,20,L4_H4
57,14,50,86,4,4,4,false,20,L3_M3
58,14,50,86,4,4,4,false,20,L3_M3_H3
59,14,50,86,4,4,4,false,20,L3_H3
60,14,50,86,4,4,4,false,20,M4_H4
61,14,50,86,4,4,4,false,20,L3_M3_H3
62,14,50,86,4,4,4,false,20,L3_M3_H3
63,14,50,86,4,4,4,false,20,L3_H3
64,14,50,86,4,4,4,false,20,L3_M3_H3
65,14,50,86,4,4,4,false,20,M4_H4
66,14,50,86,4,4,4,false,20,L3_M3_H3
67,14,50,86,4,4,4,false,20,L3_H3
68,14,50,86,4,4,4,false,20,L4_H4
69,14,50,86,4,4,4,false,20,L4_H4
70,14,50,86,4,4,4,false,20,L4_M4_H4
71,14,50,86,4,4,4,false,20,L4_M4_H4
72,14,50,86,4,4,4,false,20,L4_M4_H4
73,14,50,86,4,4,4,false,20,L3_M3
74,14,50,86,4,4,4,false,20,L4_M4_H4
75,14,50,86,4,4,4,false,20,L3_M3
76,14,50,86,4,4,4,false,20,M4_H4
77,14,50,86,4,4,4,false,20,L3_H3
78,14,50,86,4,4,4,false,20,L3_M3_H3
79,14,50,86,4,4,4,false,20,L3_H3
80,14,50,86,4,4,4,false,20,L3_M3_H3
81,14,50,86,4,4,4,false,20,L3_M3_H3
82,14,50,86,4,4,4,false,20,L3_M3_H3
83,14,50,86,4,4,4,false,20,L4_M4_H4
84,14,50,86,4,4,4,false,20,M4_H4
85,14,50,86,4,4,4,false,20,M4_H4
86,14,50,86,4,4,4,false,20,L3_M3_H3
87,14,50,86,4,4,4,false,20,L3_M3_H3
88,14,50,86,4,4,4,false,20,L4_H4
89,14,50,86,4,4,4,false,20,M4_H4
90,14,50,86,4,4,4,false,20,L3_M3_H3
91,14,50,86,4,4,4,false,20,L4_H4
92,14,50,86,4,4,4,false,20,L3_H3
93,14,50,86,4,4,4,false,20,L3_M3
94,14,50,86,4,4,4,false,20,L4_M4_H4
95,14,50,86,4,4,4,false,20,L3_H3
96,14,50,86,4,4,4,false,20,L3_M3_H3
97,14,50,86,4,4,4,false,20,L3_M3_H3
98,14,50,86,4,4,4,false,20,L3_M3
99,14,50,86,4,4,4,false,20,L3_H3
100,14,50,86,4,4,4,false,20,L3_H3
101,14,50,86,4,4,4,false,20,L4_H4
102,14,50,86,4,4,4,false,20,L3_M3
103,14,50,86,4,4,4,false,20,M4_H4
104,14,50,86,4,4,4,false,20,L3_M3_H3
105,14,50,86,4,4,4,false,20,L4_H4
106,14,50,86,4,4,4,false,20,L3_M3
107,14,50,86,4,4,4,false,20,L4_H4
108,14,50,86,4,4,4,false,20,L4_M4_H4
109,14,50,86,4,4,4,false,20,M4_H4
110,14,50,86,4,4,4,false,20,L3_M3_H3
111,14,50,86,4,4,4,false,20,L3_H3
112,14,50,86,4,4,4,false,20,M4_H4
113,14,50,86,4,4,4,false,20,L3_M3
114,14,50,86,4,4,4,false,20,M4_H4
115,14,50,86,4,4,4,false,20,M4_H4
116,14,50,86,4,4,4,false,20,L3_H3
117,14,50,86,4,4,4,false,20,L3_M3
118,14,50,86,4,4,4,false,20,L4_H4
119,14,50,86,4,4,4,false,20,L3_M3_H3
120,14,50,86,4,4,4,false,20,M4_H4
