game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,ITI,max_score,min_score
0,h6,0,0,HL,52,35,R,52,40,DJing,Botany,0,267,197
0,h6,0,1,HL,52,48,R,52,40,DJing,Botany,0,267,197
0,h6,0,2,HL,52,40,L,52,40,DJing,Botany,0,267,197
0,h6,0,3,HL,52,37,R,52,40,DJing,Botany,0,267,197
0,h6,0,4,HL,43,49,X,52,40,DJing,Botany,0,267,197
0,h6,0,5,HL,60,45,X,52,40,DJing,Botany,0,267,197
0,h6,0,6,HL,53,32,X,52,40,DJing,Botany,0,267,197
0,h6,0,7,HL,58,36,X,52,40,DJing,Botany,0,267,197
0,h6,0,8,HL,47,41,X,52,40,DJing,Botany,1,267,197
1,h1,0,0,LH,68,65,L,61,65,Soccer (Football),Frisbee,0,68,63
1,h1,0,1,LH,56,65,L,61,65,Soccer (Football),Frisbee,0,68,63
1,h1,0,2,LH,61,65,L,61,65,Soccer (Football),Frisbee,0,68,63
1,h1,0,3,LH,61,65,R,61,65,Soccer (Football),Frisbee,0,68,63
1,h1,0,4,LH,63,68,X,61,65,Soccer (Football),Frisbee,0.5,68,63
2,h6,1,0,LH,63,40,L,64,40,Food,Anime,0,320,202
2,h6,1,1,LH,71,40,L,64,40,Food,Anime,0,320,202
2,h6,1,2,LH,58,40,L,64,40,Food,Anime,0,320,202
2,h6,1,3,LH,64,41,R,64,40,Food,Anime,0,320,202
2,h6,1,4,LH,57,36,X,64,40,Food,Anime,0,320,202
2,h6,1,5,LH,68,46,X,64,40,Food,Anime,0,320,202
2,h6,1,6,LH,71,49,X,64,40,Food,Anime,0,320,202
2,h6,1,7,LH,59,33,X,64,40,Food,Anime,0,320,202
2,h6,1,8,LH,65,38,X,64,40,Food,Anime,0.5,320,202
3,h1,1,0,HL,58,54,R,58,60,Robotics,Chess,0,61,60
3,h1,1,1,HL,58,69,R,58,60,Robotics,Chess,0,61,60
3,h1,1,2,HL,58,63,R,58,60,Robotics,Chess,0,61,60
3,h1,1,3,HL,58,60,L,58,60,Robotics,Chess,0,61,60
3,h1,1,4,HL,60,61,X,58,60,Robotics,Chess,0.5,61,60
