game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,duplicate_game,old_left,old_right,prev_left_reward,prev_right_reward,prev_force_pos,prev_left_mean,prev_right_mean
0,h6,0,0,LH,58,58,R,60,64,Rock Music,Pop Music,8,,,,,,,
0,h6,0,1,LH,59,60,L,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,2,LH,61,64,R,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,3,LH,55,63,R,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,4,LH,69,69,X,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,5,LH,58,77,X,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,6,LH,51,47,X,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,7,LH,52,56,X,60,64,Rock Music,Pop Music,,,,,,,,
0,h6,0,8,LH,62,56,X,60,64,Rock Music,Pop Music,,,,,,,,
1,h1,0,0,LH,40,64,L,40,52,Country Music,Rap Music,3,,,,,,,
1,h1,0,1,LH,44,48,L,40,52,Country Music,Rap Music,,,,,,,,
1,h1,0,2,LH,58,52,R,40,52,Country Music,Rap Music,,,,,,,,
1,h1,0,3,LH,40,62,L,40,52,Country Music,Rap Music,,,,,,,,
1,h1,0,4,LH,52,40,X,40,52,Country Music,Rap Music,,,,,,,,
2,h1,1,0,LH,33,78,R,60,30,Baseball,Basketball,,67,22,48,67,R,40,70
2,h1,1,1,LH,45,62,R,60,30,Baseball,Basketball,,55,38,47,62,L,40,70
2,h1,1,2,LH,17,66,R,60,30,Baseball,Basketball,,83,34,39,62,R,40,70
2,h1,1,3,LH,33,73,L,60,30,Baseball,Basketball,,67,27,35,65,L,40,70
2,h1,1,4,LH,36,70,X,60,30,Baseball,Basketball,,64,30,50,67,X,40,70
3,h1,1,0,LH,60,36,L,40,52,Action Movies,Sci-fi Movies,,40,64,31,44,R,28,40
3,h1,1,1,LH,56,52,L,40,52,Action Movies,Sci-fi Movies,,44,48,27,54,L,28,40
3,h1,1,2,LH,42,48,R,40,52,Action Movies,Sci-fi Movies,,58,52,25,39,R,28,40
3,h1,1,3,LH,60,38,L,40,52,Action Movies,Sci-fi Movies,,40,62,29,30,L,28,40
3,h1,1,4,LH,48,60,X,40,52,Action Movies,Sci-fi Movies,,52,40,29,47,X,28,40
4,h1,0,0,HL,67,22,R,60,30,Romance Movies,Horror Movies,2,,,,,,,
4,h1,0,1,HL,55,38,R,60,30,Romance Movies,Horror Movies,,,,,,,,
4,h1,0,2,HL,83,34,R,60,30,Romance Movies,Horror Movies,,,,,,,,
4,h1,0,3,HL,67,27,L,60,30,Romance Movies,Horror Movies,,,,,,,,
4,h1,0,4,HL,64,30,X,60,30,Romance Movies,Horror Movies,,,,,,,,
5,h1,1,0,HL,30,54,R,60,40,Scuba Diving,Marine Biology,,70,46,75,55,L,72,60
5,h1,1,1,HL,46,64,R,60,40,Scuba Diving,Marine Biology,,54,36,62,75,R,72,60
5,h1,1,2,HL,54,74,R,60,40,Scuba Diving,Marine Biology,,46,26,69,58,L,72,60
5,h1,1,3,HL,32,68,L,60,40,Scuba Diving,Marine Biology,,68,32,69,50,R,72,60
5,h1,1,4,HL,39,54,X,60,40,Scuba Diving,Marine Biology,,61,46,81,50,X,72,60
6,h1,1,0,HL,35,41,L,68,60,Summer (Season),Winter (Season),,65,59,62,66,R,68,60
6,h1,1,1,HL,43,39,R,68,60,Summer (Season),Winter (Season),,57,61,76,44,L,68,60
6,h1,1,2,HL,46,52,L,68,60,Summer (Season),Winter (Season),,54,48,60,51,L,68,60
6,h1,1,3,HL,30,42,L,68,60,Summer (Season),Winter (Season),,70,58,57,54,R,68,60
6,h1,1,4,HL,31,49,X,68,60,Summer (Season),Winter (Season),,69,51,63,47,X,68,60
7,h1,0,0,HL,39,32,L,44,40,Civil War History,Medieval History,19,,,,,,,
7,h1,0,1,HL,49,52,L,44,40,Civil War History,Medieval History,,,,,,,,
7,h1,0,2,HL,39,32,L,44,40,Civil War History,Medieval History,,,,,,,,
7,h1,0,3,HL,36,47,R,44,40,Civil War History,Medieval History,,,,,,,,
7,h1,0,4,HL,39,37,X,44,40,Civil War History,Medieval History,,,,,,,,
8,h6,1,0,HL,42,42,R,60,64,Tennis,Spelunking,,58,58,96,65,L,90,60
8,h6,1,1,HL,41,40,L,60,64,Tennis,Spelunking,,59,60,88,57,L,90,60
8,h6,1,2,HL,39,36,R,60,64,Tennis,Spelunking,,61,64,84,59,R,90,60
8,h6,1,3,HL,45,37,R,60,64,Tennis,Spelunking,,55,63,76,67,R,90,60
8,h6,1,4,HL,31,31,X,60,64,Tennis,Spelunking,,69,69,99,71,X,90,60
8,h6,1,5,HL,42,23,X,60,64,Tennis,Spelunking,,58,77,92,41,X,90,60
8,h6,1,6,HL,49,53,X,60,64,Tennis,Spelunking,,51,47,81,65,X,90,60
8,h6,1,7,HL,48,44,X,60,64,Tennis,Spelunking,,52,56,95,52,X,90,60
8,h6,1,8,HL,38,44,X,60,64,Tennis,Spelunking,,62,56,90,70,X,90,60
9,h6,1,0,HL,40,21,R,60,72,American Football,Golf,,60,79,39,36,R,40,36
9,h6,1,1,HL,43,34,R,60,72,American Football,Golf,,57,66,31,21,R,40,36
9,h6,1,2,HL,36,35,L,60,72,American Football,Golf,,64,65,46,27,L,40,36
9,h6,1,3,HL,37,31,R,60,72,American Football,Golf,,63,69,26,50,L,40,36
9,h6,1,4,HL,35,25,X,60,72,American Football,Golf,,65,75,41,28,X,40,36
9,h6,1,5,HL,48,23,X,60,72,American Football,Golf,,52,77,35,37,X,40,36
9,h6,1,6,HL,27,14,X,60,72,American Football,Golf,,73,86,36,38,X,40,36
9,h6,1,7,HL,34,20,X,60,72,American Football,Golf,,66,80,46,22,X,40,36
9,h6,1,8,HL,43,27,X,60,72,American Football,Golf,,57,73,35,32,X,40,36
10,h1,0,0,HL,70,46,R,60,40,Sewing,Cooking,5,,,,,,,
10,h1,0,1,HL,54,36,R,60,40,Sewing,Cooking,,,,,,,,
10,h1,0,2,HL,46,26,R,60,40,Sewing,Cooking,,,,,,,,
10,h1,0,3,HL,68,32,L,60,40,Sewing,Cooking,,,,,,,,
10,h1,0,4,HL,61,46,X,60,40,Sewing,Cooking,,,,,,,,
11,h1,1,0,HL,75,77,L,32,40,Cars,Motorcycles,,25,23,30,11,R,40,10
11,h1,1,1,HL,71,43,L,32,40,Cars,Motorcycles,,29,57,39,7,L,40,10
11,h1,1,2,HL,56,62,R,32,40,Cars,Motorcycles,,44,38,45,1,R,40,10
11,h1,1,3,HL,64,69,L,32,40,Cars,Motorcycles,,36,31,34,9,L,40,10
11,h1,1,4,HL,61,52,X,32,40,Cars,Motorcycles,,39,48,33,19,X,40,10
12,h6,1,0,LH,56,61,R,40,48,Coffee,Tea,,44,39,27,80,R,30,60
12,h6,1,1,LH,50,45,R,40,48,Coffee,Tea,,50,55,40,61,R,30,60
12,h6,1,2,LH,47,44,L,40,48,Coffee,Tea,,53,56,20,58,L,30,60
12,h6,1,3,LH,51,42,R,40,48,Coffee,Tea,,49,58,25,65,L,30,60
12,h6,1,4,LH,60,56,X,40,48,Coffee,Tea,,40,44,34,60,X,30,60
12,h6,1,5,LH,57,43,X,40,48,Coffee,Tea,,43,57,33,53,X,30,60
12,h6,1,6,LH,61,57,X,40,48,Coffee,Tea,,39,43,33,73,X,30,60
12,h6,1,7,LH,57,44,X,40,48,Coffee,Tea,,43,56,18,45,X,30,60
12,h6,1,8,LH,77,44,X,40,48,Coffee,Tea,,23,56,37,68,X,30,60
13,h6,0,0,LH,58,58,R,60,64,Meditation,Drawing,16,,,,,,,
13,h6,0,1,LH,59,60,L,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,2,LH,61,64,R,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,3,LH,55,61,R,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,4,LH,73,70,X,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,5,LH,69,59,X,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,6,LH,58,75,X,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,7,LH,61,68,X,60,64,Meditation,Drawing,,,,,,,,
13,h6,0,8,LH,58,56,X,60,64,Meditation,Drawing,,,,,,,,
14,h6,0,0,LH,44,39,R,40,48,Comedy Movies,Animated Movies,12,,,,,,,
14,h6,0,1,LH,50,55,R,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,2,LH,53,56,L,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,3,LH,49,58,R,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,4,LH,40,44,X,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,5,LH,43,57,X,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,6,LH,39,43,X,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,7,LH,43,56,X,40,48,Comedy Movies,Animated Movies,,,,,,,,
14,h6,0,8,LH,23,56,X,40,48,Comedy Movies,Animated Movies,,,,,,,,
15,h1,0,0,HL,65,59,L,68,60,Fall (Season),Spring (Season),6,,,,,,,
15,h1,0,1,HL,57,61,R,68,60,Fall (Season),Spring (Season),,,,,,,,
15,h1,0,2,HL,54,48,L,68,60,Fall (Season),Spring (Season),,,,,,,,
15,h1,0,3,HL,70,58,L,68,60,Fall (Season),Spring (Season),,,,,,,,
15,h1,0,4,HL,69,51,X,68,60,Fall (Season),Spring (Season),,,,,,,,
16,h6,1,0,LH,42,42,R,60,64,Jazz Music,Electronic Music,,58,58,72,71,L,60,64
16,h6,1,1,LH,41,40,L,60,64,Jazz Music,Electronic Music,,59,60,65,87,L,60,64
16,h6,1,2,LH,39,36,R,60,64,Jazz Music,Electronic Music,,61,64,61,70,R,60,64
16,h6,1,3,LH,45,39,R,60,64,Jazz Music,Electronic Music,,55,61,61,76,R,60,64
16,h6,1,4,LH,27,30,X,60,64,Jazz Music,Electronic Music,,73,70,71,66,X,60,64
16,h6,1,5,LH,31,41,X,60,64,Jazz Music,Electronic Music,,69,59,49,59,X,60,64
16,h6,1,6,LH,42,25,X,60,64,Jazz Music,Electronic Music,,58,75,65,50,X,60,64
16,h6,1,7,LH,39,32,X,60,64,Jazz Music,Electronic Music,,61,68,56,76,X,60,64
16,h6,1,8,LH,42,44,X,60,64,Jazz Music,Electronic Music,,58,56,58,59,X,60,64
17,h6,1,0,LH,35,23,L,60,80,Film-making,Scrap Booking,,65,77,43,58,L,40,52
17,h6,1,1,LH,40,22,L,60,80,Film-making,Scrap Booking,,60,78,32,39,R,40,52
17,h6,1,2,LH,42,32,L,60,80,Film-making,Scrap Booking,,58,68,45,53,L,40,52
17,h6,1,3,LH,43,19,R,60,80,Film-making,Scrap Booking,,57,81,62,60,R,40,52
17,h6,1,4,LH,36,18,X,60,80,Film-making,Scrap Booking,,64,82,32,54,X,40,52
17,h6,1,5,LH,47,11,X,60,80,Film-making,Scrap Booking,,53,89,52,51,X,40,52
17,h6,1,6,LH,42,28,X,60,80,Film-making,Scrap Booking,,58,72,46,54,X,40,52
17,h6,1,7,LH,44,27,X,60,80,Film-making,Scrap Booking,,56,73,55,58,X,40,52
17,h6,1,8,LH,41,9,X,60,80,Film-making,Scrap Booking,,59,91,47,61,X,40,52
18,h6,0,0,HL,28,15,L,40,20,Mythology,Zoology,33,,,,,,,
18,h6,0,1,HL,53,16,L,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,2,HL,55,28,L,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,3,HL,53,20,R,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,4,HL,53,3,X,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,5,HL,40,15,X,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,6,HL,45,4,X,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,7,HL,41,28,X,40,20,Mythology,Zoology,,,,,,,,
18,h6,0,8,HL,43,25,X,40,20,Mythology,Zoology,,,,,,,,
19,h1,1,0,LH,61,68,L,44,40,Baking,Knitting,,39,32,66,43,L,56,60
19,h1,1,1,LH,51,48,L,44,40,Baking,Knitting,,49,52,33,67,R,56,60
19,h1,1,2,LH,61,68,L,44,40,Baking,Knitting,,39,32,42,59,L,56,60
19,h1,1,3,LH,64,53,R,44,40,Baking,Knitting,,36,47,55,64,R,56,60
19,h1,1,4,LH,61,63,X,44,40,Baking,Knitting,,39,37,47,58,X,56,60
20,h1,0,0,LH,25,23,L,32,40,Archery,Bowling,11,,,,,,,
20,h1,0,1,LH,29,57,L,32,40,Archery,Bowling,,,,,,,,
20,h1,0,2,LH,44,38,R,32,40,Archery,Bowling,,,,,,,,
20,h1,0,3,LH,36,31,L,32,40,Archery,Bowling,,,,,,,,
20,h1,0,4,LH,39,48,X,32,40,Archery,Bowling,,,,,,,,
21,h6,0,0,HL,43,35,R,40,28,Carpentry,Pottery,23,,,,,,,
21,h6,0,1,HL,31,21,R,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,2,HL,40,28,R,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,3,HL,36,23,L,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,4,HL,40,27,X,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,5,HL,46,20,X,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,6,HL,50,21,X,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,7,HL,41,37,X,40,28,Carpentry,Pottery,,,,,,,,
21,h6,0,8,HL,44,19,X,40,28,Carpentry,Pottery,,,,,,,,
22,h1,1,0,LH,78,25,R,40,70,Fencing,Karate,,22,75,32,76,L,40,60
22,h1,1,1,LH,70,35,R,40,70,Fencing,Karate,,30,65,37,65,R,40,60
22,h1,1,2,LH,60,30,R,40,70,Fencing,Karate,,40,70,46,68,L,40,60
22,h1,1,3,LH,57,20,L,40,70,Fencing,Karate,,43,80,37,69,R,40,60
22,h1,1,4,LH,56,14,X,40,70,Fencing,Karate,,44,86,40,53,X,40,60
23,h6,1,0,HL,57,65,R,40,28,Fishing,Surfing,,43,35,49,36,L,60,40
23,h6,1,1,HL,69,79,R,40,28,Fishing,Surfing,,31,21,68,43,R,60,40
