game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,ITI
0,h1,1,0,HL,35,52,R,35,59,Baking,Knitting,0
0,h1,1,1,HL,35,58,R,35,59,Baking,Knitting,0
0,h1,1,2,HL,35,67,R,35,59,Baking,Knitting,0
0,h1,1,3,HL,35,59,L,35,59,Baking,Knitting,0
0,h1,1,4,HL,32,65,X,35,59,Baking,Knitting,1
1,h6,1,0,HL,62,47,R,62,54,Fishing,Surfing,0
1,h6,1,1,HL,62,53,R,62,54,Fishing,Surfing,0
1,h6,1,2,HL,62,54,L,62,54,Fishing,Surfing,0
1,h6,1,3,HL,62,62,R,62,54,Fishing,Surfing,0
1,h6,1,4,HL,59,59,X,62,54,Fishing,Surfing,0
1,h6,1,5,HL,63,48,X,62,54,Fishing,Surfing,0
1,h6,1,6,HL,70,47,X,62,54,Fishing,Surfing,0
1,h6,1,7,HL,53,62,X,62,54,Fishing,Surfing,0
1,h6,1,8,HL,70,61,X,62,54,Fishing,Surfing,0.5
2,h1,1,0,LH,53,60,L,56,60,Archery,Bowling,0
2,h1,1,1,LH,64,60,L,56,60,Archery,Bowling,0
2,h1,1,2,LH,51,60,L,56,60,Archery,Bowling,0
2,h1,1,3,LH,56,60,R,56,60,Archery,Bowling,0
2,h1,1,4,LH,54,58,X,56,60,Archery,Bowling,0.5
3,h6,1,0,HL,59,38,R,59,47,80s Movies,Classic Literature,0
3,h6,1,1,HL,59,51,R,59,47,80s Movies,Classic Literature,0
3,h6,1,2,HL,59,47,L,59,47,80s Movies,Classic Literature,0
3,h6,1,3,HL,59,52,R,59,47,80s Movies,Classic Literature,0
3,h6,1,4,HL,56,50,X,59,47,80s Movies,Classic Literature,0
3,h6,1,5,HL,48,44,X,59,47,80s Movies,Classic Literature,0
3,h6,1,6,HL,50,38,X,59,47,80s Movies,Classic Literature,0
3,h6,1,7,HL,68,47,X,59,47,80s Movies,Classic Literature,0
3,h6,1,8,HL,62,58,X,59,47,80s Movies,Classic Literature,0.5
4,h1,1,0,HL,40,36,R,40,42,Fencing,Karate,0
4,h1,1,1,HL,40,41,R,40,42,Fencing,Karate,0
4,h1,1,2,HL,40,49,R,40,42,Fencing,Karate,0
4,h1,1,3,HL,40,42,L,40,42,Fencing,Karate,0
4,h1,1,4,HL,41,42,X,40,42,Fencing,Karate,1
5,h6,1,0,HL,42,43,R,42,50,Coding,Podcasts,0
5,h6,1,1,HL,42,49,R,42,50,Coding,Podcasts,0
5,h6,1,2,HL,42,50,L,42,50,Coding,Podcasts,0
5,h6,1,3,HL,42,58,R,42,50,Coding,Podcasts,0
5,h6,1,4,HL,39,55,X,42,50,Coding,Podcasts,0
5,h6,1,5,HL,43,44,X,42,50,Coding,Podcasts,0
5,h6,1,6,HL,50,43,X,42,50,Coding,Podcasts,0
5,h6,1,7,HL,33,58,X,42,50,Coding,Podcasts,0
5,h6,1,8,HL,50,57,X,42,50,Coding,Podcasts,1.5
6,h1,1,0,LH,54,59,L,47,59,Salsa (Dance),Ballroom (Dance),0
6,h1,1,1,LH,38,59,L,47,59,Salsa (Dance),Ballroom (Dance),0
6,h1,1,2,LH,47,59,R,47,59,Salsa (Dance),Ballroom (Dance),0
6,h1,1,3,LH,49,59,L,47,59,Salsa (Dance),Ballroom (Dance),0
6,h1,1,4,LH,43,63,X,47,59,Salsa (Dance),Ballroom (Dance),1
7,h6,1,0,HL,41,29,R,41,37,Microbiology,Astronomy,0
7,h6,1,1,HL,41,37,L,41,37,Microbiology,Astronomy,0
7,h6,1,2,HL,41,44,R,41,37,Microbiology,Astronomy,0
7,h6,1,3,HL,41,38,R,41,37,Microbiology,Astronomy,0
7,h6,1,4,HL,43,36,X,41,37,Microbiology,Astronomy,0
7,h6,1,5,HL,42,22,X,41,37,Microbiology,Astronomy,0
7,h6,1,6,HL,49,47,X,41,37,Microbiology,Astronomy,0
7,h6,1,7,HL,47,40,X,41,37,Microbiology,Astronomy,0
7,h6,1,8,HL,33,43,X,41,37,Microbiology,Astronomy,1.5
8,h1,1,0,LH,33,40,L,32,40,Birding,Writing,0
8,h1,1,1,LH,39,40,L,32,40,Birding,Writing,0
8,h1,1,2,LH,32,40,R,32,40,Birding,Writing,0
8,h1,1,3,LH,24,40,L,32,40,Birding,Writing,0
8,h1,1,4,LH,28,42,X,32,40,Birding,Writing,1
9,h6,1,0,LH,33,17,L,41,17,Silent Films,Western Movies,0
9,h6,1,1,LH,42,17,L,41,17,Silent Films,Western Movies,0
9,h6,1,2,LH,48,17,L,41,17,Silent Films,Western Movies,0
9,h6,1,3,LH,40,17,R,41,17,Silent Films,Western Movies,0
9,h6,1,4,LH,37,21,X,41,17,Silent Films,Western Movies,0
