word,congruency,ink_color
red,incongruent,green
green,congruent,green
green,incongruent,blue
blue,congruent,blue
blue,incongruent,green
red,incongruent,green
red,congruent,red
green,incongruent,red
green,incongruent,blue
red,congruent,red
blue,incongruent,red
green,congruent,green
blue,incongruent,green
red,congruent,red
green,incongruent,red
green,congruent,green
red,incongruent,blue
red,congruent,red
green,congruent,green
blue,incongruent,green
blue,congruent,blue
red,incongruent,blue
red,incongruent,blue
red,congruent,red
blue,congruent,blue
green,incongruent,red
blue,congruent,blue
blue,incongruent,red
blue,congruent,blue
green,congruent,green
blue,congruent,blue
red,incongruent,blue
green,incongruent,red
blue,congruent,blue
green,incongruent,red
blue,incongruent,green
red,congruent,red
red,incongruent,green
red,congruent,red
blue,congruent,blue
blue,incongruent,red
green,congruent,green
red,congruent,red
green,incongruent,blue
green,congruent,green
red,congruent,red
blue,incongruent,red
red,incongruent,blue
blue,congruent,blue
green,congruent,green
green,incongruent,blue
red,incongruent,green
green,congruent,green
red,incongruent,green
blue,congruent,blue
green,congruent,green
green,incongruent,blue
blue,incongruent,green
red,congruent,red
blue,incongruent,red
blue,incongruent,green
blue,incongruent,green
red,congruent,red
red,incongruent,green
blue,congruent,blue
blue,incongruent,green
red,congruent,red
green,congruent,green
blue,incongruent,red
green,incongruent,red
blue,congruent,blue
green,incongruent,red
green,incongruent,blue
green,congruent,green
blue,congruent,blue
red,incongruent,blue
red,incongruent,blue
red,congruent,red
red,incongruent,green
green,congruent,green
red,congruent,red
green,incongruent,red
blue,congruent,blue
red,congruent,red
green,incongruent,blue
blue,incongruent,red
green,congruent,green
red,incongruent,blue
blue,congruent,blue
green,congruent,green
blue,incongruent,red
blue,incongruent,green
green,congruent,green
red,incongruent,blue
red,congruent,red
red,congruent,red
green,incongruent,blue
red,congruent,red
green,incongruent,blue
green,congruent,green
red,incongruent,green
green,congruent,green
green,incongruent,blue
blue,congruent,blue
blue,congruent,blue
green,incongruent,red
green,congruent,green
blue,incongruent,green
blue,incongruent,red
red,congruent,red
blue,congruent,blue
green,incongruent,red
red,incongruent,green
blue,congruent,blue
blue,congruent,blue
red,incongruent,blue
blue,incongruent,red
green,congruent,green
red,congruent,red
red,incongruent,green
red,incongruent,blue
blue,congruent,blue
blue,incongruent,red
blue,congruent,blue
green,congruent,green
green,incongruent,red
green,incongruent,red
green,congruent,green
red,incongruent,green
blue,congruent,blue
blue,incongruent,green
green,congruent,green
blue,incongruent,red
red,congruent,red
blue,congruent,blue
green,incongruent,red
blue,incongruent,green
red,congruent,red
blue,congruent,blue
red,incongruent,blue
green,incongruent,blue
red,congruent,red
green,congruent,green
blue,incongruent,green
red,congruent,red
green,incongruent,blue
red,congruent,red
red,incongruent,green
green,congruent,green
red,incongruent,blue
green,congruent,green
red,incongruent,green
blue,congruent,blue
red,congruent,red
green,incongruent,blue
blue,incongruent,red
blue,congruent,blue
green,incongruent,red
blue,congruent,blue
red,incongruent,green
blue,incongruent,red
blue,congruent,blue
green,incongruent,blue
red,congruent,red
green,congruent,green
blue,incongruent,green
green,congruent,green
blue,incongruent,red
blue,incongruent,green
red,congruent,red
red,incongruent,blue
red,congruent,red
red,incongruent,blue
green,incongruent,red
green,congruent,green
red,congruent,red
green,incongruent,blue
green,congruent,green
red,incongruent,green
blue,congruent,blue
