word,ink_color
flour,blue
tune,red
pan,green
pen,red
quote,red
clock,blue
kept,green
straw,red
folk,green
inch,green
town,red
core,blue
self,red
branch,blue
feet,blue
phrase,red
bread,blue
cool,blue
neat,green
soap,red
park,red
lid,green
math,green
comb,blue
stretch,red
pad,green
chess,blue
land,green
lend,green
ear,blue
burn,blue
raid,green
shock,red
rage,green
blood,blue
fright,green
choke,blue
clash,blue
gore,green
rot,red
gun,green
seize,red
bleed,blue
scare,red
fear,blue
hit,green
strike,red
shoot,red
hate,green
scream,red
stab,red
pain,green
shot,red
die,blue
harm,green
grave,green
bomb,blue
bled,blue
trap,red
fight,blue
cool,green
quote,blue
pen,blue
pan,red
self,blue
straw,blue
pad,red
math,red
flour,green
lid,red
phrase,blue
tune,blue
lend,red
core,green
clock,green
town,blue
park,blue
comb,green
stretch,blue
kept,red
folk,red
feet,green
land,red
branch,green
bread,green
soap,blue
ear,green
neat,red
inch,red
chess,green
choke,green
gore,red
seize,blue
fight,green
bled,green
scream,blue
pain,red
hit,red
fear,green
clash,green
rot,blue
gun,red
trap,blue
hate,red
harm,red
bleed,green
rage,red
strike,blue
shock,blue
die,green
shoot,blue
stab,blue
burn,green
scare,blue
grave,red
shot,blue
fright,red
bomb,green
blood,green
raid,red
comb,red
folk,blue
pan,blue
cool,red
flour,red
inch,blue
lend,blue
tune,green
land,blue
bread,red
branch,red
neat,blue
stretch,green
core,red
pen,green
feet,red
soap,green
town,green
lid,blue
self,green
park,green
chess,red
pad,blue
quote,green
straw,green
kept,blue
phrase,green
math,blue
clock,red
ear,red
bled,red
blood,red
scream,green
harm,blue
stab,green
gore,blue
clash,red
strike,green
seize,green
hate,blue
shoot,green
grave,blue
bomb,red
fight,red
hit,blue
fright,blue
fear,red
shot,green
shock,green
burn,red
scare,green
pain,blue
choke,red
die,red
gun,blue
rot,green
raid,blue
trap,green
rage,blue
bleed,red
