direction,congruency
left,congruent
right,congruent
left,incongruent
left,congruent
right,incongruent
left,incongruent
right,congruent
left,congruent
right,incongruent
right,incongruent
right,congruent
right,incongruent
right,incongruent
left,congruent
right,incongruent
right,congruent
left,congruent
left,incongruent
left,congruent
left,incongruent
right,congruent
left,congruent
right,incongruent
left,incongruent
right,congruent
left,incongruent
left,incongruent
left,congruent
left,incongruent
right,congruent
right,congruent
left,incongruent
right,incongruent
right,congruent
right,congruent
left,incongruent
right,congruent
left,congruent
left,incongruent
right,incongruent
right,congruent
right,incongruent
left,congruent
right,incongruent
left,congruent
left,congruent
right,incongruent
right,congruent
left,incongruent
left,congruent
right,incongruent
left,congruent
right,incongruent
left,incongruent
right,congruent
left,incongruent
left,incongruent
right,congruent
right,incongruent
left,congruent
left,congruent
right,congruent
left,incongruent
left,congruent
right,incongruent
right,congruent
left,congruent
right,incongruent
left,congruent
right,incongruent
right,incongruent
left,congruent
right,incongruent
right,congruent
left,incongruent
left,incongruent
right,congruent
right,congruent
left,incongruent
right,congruent
left,incongruent
left,congruent
left,incongruent
left,congruent
right,incongruent
left,incongruent
left,congruent
left,incongruent
right,incongruent
right,congruent
left,congruent
left,incongruent
right,congruent
left,congruent
right,incongruent
right,congruent
right,incongruent
left,incongruent
left,congruent
right,incongruent
left,congruent
right,congruent
left,incongruent
left,congruent
right,congruent
left,incongruent
right,congruent
left,incongruent
right,congruent
left,incongruent
right,incongruent
left,congruent
right,congruent
right,incongruent
right,incongruent
left,congruent
left,incongruent
right,congruent
right,incongruent
right,incongruent
right,incongruent
left,congruent
left,congruent
right,incongruent
right,congruent
left,congruent
left,incongruent
right,congruent
right,incongruent
left,congruent
right,incongruent
left,incongruent
left,congruent
left,incongruent
left,incongruent
right,congruent
left,incongruent
left,incongruent
left,congruent
left,congruent
left,incongruent
left,congruent
left,incongruent
right,incongruent
right,congruent
right,congruent
right,incongruent
right,congruent
right,congruent
right,incongruent
right,congruent
left,incongruent
right,incongruent
right,congruent
left,congruent
right,incongruent
right,incongruent
right,congruent
right,congruent
left,incongruent
left,congruent
left,congruent
right,incongruent
left,incongruent
right,congruent
left,congruent
left,incongruent
left,incongruent
right,congruent
right,incongruent
left,congruent
left,incongruent
left,congruent
left,congruent
right,incongruent
left,incongruent
right,congruent
right,congruent
right,incongruent
right,incongruent
