id,mkturk_id,task_dotprobe_T1,task_dotprobe_T2,survey_demo_T1,survey_demo_T2,survey_phq_T1,survey_phq_T2,survey_oasis_T1,survey_oasis_T2,survey_panas_T1,survey_panas_T2
17425,JamesTestFinal,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17426,test,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17428,elisabeth,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17433,asf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17434,JTTESTPANAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
17437,TEST14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17438,mmn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17439,TEST231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17442,JT3,YES,NULL,YES,NULL,YES,NULL,YES,YES,YES,NULL
17449,A3RR85PK3AV9TU,YES,NULL,YES,YES,YES,YES,YES,YES,YES,YES
17454,A1BAEFJ2OG7NJ0,YES,NULL,YES,YES,YES,YES,YES,YES,YES,YES
17461,AKZ8SFOAI4RZN,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17466,A62H1UZADLF7Q,YES,NULL,YES,YES,YES,YES,YES,YES,YES,YES
17472,A3EYWJCIO1MG9W,YES,NULL,YES,YES,YES,YES,YES,YES,YES,YES
17478,asd,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17483,A1IFIK8J49WBER,YES,NULL,YES,YES,YES,YES,YES,YES,YES,YES
17510,A9HQ3E0F2AGVO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NULL
17516,A3CR9XJAL7U5JW,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17522,A100Y89FZO4J0B,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17536,1,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
