trial_number,group,session,rt
1,you,Session 1,0.962
2,you,Session 1,0.516
3,you,Session 1,0.621
4,you,Session 1,0.451
5,you,Session 1,0.799
6,you,Session 1,0.554
7,you,Session 1,0.619
8,you,Session 1,0.587
9,you,Session 1,0.449
10,you,Session 1,0.539
1,you,Session 2,1.858
2,you,Session 2,0.437
3,you,Session 2,0.481
4,you,Session 2,0.371
5,you,Session 2,0.352
6,you,Session 2,0.416
7,you,Session 2,0.448
8,you,Session 2,0.518
9,you,Session 2,0.569
10,you,Session 2,0.393
1,others (averages),Session 1,0.429
2,others (averages),Session 1,0.394
3,others (averages),Session 1,0.57
4,others (averages),Session 1,0.207
5,others (averages),Session 1,0.03
6,others (averages),Session 1,0.475
7,others (averages),Session 1,0.405
8,others (averages),Session 1,0.551
9,others (averages),Session 1,0.488
10,others (averages),Session 1,0.564
11,others (averages),Session 1,0.842
12,others (averages),Session 1,0.418
13,others (averages),Session 1,0.471
14,others (averages),Session 1,0.587
15,others (averages),Session 1,0.473
16,others (averages),Session 1,0.13
17,others (averages),Session 1,0.705
18,others (averages),Session 1,0.522
19,others (averages),Session 1,0.451
20,others (averages),Session 1,0.412
21,others (averages),Session 1,0.377
22,others (averages),Session 1,0.441
23,others (averages),Session 1,0.325
24,others (averages),Session 1,0.085
25,others (averages),Session 1,0.714
26,others (averages),Session 1,1.565
27,others (averages),Session 1,0.624
28,others (averages),Session 1,0.509
29,others (averages),Session 1,0.536
30,others (averages),Session 1,0.502
31,others (averages),Session 1,0.362
32,others (averages),Session 1,0.369
33,others (averages),Session 1,0.584
34,others (averages),Session 1,0.433
35,others (averages),Session 1,0.455
36,others (averages),Session 1,0.39
37,others (averages),Session 1,0.45
38,others (averages),Session 1,0.461
39,others (averages),Session 1,2.416
40,others (averages),Session 1,0.52
41,others (averages),Session 1,0.391
42,others (averages),Session 1,0.491
43,others (averages),Session 1,0.594
44,others (averages),Session 1,0.476
45,others (averages),Session 1,0.446
46,others (averages),Session 1,0.584
47,others (averages),Session 1,0.495
48,others (averages),Session 1,0.52
49,others (averages),Session 1,0.403
50,others (averages),Session 1,0.661
51,others (averages),Session 1,0.541
52,others (averages),Session 1,0.512
53,others (averages),Session 1,0.535
54,others (averages),Session 1,0.026
55,others (averages),Session 1,0.223
56,others (averages),Session 1,0.536
57,others (averages),Session 1,0.451
58,others (averages),Session 1,0.42
59,others (averages),Session 1,0.311
60,others (averages),Session 1,0.463
61,others (averages),Session 1,0.576
62,others (averages),Session 1,0.57
63,others (averages),Session 1,0.442
64,others (averages),Session 1,0.445
65,others (averages),Session 1,0.478
66,others (averages),Session 1,0.482
67,others (averages),Session 1,0.408
68,others (averages),Session 1,0.467
69,others (averages),Session 1,0.464
70,others (averages),Session 1,0.633
71,others (averages),Session 1,0.362
72,others (averages),Session 1,0.517
73,others (averages),Session 1,0.598
74,others (averages),Session 1,0.089
75,others (averages),Session 1,0.48
76,others (averages),Session 1,0.317
77,others (averages),Session 1,0.423
78,others (averages),Session 1,0.295
79,others (averages),Session 1,0.159
80,others (averages),Session 1,0.45
81,others (averages),Session 1,0.781
82,others (averages),Session 1,0.36
83,others (averages),Session 1,0.068
84,others (averages),Session 1,0.459
85,others (averages),Session 1,0.528
86,others (averages),Session 1,0.482
