demo-JAMESTEST1-T1-Tue Feb 20 2018,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,1,7082
demps_lv10_hispanic_ethnicity,2,1735
demps_lv10_race,demps_lv10_race___18,2213
demps_lv10_engprimary,2,2125
demps_lv10_intactfamorigin,1,1361
demps_lv10_current_marital_status,11,7662
demps_lv10_maritalstatusdesc,SINGLE,7662
demps_lv10_prevmarried,0,3046
demps_lv10_nchild,0,1783
demps_lv10_nsachild,0,1712
demps_lv10_residence,2,3595
demps_lv10_current_educational_attainment,18,2445
demps_lv10_employment,5,3572
demps_lv10_leftjobreason,4,4899
