demo-JTT-T1-Wed Feb 14 2018,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
demps_lv10_gender,1,2591
demps_lv10_hispanic_ethnicity,9,2923
demps_lv10_race,demps_lv10_race___14,2870
demps_lv10_engprimary,1,1812
demps_lv10_intactfamorigin,1,881
demps_lv10_current_marital_status,1,770
demps_lv10_prevmarried,0,5013
demps_lv10_nmarried,1,5013
demps_lv10_nchild,0,2765
demps_lv10_nsachild,0,1430
demps_lv10_residence,1,1111
demps_lv10_current_educational_attainment,99,1290
demps_lv10_employment,2,2599
demps_lv10_leftjobreason,1,3971
