panas-JT-T1-Fri, 24 May 2018 15:31:0 UTC,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: ::1
QUESTION,RESULT,RT(ms)
panas_interested,0,49590
panas_distressed,0,1256
panas_ excited,0,1285
panas_upset,0,1351
panas_strong,0,1373
panas_ guilty,0,1357
panas_scared,0,1460
panas_hostile,0,1412
panas_enthusiastic,0,3224
panas_proud,0,1430
panas_ irritable,0,1210
panas_alert,0,2212
panas_ashamed,0,1731
panas_inspired,0,1337
panas_nervous,0,1553
panas_determined,0,1937
panas_attentive,0,1385
panas_jittery,0,1443
panas_active,0,1381
panas_afraid,0,1235
