Orginal File Name:,CT-JTESTPANAS-2018_5_4_1054.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: undefined,Time:,2018_5_4_1054,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_ms,response_time,response,result
practice,1,1,-154,-163,15.023,1.0030000000000001,1,2,
practice,2,1,78,42,15.504,0.073,1,1,
practice,3,1,-56,-87,17.041,1.2550000000000001,2,2,
practice,4,1,-368,-364,17.6,0.148,1,1,
practice,5,1,-434,190,17.914,0.03,1,1,
practice,6,1,-318,-102,18.22,0.019,1,2,
practice,7,1,208,224,18.909,0.28300000000000003,2,1,
practice,8,1,239,-67,19.214,0.016,2,1,
practice,9,1,632,331,19.505,0.003,2,1,
practice,10,1,362,151,19.921,0.135,2,1,
practice,12,1,480,-140,20.342,0.084,2,1,
practice,13,1,208,-188,20.63,0.009000000000000001,2,1,
practice,14,1,90,136,20.929000000000002,0.012,2,2,
practice,15,1,-433,-21,21.38,0.044,2,2,
practice,16,1,-680,-38,21.869,0.081,1,2,
practice,17,1,199,-266,22.326,0.05,1,2,
practice,18,1,278,139,22.777,0.042,1,1,
practice,19,1,-201,1,23.536,0.481,1,1,
practice,20,1,-261,-132,23.841,0.022,1,1,
practice,21,1,-563,-121,24.122,0.007,1,1,
practice,22,1,-218,-59,24.404,0.003,1,2,
practice,23,1,302,51,24.818,0.002,1,2,
practice,24,1,366,359,25.512,0.28200000000000003,2,1,
practice,25,1,640,147,26.197,0.406,2,2,
practice,26,1,-460,-194,26.67,0.068,1,1,
practice,27,1,-424,262,27.095,0.14100000000000001,1,1,
practice,28,1,-144,4,27.661,0.292,1,1,
practice,29,1,-41,134,28.043,0.105,1,1,
practice,30,1,-144,224,28.471,0.147,1,1,
practice,31,1,-185,-116,28.788,0.037,1,1,
practice,32,1,-503,47,29.074,0.01,1,1,
practice,33,1,-183,213,29.364,0.014,1,1,
practice,34,1,-339,7,29.663,0.021,1,1,
practice,35,1,-274,-180,29.967000000000002,0.021,1,1,
practice,36,1,-429,70,30.26,0.018000000000000002,1,1,
practice,37,1,-469,174,30.669,0.132,1,1,
practice,38,1,-148,-318,31.089000000000002,0.149,1,1,
practice,39,1,-323,-61,31.384,0.03,1,1,
practice,40,1,-545,-126,31.676000000000002,0.01,1,1,
practice,41,1,-407,188,31.967000000000002,0.012,1,1,
practice,42,1,-183,249,32.267,0.019,1,1,
practice,43,1,-467,-47,32.562,0.016,1,1,
practice,44,1,-486,-110,32.862,0.025,1,1,
practice,45,1,-279,313,33.171,0.025,1,1,
practice,46,1,-494,173,33.478,0.03,1,1,
practice,47,1,-127,27,33.947,0.188,1,1,
practice,48,1,-149,-50,34.253,0.027,1,2,
practice,49,1,99,-163,34.735,0.073,1,2,
practice,50,1,247,57,35.266,0.117,2,1,
practice,51,1,7,96,35.621,0.073,2,1,
practice,52,1,680,107,36.033,0.129,2,1,
