Orginal File Name:,CT-toujames-2018_5_5_144.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::ffff:127.0.0.1,Time:,2018_5_5_144,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,1,1,-154,-163,22.486,7.195,1,2,
practice,2,1,78,42,22.679000000000002,0.002,1,1,
practice,3,1,-56,-87,22.955000000000002,0.004,1,1,
practice,4,1,-368,-364,23.25,0.03,1,1,
practice,5,1,-434,190,23.694,0.17500000000000002,1,1,
practice,6,1,-318,-102,23.986,0.023,1,2,
practice,7,1,208,224,24.174,0.002,1,2,
practice,8,1,239,-67,24.557000000000002,0.191,1,2,
practice,9,1,632,331,24.755,0.006,1,2,
practice,10,1,362,151,25.04,0.094,1,2,
practice,12,1,480,-140,25.412,0.125,1,2,
practice,13,1,208,-188,25.73,0.126,1,2,
practice,14,1,90,136,26.045,0.125,1,1,
practice,15,1,-433,-21,26.336000000000002,0.019,1,1,
practice,16,1,-680,-38,26.677,0.074,1,2,
practice,17,1,199,-266,27.067,0.198,1,2,
practice,18,1,278,139,27.416,0.158,1,1,
practice,19,1,-201,1,27.741,0.055,1,1,
practice,20,1,-261,-132,28.064,0.053,1,1,
practice,21,1,-563,-121,28.347,0.015,1,1,
practice,22,1,-218,-59,28.69,0.07200000000000001,1,2,
practice,23,1,302,51,29.006,0.126,1,2,
practice,24,1,366,359,29.383,0.186,1,2,
practice,25,1,640,147,29.584,0.015,1,1,
practice,26,1,-460,-194,29.916,0.067,1,1,
practice,27,1,-424,262,30.314,0.129,1,1,
practice,28,1,-144,4,30.76,0.178,1,1,
practice,29,1,-41,134,31.079,0.05,1,1,
practice,30,1,-144,224,31.437,0.092,1,1,
practice,31,1,-185,-116,31.745,0.046,1,1,
practice,32,1,-503,47,32.062,0.046,1,1,
practice,33,1,-183,213,32.429,0.098,1,1,
practice,34,1,-339,7,32.713,0.023,1,1,
practice,35,1,-274,-180,33.018,0.032,1,1,
practice,36,1,-429,70,33.398,0.112,1,1,
practice,37,1,-469,174,33.733000000000004,0.069,1,1,
practice,38,1,-148,-318,34.038000000000004,0.035,1,1,
practice,39,1,-323,-61,34.372,0.063,1,1,
practice,40,1,-545,-126,34.734,0.094,1,1,
practice,41,1,-407,188,35.032000000000004,0.031,1,1,
practice,42,1,-183,249,35.365,0.065,1,1,
practice,43,1,-467,-47,35.749,0.115,1,1,
practice,44,1,-486,-110,36.134,0.117,1,1,
practice,45,1,-279,313,36.529,0.124,1,1,
practice,46,1,-494,173,36.849000000000004,0.052000000000000005,1,1,
practice,47,1,-127,27,37.196,0.076,1,1,
practice,48,1,-149,-50,37.523,0.058,1,2,
