Orginal File Name:,DP-JAMESTEST1-2018_1_2_1640.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1,Time:,2018_1_2_1640,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,10111111,1,5.199,NaN,NA,NA,
0,10111111,2,5.2010000000000005,NaN,NA,NA,
1,10111111,3,5.2010000000000005,NaN,NA,NA,
1,10111111,4,6.202,NaN,NA,NA,
1,10111111,5,6.406,NaN,NA,27220.bmp,A75.bmp,
1,10111111,6,7.41,NaN,NA,NA,
1,10111111,7,7.814,0.403,1,1,
1,00110101,2,7.827,NaN,NA,NA,
2,00110101,3,7.827,NaN,NA,NA,
2,00110101,4,8.828,NaN,NA,NA,
2,00110101,5,9.032,NaN,NA,02595.bmp,A129.bmp,
2,00110101,6,9.532,NaN,NA,NA,
2,00110101,7,9.978,0.445,1,1,
2,01001111,2,9.991,NaN,NA,NA,
3,01001111,3,9.991,NaN,NA,NA,
3,01001111,4,10.995000000000001,NaN,NA,NA,
3,01001111,5,11.196,NaN,NA,12205.bmp,A221.bmp,
3,01001111,6,12.197000000000001,NaN,NA,NA,
3,01001111,7,12.582,0.383,-1,2,
3,01001111,8,12.582,NaN,NA,NA,
3,01010011,2,15.603,NaN,NA,NA,
4,01010011,3,15.603,NaN,NA,NA,
4,01010011,4,16.606,NaN,NA,NA,
4,01010011,5,16.807,NaN,NA,17380.bmp,A301.bmp,
4,01010011,6,17.307,NaN,NA,NA,
4,01010011,7,18.171,0.862,1,1,
4,10111010,2,18.183,NaN,NA,NA,
5,10111010,3,18.183,NaN,NA,NA,
5,10111010,4,19.187,NaN,NA,NA,
5,10111010,5,19.388,NaN,NA,22395.bmp,A379.bmp,
5,10111010,6,20.392,NaN,NA,NA,
5,10111010,7,21.377,0.983,1,1,
5,10000001,2,22.192,NaN,NA,NA,
6,10000001,3,22.192,NaN,NA,NA,
6,10000001,4,23.195,NaN,NA,NA,
6,10000001,5,23.398,NaN,NA,22057.bmp,A363.bmp,
6,10000001,6,23.899,NaN,NA,NA,
6,10000001,7,24.41,0.51,-1,1,
6,00010111,2,24.423000000000002,NaN,NA,NA,
7,00010111,3,24.423000000000002,NaN,NA,NA,
7,00010111,4,25.426000000000002,NaN,NA,NA,
7,00010111,5,25.629,NaN,NA,07055.bmp,A185.bmp,
7,00010111,6,26.133,NaN,NA,NA,
7,00010111,7,26.625,0.491,1,1,
7,01110001,2,26.637,NaN,NA,NA,
8,01110001,3,26.637,NaN,NA,NA,
8,01110001,4,27.643,NaN,NA,NA,
8,01110001,5,27.846,NaN,NA,17380.bmp,A301.bmp,
8,01110001,6,28.351,NaN,NA,NA,
8,01110001,7,28.783,0.431,1,1,
8,00101001,2,28.795,NaN,NA,NA,
9,00101001,3,28.795,NaN,NA,NA,
9,00101001,4,29.798000000000002,NaN,NA,NA,
9,00101001,5,30.002,NaN,NA,02780.bmp,A135.bmp,
9,00101001,6,31.003,NaN,NA,NA,
9,00101001,7,31.525000000000002,0.521,-1,1,
9,00101010,2,31.538,NaN,NA,NA,
10,00101010,3,31.538,NaN,NA,NA,
10,00101010,4,32.539,NaN,NA,NA,
10,00101010,5,32.739,NaN,NA,02780.bmp,A135.bmp,
10,00101010,6,33.743,NaN,NA,NA,
10,00101010,7,33.839,0.095,-1,1,
