Orginal File Name:,DP-JT2-2018_2_4_1555.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36,IP: undefined,Time:,2018_2_4_1555,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,00010001,1,5.375,NaN,NA,NA,
0,00010001,2,5.376,NaN,NA,NA,
1,00010001,3,5.376,NaN,NA,NA,
1,00010001,4,6.378,NaN,NA,NA,
1,00010001,5,6.581,NaN,NA,07018.bmp,A171.bmp,
1,00010001,6,7.085,NaN,NA,NA,
1,00010001,7,8.822000000000001,1.735,1,2,
1,00010001,8,8.822000000000001,NaN,NA,NA,
1,01101111,2,11.847,NaN,NA,NA,
2,01101111,3,11.847,NaN,NA,NA,
2,01101111,4,12.853,NaN,NA,NA,
2,01101111,5,13.058,NaN,NA,19600.bmp,A327.bmp,
2,01101111,6,14.059000000000001,NaN,NA,NA,
2,01101111,7,14.434000000000001,0.374,-1,1,
2,01100001,2,14.448,NaN,NA,NA,
3,01100001,3,14.448,NaN,NA,NA,
3,01100001,4,15.449,NaN,NA,NA,
3,01100001,5,15.652000000000001,NaN,NA,19043.bmp,A305.bmp,
3,01100001,6,16.158,NaN,NA,NA,
3,01100001,7,16.741,0.583,-1,1,
3,10110000,2,16.755,NaN,NA,NA,
4,10110000,3,16.755,NaN,NA,NA,
4,10110000,4,17.76,NaN,NA,NA,
4,10110000,5,17.961000000000002,NaN,NA,28250.bmp,A99.bmp,
4,10110000,6,18.462,NaN,NA,NA,
4,10110000,7,18.938,0.47500000000000003,1,1,
4,10001100,2,18.952,NaN,NA,NA,
5,10001100,3,18.952,NaN,NA,NA,
5,10001100,4,19.956,NaN,NA,NA,
5,10001100,5,20.161,NaN,NA,21710.bmp,A349.bmp,
5,10001100,6,21.165,NaN,NA,NA,
5,10001100,7,21.673000000000002,0.507,-1,1,
5,00011011,2,22.429000000000002,NaN,NA,NA,
6,00011011,3,22.429000000000002,NaN,NA,NA,
6,00011011,4,23.434,NaN,NA,NA,
6,00011011,5,23.64,NaN,NA,07019.bmp,A173.bmp,
6,00011011,6,24.645,NaN,NA,NA,
6,00011011,7,25.16,0.513,1,1,
6,00111111,2,25.173000000000002,NaN,NA,NA,
7,00111111,3,25.173000000000002,NaN,NA,NA,
7,00111111,4,26.176000000000002,NaN,NA,NA,
7,00111111,5,26.38,NaN,NA,07255.bmp,A203.bmp,
7,00111111,6,27.384,NaN,NA,NA,
7,00111111,7,27.843,0.458,1,1,
7,00100001,2,27.856,NaN,NA,NA,
8,00100001,3,27.856,NaN,NA,NA,
8,00100001,4,28.86,NaN,NA,NA,
8,00100001,5,29.063,NaN,NA,07016.bmp,A169.bmp,
8,00100001,6,29.564,NaN,NA,NA,
8,00100001,7,30.037,0.47100000000000003,-1,1,
8,10011001,2,30.051000000000002,NaN,NA,NA,
9,10011001,3,30.051000000000002,NaN,NA,NA,
9,10011001,4,31.054000000000002,NaN,NA,NA,
9,10011001,5,31.26,NaN,NA,28191.bmp,A97.bmp,
9,10011001,6,32.266,NaN,NA,NA,
9,10011001,7,32.851,0.584,1,1,
9,10110010,2,32.864,NaN,NA,NA,
10,10110010,3,32.864,NaN,NA,NA,
10,10110010,4,33.867,NaN,NA,NA,
10,10110010,5,34.073,NaN,NA,25982.bmp,A7.bmp,
10,10110010,6,34.575,NaN,NA,NA,
10,10110010,7,35.151,0.5740000000000001,1,2,
10,10110010,8,35.151,NaN,NA,NA,
