Orginal File Name:,DP-JT3-2018_1_1_1742.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36,IP: ::1,Time:,2018_1_1_1742,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,01011110,1,5.359,NaN,NA,NA,
0,01011110,2,5.36,NaN,NA,NA,
1,01011110,3,5.36,NaN,NA,NA,
1,01011110,4,6.363,NaN,NA,NA,
1,01011110,5,6.5680000000000005,NaN,NA,165701.bmp,A295.bmp,
1,01011110,6,7.57,NaN,NA,NA,
1,01011110,7,8.172,0.601,1,2,
1,01011110,8,8.172,NaN,NA,NA,
1,01011111,2,11.195,NaN,NA,NA,
2,01011111,3,11.195,NaN,NA,NA,
2,01011111,4,12.199,NaN,NA,NA,
2,01011111,5,12.401,NaN,NA,16563.bmp,A293.bmp,
2,01011111,6,13.406,NaN,NA,NA,
2,01011111,7,13.945,0.537,1,1,
2,00111100,2,13.958,NaN,NA,NA,
3,00111100,3,13.958,NaN,NA,NA,
3,00111100,4,14.959,NaN,NA,NA,
3,00111100,5,15.161,NaN,NA,07170.bmp,A19.bmp,
3,00111100,6,16.166,NaN,NA,NA,
3,00111100,7,16.705000000000002,0.537,1,1,
3,10010011,2,16.718,NaN,NA,NA,
4,10010011,3,16.718,NaN,NA,NA,
4,10010011,4,17.72,NaN,NA,NA,
4,10010011,5,17.92,NaN,NA,24640.bmp,A41.bmp,
4,10010011,6,18.42,NaN,NA,NA,
4,10010011,7,18.944,0.523,1,1,
4,00101011,2,18.956,NaN,NA,NA,
5,00101011,3,18.956,NaN,NA,NA,
5,00101011,4,19.959,NaN,NA,NA,
5,00101011,5,20.165,NaN,NA,035502.bmp,A141.bmp,
5,00101011,6,21.167,NaN,NA,NA,
5,00101011,7,21.553,0.386,-1,1,
5,00110110,2,22.243000000000002,NaN,NA,NA,
6,00110110,3,22.243000000000002,NaN,NA,NA,
6,00110110,4,23.243000000000002,NaN,NA,NA,
6,00110110,5,23.448,NaN,NA,02690.bmp,A13.bmp,
6,00110110,6,23.954,NaN,NA,NA,
6,00110110,7,24.383,0.428,1,1,
6,10101001,2,24.396,NaN,NA,NA,
7,10101001,3,24.396,NaN,NA,NA,
7,10101001,4,25.400000000000002,NaN,NA,NA,
7,10101001,5,25.602,NaN,NA,25201.bmp,A43.bmp,
7,10101001,6,26.607,NaN,NA,NA,
7,10101001,7,27.148,0.54,-1,1,
7,01001100,2,27.16,NaN,NA,NA,
8,01001100,3,27.16,NaN,NA,NA,
8,01001100,4,28.165,NaN,NA,NA,
8,01001100,5,28.367,NaN,NA,123751.bmp,A225.bmp,
8,01001100,6,29.367,NaN,NA,NA,
8,01001100,7,29.803,0.435,-1,1,
8,00111111,2,29.816,NaN,NA,NA,
9,00111111,3,29.816,NaN,NA,NA,
9,00111111,4,30.816,NaN,NA,NA,
9,00111111,5,31.018,NaN,NA,05920.bmp,A153.bmp,
9,00111111,6,32.021,NaN,NA,NA,
9,00111111,7,32.479,0.456,1,1,
9,01101101,2,32.492,NaN,NA,NA,
10,01101101,3,32.492,NaN,NA,NA,
10,01101101,4,33.496,NaN,NA,NA,
10,01101101,5,33.699,NaN,NA,19185.bmp,A31.bmp,
10,01101101,6,34.702,NaN,NA,NA,
10,01101101,7,35.337,0.633,-1,1,
