Orginal File Name:,DP-JT3-2018_5_3_1726.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36,IP: ::ffff:127.0.0.1,Time:,2018_5_3_1726,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,01000100,1,27.32,NaN,NA,NA,
0,01000100,2,27.321,NaN,NA,NA,
1,01000100,3,27.321,NaN,NA,NA,
1,01000100,4,28.327,NaN,NA,NA,
1,01000100,5,28.534,NaN,NA,19405.bmp,A323.bmp,
1,01000100,6,29.037,NaN,NA,NA,
1,01000100,7,29.349,0.31,-1,1,
1,10101110,2,29.363,NaN,NA,NA,
2,10101110,3,29.363,NaN,NA,NA,
2,10101110,4,30.365000000000002,NaN,NA,NA,
2,10101110,5,30.566,NaN,NA,27472.bmp,A85.bmp,
2,10101110,6,31.568,NaN,NA,NA,
2,10101110,7,31.981,0.41200000000000003,-1,1,
2,00001000,2,31.995,NaN,NA,NA,
3,00001000,3,31.995,NaN,NA,NA,
3,00001000,4,32.996,NaN,NA,NA,
3,00001000,5,33.196,NaN,NA,02495.bmp,A123.bmp,
3,00001000,6,34.201,NaN,NA,NA,
3,00001000,7,41.065,6.862,-1,1,
3,10010101,2,41.08,NaN,NA,NA,
4,10010101,3,41.08,NaN,NA,NA,
4,10010101,4,42.082,NaN,NA,NA,
4,10010101,5,42.283,NaN,NA,22092.bmp,A367.bmp,
4,10010101,6,42.786,NaN,NA,NA,
4,10010101,7,72.359,29.572,1,1,
4,00011001,2,72.373,NaN,NA,NA,
5,00011001,3,72.373,NaN,NA,NA,
5,00011001,4,73.375,NaN,NA,NA,
5,00011001,5,73.57900000000001,NaN,NA,02411.bmp,A117.bmp,
5,00011001,6,74.583,NaN,NA,NA,
5,00011001,7,74.715,0.13,1,1,
5,00000000,2,76.308,NaN,NA,NA,
6,00000000,3,76.308,NaN,NA,NA,
6,00000000,4,77.311,NaN,NA,NA,
6,00000000,5,77.514,NaN,NA,07004.bmp,A163.bmp,
6,00000000,6,78.016,NaN,NA,NA,
6,00000000,7,78.434,0.41600000000000004,-1,1,
6,10001000,2,78.44800000000001,NaN,NA,NA,
7,10001000,3,78.44800000000001,NaN,NA,NA,
7,10001000,4,79.449,NaN,NA,NA,
7,10001000,5,79.655,NaN,NA,21440.bmp,A333.bmp,
7,10001000,6,80.659,NaN,NA,NA,
7,10001000,7,80.821,0.161,-1,1,
7,00101001,2,80.833,NaN,NA,NA,
8,00101001,3,80.833,NaN,NA,NA,
8,00101001,4,81.834,NaN,NA,NA,
8,00101001,5,82.039,NaN,NA,065702.bmp,A157.bmp,
