Orginal File Name:,DP-JTT-2018_1_3_1657.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1,Time:,2018_1_3_1657,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,00001011,1,20.161,NaN,NA,NA,
0,00001011,2,20.163,NaN,NA,NA,
1,00001011,3,20.163,NaN,NA,NA,
1,00001011,4,21.167,NaN,NA,NA,
1,00001011,5,21.37,NaN,NA,05531.bmp,A140.bmp,
1,00001011,6,22.372,NaN,NA,NA,
1,00001011,7,22.985,0.611,-1,1,
1,10110001,2,23.003,NaN,NA,NA,
2,10110001,3,23.003,NaN,NA,NA,
2,10110001,4,24.008,NaN,NA,NA,
2,10110001,5,24.212,NaN,NA,25875.bmp,A376.bmp,
2,10110001,6,24.713,NaN,NA,NA,
2,10110001,7,25.811,1.097,1,1,
2,01110011,2,25.830000000000002,NaN,NA,NA,
3,01110011,3,25.830000000000002,NaN,NA,NA,
3,01110011,4,26.831,NaN,NA,NA,
3,01110011,5,27.033,NaN,NA,19940.bmp,A328.bmp,
3,01110011,6,27.538,NaN,NA,NA,
3,01110011,7,28.489,0.9500000000000001,1,1,
3,10110000,2,28.507,NaN,NA,NA,
4,10110000,3,28.507,NaN,NA,NA,
4,10110000,4,29.51,NaN,NA,NA,
4,10110000,5,29.716,NaN,NA,25910.bmp,A380.bmp,
4,10110000,6,30.221,NaN,NA,NA,
4,10110000,7,30.939,0.717,1,1,
4,00111010,2,30.958000000000002,NaN,NA,NA,
5,00111010,3,30.958000000000002,NaN,NA,NA,
5,00111010,4,31.96,NaN,NA,NA,
5,00111010,5,32.162,NaN,NA,05531.bmp,A140.bmp,
5,00111010,6,33.166000000000004,NaN,NA,NA,
5,00111010,7,33.759,0.592,1,1,
5,10111001,2,37.521,NaN,NA,NA,
6,10111001,3,37.521,NaN,NA,NA,
6,10111001,4,38.523,NaN,NA,NA,
6,10111001,5,38.726,NaN,NA,25890.bmp,A378.bmp,
6,10111001,6,39.730000000000004,NaN,NA,NA,
6,10111001,7,40.278,0.547,1,1,
6,00001111,2,40.298,NaN,NA,NA,
7,00001111,3,40.298,NaN,NA,NA,
7,00001111,4,41.301,NaN,NA,NA,
7,00001111,5,41.505,NaN,NA,02377.bmp,A118.bmp,
7,00001111,6,42.506,NaN,NA,NA,
7,00001111,7,43.203,0.6950000000000001,-1,1,
7,01000101,2,43.221000000000004,NaN,NA,NA,
8,01000101,3,43.221000000000004,NaN,NA,NA,
8,01000101,4,44.226,NaN,NA,NA,
8,01000101,5,44.427,NaN,NA,19500.bmp,A292.bmp,
8,01000101,6,44.931,NaN,NA,NA,
8,01000101,7,45.592,0.66,-1,1,
8,10100001,2,45.61,NaN,NA,NA,
9,10100001,3,45.61,NaN,NA,NA,
9,10100001,4,46.615,NaN,NA,NA,
9,10100001,5,46.819,NaN,NA,21810.bmp,A348.bmp,
9,10100001,6,47.321,NaN,NA,NA,
9,10100001,7,47.887,0.5650000000000001,-1,1,
9,01111010,2,47.906,NaN,NA,NA,
10,01111010,3,47.906,NaN,NA,NA,
10,01111010,4,48.910000000000004,NaN,NA,NA,
10,01111010,5,49.115,NaN,NA,19420.bmp,A276.bmp,
10,01111010,6,50.120000000000005,NaN,NA,NA,
10,01111010,7,50.836,0.713,1,1,
10,01110100,2,50.855000000000004,NaN,NA,NA,
11,01110100,3,50.855000000000004,NaN,NA,NA,
11,01110100,4,51.858000000000004,NaN,NA,NA,
11,01110100,5,52.063,NaN,NA,19560.bmp,A296.bmp,
11,01110100,6,52.566,NaN,NA,NA,
11,01110100,7,53.29,0.722,1,1,
11,00000010,2,53.309000000000005,NaN,NA,NA,
12,00000010,3,53.309000000000005,NaN,NA,NA,
12,00000010,4,54.31,NaN,NA,NA,
12,00000010,5,54.511,NaN,NA,07037.bmp,A156.bmp,
12,00000010,6,55.013,NaN,NA,NA,
12,00000010,7,56.504,1.49,-1,1,
12,00011011,2,56.522,NaN,NA,NA,
13,00011011,3,56.522,NaN,NA,NA,
13,00011011,4,57.525,NaN,NA,NA,
13,00011011,5,57.728,NaN,NA,02026.bmp,A106.bmp,
13,00011011,6,58.729,NaN,NA,NA,
13,00011011,7,59.411,0.681,1,1,
13,01001000,2,59.43,NaN,NA,NA,
14,01001000,3,59.43,NaN,NA,NA,
14,01001000,4,60.433,NaN,NA,NA,
14,01001000,5,60.637,NaN,NA,19220.bmp,A252.bmp,
14,01001000,6,61.639,NaN,NA,NA,
14,01001000,7,62.31,0.67,-1,1,
14,00100011,2,62.328,NaN,NA,NA,
15,00100011,3,62.328,NaN,NA,NA,
15,00100011,4,63.333,NaN,NA,NA,
15,00100011,5,63.536,NaN,NA,07249.bmp,A188.bmp,
15,00100011,6,64.038,NaN,NA,NA,
15,00100011,7,64.641,0.602,-1,2,
15,00100011,8,64.641,NaN,NA,NA,
15,00111110,2,67.67,NaN,NA,NA,
16,00111110,3,67.67,NaN,NA,NA,
16,00111110,4,68.671,NaN,NA,NA,
16,00111110,5,68.873,NaN,NA,07632.bmp,A20.bmp,
16,00111110,6,69.875,NaN,NA,NA,
