Orginal File Name:,DP-JamesTest-2018_1_4_1233.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1,Time:,2018_1_4_1233,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,01110101,1,14.913,NaN,NA,NA,
0,01110101,2,14.916,NaN,NA,NA,
1,01110101,3,14.916,NaN,NA,NA,
1,01110101,4,15.917,NaN,NA,NA,
1,01110101,5,16.119,NaN,NA,19414.bmp,A274.bmp,
1,01110101,6,16.619,NaN,NA,NA,
1,01110101,7,17.143,0.523,1,1,
1,10111110,2,17.161,NaN,NA,NA,
2,10111110,3,17.161,NaN,NA,NA,
2,10111110,4,18.162,NaN,NA,NA,
2,10111110,5,18.364,NaN,NA,25800.bmp,A372.bmp,
2,10111110,6,19.365000000000002,NaN,NA,NA,
2,10111110,7,19.673000000000002,0.307,1,1,
2,01010000,2,19.691,NaN,NA,NA,
3,01010000,3,19.691,NaN,NA,NA,
3,01010000,4,20.693,NaN,NA,NA,
3,01010000,5,20.898,NaN,NA,19905.bmp,A32.bmp,
3,01010000,6,21.401,NaN,NA,NA,
3,01010000,7,21.674,0.272,1,1,
3,10011011,2,21.692,NaN,NA,NA,
4,10011011,3,21.692,NaN,NA,NA,
4,10011011,4,22.696,NaN,NA,NA,
4,10011011,5,22.901,NaN,NA,21610.bmp,A340.bmp,
4,10011011,6,23.904,NaN,NA,NA,
4,10011011,7,24.311,0.406,1,1,
4,00001111,2,24.330000000000002,NaN,NA,NA,
5,00001111,3,24.330000000000002,NaN,NA,NA,
5,00001111,4,25.334,NaN,NA,NA,
5,00001111,5,25.536,NaN,NA,08466.bmp,A208.bmp,
5,00001111,6,26.538,NaN,NA,NA,
5,00001111,7,27.078,0.539,-1,1,
5,10100100,2,27.707,NaN,NA,NA,
6,10100100,3,27.707,NaN,NA,NA,
6,10100100,4,28.71,NaN,NA,NA,
6,10100100,5,28.914,NaN,NA,25994.bmp,A382.bmp,
6,10100100,6,29.415,NaN,NA,NA,
6,10100100,7,29.949,0.533,-1,1,
6,10000001,2,29.967000000000002,NaN,NA,NA,
7,10000001,3,29.967000000000002,NaN,NA,NA,
7,10000001,4,30.972,NaN,NA,NA,
7,10000001,5,31.176000000000002,NaN,NA,22240.bmp,A354.bmp,
7,10000001,6,31.681,NaN,NA,NA,
7,10000001,7,32.105000000000004,0.423,-1,1,
7,10111000,2,32.123,NaN,NA,NA,
8,10111000,3,32.123,NaN,NA,NA,
8,10111000,4,33.127,NaN,NA,NA,
8,10111000,5,33.332,NaN,NA,27230.bmp,A4.bmp,
8,10111000,6,34.336,NaN,NA,NA,
8,10111000,7,34.634,0.297,1,2,
8,10111000,8,34.634,NaN,NA,NA,
8,01010011,2,37.658,NaN,NA,NA,
9,01010011,3,37.658,NaN,NA,NA,
9,01010011,4,38.659,NaN,NA,NA,
9,01010011,5,38.861000000000004,NaN,NA,19006.bmp,A238.bmp,
9,01010011,6,39.363,NaN,NA,NA,
9,01010011,7,40.013,0.648,1,1,
9,01111111,2,40.031,NaN,NA,NA,
10,01111111,3,40.031,NaN,NA,NA,
10,01111111,4,41.034,NaN,NA,NA,
10,01111111,5,41.238,NaN,NA,19901.bmp,A312.bmp,
10,01111111,6,42.24,NaN,NA,NA,
10,01111111,7,42.976,0.734,1,1,
10,00001010,2,42.993,NaN,NA,NA,
11,00001010,3,42.993,NaN,NA,NA,
11,00001010,4,43.997,NaN,NA,NA,
11,00001010,5,44.198,NaN,NA,07056.bmp,A166.bmp,
11,00001010,6,45.2,NaN,NA,NA,
11,00001010,7,45.797000000000004,0.596,-1,1,
11,10111101,2,45.815,NaN,NA,NA,
12,10111101,3,45.815,NaN,NA,NA,
12,10111101,4,46.82,NaN,NA,NA,
12,10111101,5,47.026,NaN,NA,25891.bmp,A38.bmp,
12,10111101,6,48.031,NaN,NA,NA,
12,10111101,7,48.559,0.527,1,1,
12,01010110,2,48.577,NaN,NA,NA,
13,01010110,3,48.577,NaN,NA,NA,
13,01010110,4,49.58,NaN,NA,NA,
13,01010110,5,49.786,NaN,NA,19560.bmp,A296.bmp,
13,01010110,6,50.291000000000004,NaN,NA,NA,
13,01010110,7,51.054,0.762,1,1,
13,01000110,2,51.073,NaN,NA,NA,
14,01000110,3,51.073,NaN,NA,NA,
14,01000110,4,52.078,NaN,NA,NA,
14,01000110,5,52.283,NaN,NA,19184.bmp,A248.bmp,
14,01000110,6,52.788000000000004,NaN,NA,NA,
14,01000110,7,53.311,0.521,-1,1,
14,00011101,2,53.329,NaN,NA,NA,
15,00011101,3,53.329,NaN,NA,NA,
15,00011101,4,54.334,NaN,NA,NA,
15,00011101,5,54.539,NaN,NA,07640.bmp,A200.bmp,
15,00011101,6,55.544000000000004,NaN,NA,NA,
15,00011101,7,55.938,0.393,1,2,
15,00011101,8,55.938,NaN,NA,NA,
15,10100000,2,58.966,NaN,NA,NA,
16,10100000,3,58.966,NaN,NA,NA,
16,10100000,4,59.971000000000004,NaN,NA,NA,
16,10100000,5,60.176,NaN,NA,25623.bmp,A364.bmp,
16,10100000,6,60.681000000000004,NaN,NA,NA,
16,10100000,7,61.224000000000004,0.542,-1,1,
16,01000000,2,61.241,NaN,NA,NA,
17,01000000,3,61.241,NaN,NA,NA,
17,01000000,4,62.241,NaN,NA,NA,
17,01000000,5,62.445,NaN,NA,13060.bmp,A220.bmp,
17,01000000,6,62.946,NaN,NA,NA,
17,01000000,7,63.492000000000004,0.545,-1,1,
17,10100100,2,63.509,NaN,NA,NA,
18,10100100,3,63.509,NaN,NA,NA,
18,10100100,4,64.514,NaN,NA,NA,
18,10100100,5,64.717,NaN,NA,22370.bmp,A356.bmp,
18,10100100,6,65.22,NaN,NA,NA,
18,10100100,7,65.778,0.557,-1,1,
18,00110100,2,65.795,NaN,NA,NA,
19,00110100,3,65.795,NaN,NA,NA,
19,00110100,4,66.799,NaN,NA,NA,
19,00110100,5,67.004,NaN,NA,07487.bmp,A196.bmp,
19,00110100,6,67.509,NaN,NA,NA,
19,00110100,7,68.016,0.506,1,1,
19,10110001,2,68.033,NaN,NA,NA,
20,10110001,3,68.034,NaN,NA,NA,
20,10110001,4,69.035,NaN,NA,NA,
20,10110001,5,69.236,NaN,NA,27250.bmp,A40.bmp,
20,10110001,6,69.738,NaN,NA,NA,
20,10110001,7,70.303,0.5630000000000001,1,1,
20,01101011,2,70.32000000000001,NaN,NA,NA,
21,01101011,3,70.32000000000001,NaN,NA,NA,
21,01101011,4,71.325,NaN,NA,NA,
21,01101011,5,71.527,NaN,NA,19326.bmp,A262.bmp,
21,01101011,6,72.532,NaN,NA,NA,
21,01101011,7,72.93900000000001,0.405,-1,1,
21,00000100,2,72.95700000000001,NaN,NA,NA,
22,00000100,3,72.95700000000001,NaN,NA,NA,
22,00000100,4,73.959,NaN,NA,NA,
22,00000100,5,74.16,NaN,NA,07705.bmp,A202.bmp,
22,00000100,6,74.661,NaN,NA,NA,
22,00000100,7,75.155,0.493,-1,1,
22,00100011,2,75.173,NaN,NA,NA,
23,00100011,3,75.173,NaN,NA,NA,
23,00100011,4,76.176,NaN,NA,NA,
23,00100011,5,76.381,NaN,NA,07161.bmp,A174.bmp,
23,00100011,6,76.886,NaN,NA,NA,
23,00100011,7,77.45700000000001,0.5700000000000001,-1,1,
23,00010100,2,77.47500000000001,NaN,NA,NA,
24,00010100,3,77.47500000000001,NaN,NA,NA,
24,00010100,4,78.47800000000001,NaN,NA,NA,
24,00010100,5,78.681,NaN,NA,07590.bmp,A2.bmp,
24,00010100,6,79.182,NaN,NA,NA,
24,00010100,7,79.791,0.608,1,1,
24,10111010,2,79.809,NaN,NA,NA,
25,10111010,3,79.809,NaN,NA,NA,
25,10111010,4,80.809,NaN,NA,NA,
25,10111010,5,81.01,NaN,NA,22530.bmp,A358.bmp,
25,10111010,6,82.012,NaN,NA,NA,
25,10111010,7,82.541,0.527,1,1,
25,00001010,2,82.558,NaN,NA,NA,
26,00001010,3,82.558,NaN,NA,NA,
26,00001010,4,83.563,NaN,NA,NA,
26,00001010,5,83.765,NaN,NA,07632.bmp,A20.bmp,
26,00001010,6,84.766,NaN,NA,NA,
26,00001010,7,85.299,0.532,-1,1,
26,10010000,2,85.31700000000001,NaN,NA,NA,
27,10010000,3,85.31700000000001,NaN,NA,NA,
27,10010000,4,86.321,NaN,NA,NA,
27,10010000,5,86.526,NaN,NA,25910.bmp,A380.bmp,
27,10010000,6,87.026,NaN,NA,NA,
27,10010000,7,87.61,0.583,1,2,
27,10010000,8,87.61,NaN,NA,NA,
27,01001000,2,90.636,NaN,NA,NA,
28,01001000,3,90.636,NaN,NA,NA,
28,01001000,4,91.638,NaN,NA,NA,
28,01001000,5,91.842,NaN,NA,12730.bmp,A218.bmp,
28,01001000,6,92.843,NaN,NA,NA,
28,01001000,7,93.266,0.422,-1,1,
28,10111001,2,93.284,NaN,NA,NA,
29,10111001,3,93.284,NaN,NA,NA,
29,10111001,4,94.29,NaN,NA,NA,
29,10111001,5,94.495,NaN,NA,25623.bmp,A364.bmp,
29,10111001,6,95.499,NaN,NA,NA,
29,10111001,7,95.989,0.489,1,1,
29,10010011,2,96.006,NaN,NA,NA,
30,10010011,3,96.006,NaN,NA,NA,
30,10010011,4,97.01,NaN,NA,NA,
30,10010011,5,97.21300000000001,NaN,NA,25800.bmp,A372.bmp,
30,10010011,6,97.715,NaN,NA,NA,
30,10010011,7,98.20700000000001,0.491,1,2,
30,10010011,8,98.20700000000001,NaN,NA,NA,
30,10010000,2,101.233,NaN,NA,NA,
31,10010000,3,101.233,NaN,NA,NA,
31,10010000,4,102.23400000000001,NaN,NA,NA,
31,10010000,5,102.44,NaN,NA,28021.bmp,A68.bmp,
