Orginal File Name:,DP-NULL-2018_0_1_1911.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36,Time:,2018_0_1_1911,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,10001010,1,16.884,NaN,NA,NA,
0,10001010,2,16.886,NaN,NA,NA,
1,10001010,3,16.886,NaN,NA,NA,
1,10001010,4,17.887,NaN,NA,NA,
1,10001010,5,18.088,NaN,NA,22222.bmp,A37.bmp,
1,10001010,6,19.092,NaN,NA,NA,
1,10001010,7,19.597,0.504,-1,2,
1,10001010,8,19.597,NaN,NA,NA,
1,01001000,2,22.622,NaN,NA,NA,
2,01001000,3,22.623,NaN,NA,NA,
2,01001000,4,23.627,NaN,NA,NA,
2,01001000,5,23.830000000000002,NaN,NA,129001.bmp,A233.bmp,
2,01001000,6,24.834,NaN,NA,NA,
2,01001000,7,25.403000000000002,0.5670000000000001,-1,2,
2,01001000,8,25.403000000000002,NaN,NA,NA,
2,10000010,2,28.427,NaN,NA,NA,
3,10000010,3,28.427,NaN,NA,NA,
3,10000010,4,29.428,NaN,NA,NA,
3,10000010,5,29.634,NaN,NA,220552.bmp,A361.bmp,
3,10000010,6,30.136,NaN,NA,NA,
3,10000010,7,30.729,0.592,-1,1,
3,10010100,2,30.746000000000002,NaN,NA,NA,
4,10010100,3,30.746000000000002,NaN,NA,NA,
4,10010100,4,31.749000000000002,NaN,NA,NA,
4,10010100,5,31.95,NaN,NA,25982.bmp,A7.bmp,
4,10010100,6,32.454,NaN,NA,NA,
4,10010100,7,32.927,0.47200000000000003,1,1,
4,01000011,2,32.944,NaN,NA,NA,
5,01000011,3,32.944,NaN,NA,NA,
5,01000011,4,33.944,NaN,NA,NA,
5,01000011,5,34.15,NaN,NA,16360.bmp,A287.bmp,
5,01000011,6,34.655,NaN,NA,NA,
5,01000011,7,35.269,0.613,-1,1,
5,01000111,2,36.879,NaN,NA,NA,
6,01000111,3,36.879,NaN,NA,NA,
6,01000111,4,37.885,NaN,NA,NA,
6,01000111,5,38.086,NaN,NA,16242.bmp,A273.bmp,
6,01000111,6,38.586,NaN,NA,NA,
6,01000111,7,39.235,0.648,-1,1,
6,00111100,2,39.253,NaN,NA,NA,
7,00111100,3,39.253,NaN,NA,NA,
7,00111100,4,40.255,NaN,NA,NA,
7,00111100,5,40.46,NaN,NA,02493.bmp,A121.bmp,
7,00111100,6,41.463,NaN,NA,NA,
7,00111100,7,42.078,0.614,1,1,
7,10101011,2,42.097,NaN,NA,NA,
8,10101011,3,42.097,NaN,NA,NA,
8,10101011,4,43.097,NaN,NA,NA,
8,10101011,5,43.299,NaN,NA,21999.bmp,A353.bmp,
8,10101011,6,44.302,NaN,NA,NA,
8,10101011,7,45.139,0.836,-1,1,
8,10011111,2,45.157000000000004,NaN,NA,NA,
9,10011111,3,45.157000000000004,NaN,NA,NA,
9,10011111,4,46.158,NaN,NA,NA,
9,10011111,5,46.361000000000004,NaN,NA,25300.bmp,A5.bmp,
9,10011111,6,47.362,NaN,NA,NA,
9,10011111,7,47.902,0.537,1,1,
9,10000111,2,47.92,NaN,NA,NA,
10,10000111,3,47.92,NaN,NA,NA,
10,10000111,4,48.925000000000004,NaN,NA,NA,
10,10000111,5,49.127,NaN,NA,220552.bmp,A361.bmp,
10,10000111,6,49.632,NaN,NA,NA,
10,10000111,7,50.339,0.705,-1,1,
10,10111111,2,50.356,NaN,NA,NA,
11,10111111,3,50.356,NaN,NA,NA,
11,10111111,4,51.36,NaN,NA,NA,
11,10111111,5,51.561,NaN,NA,28250.bmp,A99.bmp,
11,10111111,6,52.564,NaN,NA,NA,
11,10111111,7,53.307,0.742,1,1,
11,10000000,2,53.325,NaN,NA,NA,
